date,flow
10/01/1899,90
10/02/1899,26
10/03/1899,6
10/04/1899,4
10/05/1899,3
10/06/1899,3
10/07/1899,15
10/08/1899,43
10/09/1899,64
10/10/1899,29
10/11/1899,6
10/12/1899,2
10/13/1899,3
10/14/1899,3
10/15/1899,2
10/16/1899,1
10/17/1899,0
10/18/1899,0
10/19/1899,0
10/20/1899,2
10/21/1899,13
10/22/1899,30
10/23/1899,26
10/24/1899,9
10/25/1899,9
10/26/1899,68
10/27/1899,248
10/28/1899,461
10/29/1899,679
10/30/1899,805
10/31/1899,377
11/01/1899,88
11/02/1899,38
11/03/1899,13
11/04/1899,6
11/05/1899,8
11/06/1899,8
11/07/1899,8
11/08/1899,12
11/09/1899,11
11/10/1899,4
11/11/1899,0
11/12/1899,0
11/13/1899,0
11/14/1899,0
11/15/1899,3
11/16/1899,14
11/17/1899,12
11/18/1899,32
11/19/1899,131
11/20/1899,223
11/21/1899,255
11/22/1899,387
11/23/1899,859
11/24/1899,1610
11/25/1899,2183
11/26/1899,1920
11/27/1899,537
11/28/1899,163
11/29/1899,230
11/30/1899,303
12/01/1899,239
12/02/1899,83
12/03/1899,12
12/04/1899,3
12/05/1899,11
12/06/1899,29
12/07/1899,45
12/08/1899,53
12/09/1899,61
12/10/1899,55
12/11/1899,67
12/12/1899,238
12/13/1899,698
12/14/1899,1161
12/15/1899,1049
12/16/1899,412
12/17/1899,157
12/18/1899,112
12/19/1899,48
12/20/1899,8
12/21/1899,0
12/22/1899,0
12/23/1899,0
12/24/1899,4
12/25/1899,12
12/26/1899,16
12/27/1899,17
12/28/1899,15
12/29/1899,11
12/30/1899,11
12/31/1899,14
01/01/1900,11
01/02/1900,3
01/03/1900,0
01/04/1900,0
01/05/1900,0
01/06/1900,3
01/07/1900,10
01/08/1900,12
01/09/1900,10
01/10/1900,5
01/11/1900,5
01/12/1900,14
01/13/1900,25
01/14/1900,20
01/15/1900,40
01/16/1900,128
01/17/1900,223
01/18/1900,241
01/19/1900,157
01/20/1900,33
01/21/1900,11
01/22/1900,22
01/23/1900,19
01/24/1900,13
01/25/1900,83
01/26/1900,339
01/27/1900,690
01/28/1900,859
01/29/1900,612
01/30/1900,245
01/31/1900,136
02/01/1900,499
02/02/1900,1406
02/03/1900,2535
02/04/1900,3368
02/05/1900,2861
02/06/1900,737
02/07/1900,126
02/08/1900,65
02/09/1900,89
02/10/1900,114
02/11/1900,131
02/12/1900,111
02/13/1900,93
02/14/1900,132
02/15/1900,199
02/16/1900,206
02/17/1900,194
02/18/1900,176
02/19/1900,178
02/20/1900,241
02/21/1900,493
02/22/1900,1392
02/23/1900,3811
02/24/1900,8693
02/25/1900,9980
02/26/1900,3826
02/27/1900,1544
02/28/1900,1933
03/02/1900,2109
03/03/1900,1006
03/04/1900,699
03/05/1900,803
03/06/1900,1054
03/07/1900,1382
03/08/1900,1430
03/09/1900,1138
03/10/1900,987
03/11/1900,899
03/12/1900,827
03/13/1900,865
03/14/1900,942
03/15/1900,1012
03/16/1900,1086
03/17/1900,1255
03/18/1900,1666
03/19/1900,2553
03/20/1900,5397
03/21/1900,11649
03/22/1900,14267
03/23/1900,6769
03/24/1900,2000
03/25/1900,1229
03/26/1900,1452
03/27/1900,2299
03/28/1900,4015
03/29/1900,4517
03/30/1900,2790
