date,flow
10/01/1899,64
10/02/1899,16
10/03/1899,1
10/04/1899,0
10/05/1899,0
10/06/1899,0
10/07/1899,4
10/08/1899,22
10/09/1899,46
10/10/1899,21
10/11/1899,3
10/12/1899,0
10/13/1899,0
10/14/1899,0
10/15/1899,0
10/16/1899,0
10/17/1899,0
10/18/1899,0
10/19/1899,0
10/20/1899,0
10/21/1899,4
10/22/1899,12
10/23/1899,13
10/24/1899,5
10/25/1899,5
10/26/1899,50
10/27/1899,196
10/28/1899,365
10/29/1899,540
10/30/1899,646
10/31/1899,316
11/01/1899,68
11/02/1899,25
11/03/1899,7
11/04/1899,2
11/05/1899,1
11/06/1899,3
11/07/1899,6
11/08/1899,4
11/09/1899,1
11/10/1899,0
11/11/1899,0
11/12/1899,0
11/13/1899,0
11/14/1899,0
11/15/1899,0
11/16/1899,1
11/17/1899,3
11/18/1899,22
11/19/1899,96
11/20/1899,163
11/21/1899,188
11/22/1899,294
11/23/1899,677
11/24/1899,1283
11/25/1899,1749
11/26/1899,1560
11/27/1899,450
11/28/1899,125
11/29/1899,183
11/30/1899,251
12/01/1899,211
12/02/1899,70
12/03/1899,10
12/04/1899,8
12/05/1899,23
12/06/1899,42
12/07/1899,54
12/08/1899,47
12/09/1899,44
12/10/1899,41
12/11/1899,49
12/12/1899,184
12/13/1899,562
12/14/1899,985
12/15/1899,1013
12/16/1899,579
12/17/1899,177
12/18/1899,103
12/19/1899,60
12/20/1899,10
12/21/1899,1
12/22/1899,0
12/23/1899,0
12/24/1899,2
12/25/1899,4
12/26/1899,4
12/27/1899,5
12/28/1899,7
12/29/1899,6
12/30/1899,4
12/31/1899,6
01/01/1900,5
01/02/1900,1
01/03/1900,0
01/04/1900,0
01/05/1900,0
01/06/1900,1
01/07/1900,4
01/08/1900,9
01/09/1900,6
01/10/1900,1
01/11/1900,1
01/12/1900,8
01/13/1900,18
01/14/1900,14
01/15/1900,26
01/16/1900,91
01/17/1900,166
01/18/1900,185
01/19/1900,131
01/20/1900,32
01/21/1900,6
01/22/1900,16
01/23/1900,17
01/24/1900,11
01/25/1900,66
01/26/1900,268
01/27/1900,549
01/28/1900,710
