Year, 1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
FA_Mag,154.99966131489072,3412.998774369087,2085.0013343164374,233.0002314385702,555.9980043898746,1597.9970018138501,346.9997747099943,539.9993855962919,508.9999671502807,1621.9963135131202,None,2138.988351972803,813.0046795686152,455.98779089988176,2097.976937356834,1426.0102914400222,3044.9997493653573,679.9950050154022,2590.953635464284,440.99573643885174,219.00839233500975,663.9941978653858,771.9979692378159,714.9784627442284,179.00221541244636,81.99978662157667,248.99070582196896,1466.0439119674436,1543.993817512565,623.0071473129485,3293.070498300602,108.00064967863216,1508.9961230343877,975.0171909254564,342.00494809026844,505.99906175768086,387.98956909960714,None,2159.880849330841,1569.994579204299,None,491.9992213783129,2878.977089601794,530.0031521717729,1794.9963242476342,831.9676828401964,488.9966163446958,280.99161415633336,957.0149045162591,1967.9482523059985,2079.0006257626505,3398.998578695261,2127.9401351514653,2486.977064870052,148.99884924401402,1530.9951359686568,843.9984553508725,723.0006226486986,396.0017945784166,649.0129828604869,None,1001.9603845540726,230.9994509236052,2244.021345696219,1767.988370091506,2937.993923605986,729.0020406158421,1032.0079370827511,785.951734303962,1880.9954581943928,3944.944113371771,452.99486214857586,514.9968359104481,698.9755471982273,1598.995847367098,315.0022290441962,None,None,239.9995037362434,594.9955089907284,2666.985733346975,298.9740274761981,1376.9975591133539,None,1992.9985907668593,1448.9411942209827,2417.0361709555527,1618.0115524284815,1356.976294536692,2514.97770892319,None,97.0006231692273,3066.974603693566,2840.9943553642834,418.9997115347733,3612.982716104725,269.0465613246395,394.00122307181005,514.9990029901943,783.0070276571576
FA_Tim,0,18,32,6,44,11,0,24,0,7,None,24,10,12,36,17,19,22,37,28,6,17,0,21,17,1,8,3,42,48,14,5,6,29,11,0,4,None,24,45,None,25,18,46,0,4,39,24,13,18,43,31,25,41,10,45,51,18,4,33,None,18,0,11,22,20,20,45,3,20,18,31,15,6,19,6,None,None,0,59,15,27,10,None,0,7,15,1,19,50,None,9,30,22,6,1,0,34,13,0
FA_Dur,4,8,7,4,4,5,4,5,8,5,None,6,5,6,7,5,6,6,6,5,4,5,3,3,3,4,3,3,9,5,6,4,5,5,4,1,3,None,6,9,None,5,5,7,3,9,5,6,5,6,8,8,6,5,3,9,6,5,3,5,None,7,2,6,6,6,5,6,1,8,7,5,6,4,6,2,None,None,2,7,5,6,5,None,3,6,6,5,6,8,None,4,5,7,2,2,10,5,5,7
Wet_BFL_Mag_10,1295.8000000000002,196.40000000000003,949.0,217.6,591.8,1112.9,1349.8000000000002,2086.0,337.1000000000001,1137.8,315.20000000000005,1645.3,671.1,235.1,1629.4,1900.2000000000003,350.4,1584.8000000000002,910.0,613.2,1538.0,1780.5,1154.7,1380.5,41.2,834.8,219.8,1314.0,585.6999999999999,744.0000000000001,339.2,63.4,1085.0,810.8,520.2,1437.4,550.0000000000001,2156.2,1662.4,457.0,2059.6,2046.5,1898.1000000000001,1134.8,1880.6,1575.4,640.2,316.20000000000005,743.5999999999999,132.0,1067.0,72.4,1507.6000000000001,474.80000000000007,338.9,474.0,1262.2,1166.0,1809.7,922.4,584.1,24.400000000000002,1837.0,1329.3,131.2,1340.9,655.2,587.8,303.5,2944.0,1082.6000000000001,561.6,292.9,1561.4,552.7,1499.4,30.900000000000002,17.5,1622.2,846.4,1694.5,223.2,645.0,1197.6,1229.7,980.0,2256.8,None,330.2,593.1,121.0,1347.8000000000002,977.3,1703.3,501.4000000000001,1813.0,2122.6,1452.6,1986.0,1340.3
Wet_BFL_Mag_50,3823.0,5513.0,2667.0,1565.0,2552.0,2059.5,3766.0,5187.5,3132.5,2165.0,1567.0,4136.0,1333.0,1267.0,3955.0,5795.0,1314.5,3090.0,3662.0,1592.0,3188.0,3899.5,2199.0,3643.0,240.0,3461.0,2360.0,2954.5,2098.0,1569.0,2158.0,818.0,1929.0,1671.0,1425.0,3242.0,2913.0,3953.5,4067.5,1487.0,3807.0,5107.5,3738.0,3266.0,3577.5,3107.5,1802.5,2024.0,1961.0,563.5,2687.5,4451.0,3955.0,1715.0,3263.5,1534.0,3446.0,3076.0,5446.0,2000.0,1442.5,758.0,3771.5,3274.0,630.0,3164.5,1258.0,2849.0,1438.0,5801.0,2617.0,1476.0,1156.5,3746.0,2139.0,3144.0,278.0,107.0,5230.0,3067.0,3590.0,1683.0,2542.0,4215.0,2361.0,2150.5,5010.5,None,892.0,3260.5,969.5,2996.0,2710.5,4988.0,1212.5,5219.5,3877.0,3176.0,5054.5,3132.0
Wet_Tim,138,30,95,38,95,47,77,103,115,43,42,75,33,88,87,114,47,137,130,36,154,92,45,107,120,104,135,113,126,131,62,113,42,163,123,116,60,116,75,87,112,104,75,100,125,134,67,112,147,32,106,42,73,52,115,87,63,128,100,117,109,62,113,109,36,48,43,50,112,103,75,60,79,92,43,117,13,1,82,110,72,115,38,17,52,137,123,None,75,138,6,132,130,75,119,72,119,56,92,116
Wet_BFL_Dur,99,29,141,214,145,210,170,196,148,210,215,178,188,154,167,124,34,124,89,214,106,136,210,136,133,127,79,144,120,89,149,105,211,74,104,127,209,132,178,161,133,196,200,122,134,124,194,125,89,216,136,30,182,207,122,161,197,111,124,104,84,185,136,122,217,202,182,223,126,151,167,179,158,139,212,127,230,266,189,143,202,125,158,239,210,86,132,None,158,94,228,115,98,180,98,196,133,187,196,144
Peak_2,18146.0,56542.0,13271.0,21933.0,13965.0,21826.0,21862.0,26508.0,30821.0,22820.0,22189.0,22570.0,17268.0,6888.0,21515.0,19544.0,51530.0,12945.0,11058.0,11838.0,10912.0,18681.0,22056.0,16816.0,4548.0,15486.0,9651.0,13868.0,8644.0,10256.0,9893.0,5757.0,19868.0,8226.0,5405.0,12999.0,47326.0,23078.0,22959.0,9088.0,22818.0,24271.0,48707.0,40110.0,29950.0,12850.0,11472.0,10735.0,7324.0,5708.0,12767.0,51733.0,22156.0,17074.0,19564.0,8360.0,74503.0,25028.0,19493.0,11382.0,17355.0,4971.0,24819.0,45420.0,5748.0,48277.0,16508.0,21884.0,5429.0,32600.0,16141.0,11785.0,7082.0,17060.0,20860.0,12976.0,5099.0,4933.0,20631.0,15028.0,46500.0,10183.0,28851.0,25015.0,23582.0,7680.0,43747.0,7990.0,6267.0,9389.0,10037.0,9715.0,7136.0,17204.0,5940.0,51502.0,22803.0,30287.0,25374.0,15550.0
Peak_5,18146.0,56542.0,13271.0,21933.0,13965.0,21826.0,21862.0,26508.0,30821.0,22820.0,22189.0,22570.0,17268.0,6888.0,21515.0,19544.0,51530.0,12945.0,11058.0,11838.0,10912.0,18681.0,22056.0,16816.0,4548.0,15486.0,9651.0,13868.0,8644.0,10256.0,9893.0,5757.0,19868.0,8226.0,5405.0,12999.0,47326.0,23078.0,22959.0,9088.0,22818.0,24271.0,48707.0,40110.0,29950.0,12850.0,11472.0,10735.0,7324.0,5708.0,12767.0,51733.0,22156.0,17074.0,19564.0,8360.0,74503.0,25028.0,19493.0,11382.0,17355.0,4971.0,24819.0,45420.0,5748.0,48277.0,16508.0,21884.0,5429.0,32600.0,16141.0,11785.0,7082.0,17060.0,20860.0,12976.0,5099.0,4933.0,20631.0,15028.0,46500.0,10183.0,28851.0,25015.0,23582.0,7680.0,43747.0,7990.0,6267.0,9389.0,10037.0,9715.0,7136.0,17204.0,5940.0,51502.0,22803.0,30287.0,25374.0,15550.0
Peak_10,18146.0,56542.0,13271.0,21933.0,13965.0,21826.0,21862.0,26508.0,30821.0,22820.0,22189.0,22570.0,17268.0,6888.0,21515.0,19544.0,51530.0,12945.0,11058.0,11838.0,10912.0,18681.0,22056.0,16816.0,4548.0,15486.0,9651.0,13868.0,8644.0,10256.0,9893.0,5757.0,19868.0,8226.0,5405.0,12999.0,47326.0,23078.0,22959.0,9088.0,22818.0,24271.0,48707.0,40110.0,29950.0,12850.0,11472.0,10735.0,7324.0,5708.0,12767.0,51733.0,22156.0,17074.0,19564.0,8360.0,74503.0,25028.0,19493.0,11382.0,17355.0,4971.0,24819.0,45420.0,5748.0,48277.0,16508.0,21884.0,5429.0,32600.0,16141.0,11785.0,7082.0,17060.0,20860.0,12976.0,5099.0,4933.0,20631.0,15028.0,46500.0,10183.0,28851.0,25015.0,23582.0,7680.0,43747.0,7990.0,6267.0,9389.0,10037.0,9715.0,7136.0,17204.0,5940.0,51502.0,22803.0,30287.0,25374.0,15550.0
Peak_Dur_2,1,10,None,1,None,3,2,2,4,3,1,2,1,None,2,4,7,None,None,None,None,1,3,None,None,None,None,None,None,None,None,None,2,None,None,None,6,4,2,None,4,2,12,3,4,None,None,None,None,None,None,10,2,1,2,None,7,3,4,None,1,None,2,4,None,6,None,4,None,13,None,None,None,None,2,None,None,None,5,None,10,None,4,6,3,None,10,None,None,None,None,None,None,1,None,9,4,7,2,None
Peak_Dur_5,None,6,None,None,None,None,None,1,2,None,None,None,None,None,None,None,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,None,None,None,None,None,6,3,2,None,None,None,None,None,None,5,None,None,None,None,5,1,None,None,None,None,None,3,None,4,None,None,None,3,None,None,None,None,None,None,None,None,None,None,6,None,2,None,None,None,7,None,None,None,None,None,None,None,None,3,None,2,1,None
Peak_Dur_10,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,None,2,None,None,None,None,None,None,None,None,1,None,None,None,None,3,None,None,None,None,None,None,1,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None
Peak_Fre_2,1,3,None,1,None,1,1,1,1,1,1,1,1,None,1,2,2,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,1,None,None,None,1,2,1,None,2,1,2,1,1,None,None,None,None,None,None,3,1,1,2,None,2,1,2,None,1,None,1,1,None,1,None,2,None,4,None,None,None,None,1,None,None,None,3,None,2,None,2,3,1,None,2,None,None,None,None,None,None,1,None,3,2,3,1,None
Peak_Fre_5,None,2,None,None,None,None,None,1,1,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,2,1,1,None,None,None,None,None,None,2,None,None,None,None,1,1,None,None,None,None,None,1,None,1,None,None,None,1,None,None,None,None,None,None,None,None,None,None,2,None,1,None,None,None,2,None,None,None,None,None,None,None,None,1,None,1,1,None
Peak_Fre_10,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,1,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None
