Year, 1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
FA_Mag,92.98995506767498,2720.014926740204,1795.007478513446,None,467.9949192363546,1202.989995318081,201.99987722143095,420.0035021195715,240.00333984747917,1205.9848696286044,None,1674.9947854271468,583.0039459082292,343.967147719906,1650.966027472938,1051.0015171889672,2363.009680571284,486.98568742929217,2129.9939412340614,322.99625020134135,125.00569210066155,489.99608498116305,583.9984896592919,512.978161445674,None,48.01998921492266,174.98989603270755,1106.0497028562286,104.99931800669158,484.9746708002176,2499.028848690777,58.998080399405865,1142.9958905684455,727.0121195228467,211.00008008774384,374.99880871613055,263.9908857549483,None,1685.991399710818,1433.9683955867902,None,398.00378075892195,2231.0029914598176,456.0074965222636,1357.9973644105464,597.9838874970477,355.97038174927917,201.99757563709395,719.0321414867626,1320.9641875715693,1793.0088272301498,2712.999448520746,1663.9321098724786,2126.9694104448536,85.00872615271669,1418.9448520896874,98.99704477639985,556.979438885441,290.16356702591503,499.98817318482224,None,758.997696759466,153.99947868479998,1706.0300529222363,1342.9186942068363,2327.0178820649685,538.0081009515568,788.0265433307579,468.9727162021349,1437.993949278179,3317.9739140751026,328.99896318664526,367.96954886288853,507.9625409405754,1282.0128643692126,202.0013805228471,None,None,167.95942012881272,477.99421224361924,2130.006118994679,208.99643887053293,1037.0004513417873,8496.952767519555,1222.9989916857135,1282.9226238415629,209.99933182700877,1219.0160227580466,None,2084.9946508275902,None,59.998092985317044,2490.996737076074,2156.974237931556,282.931482168023,2869.992279269089,None,338.99620986258344,401.0016622385057,490.9997486805905
FA_Tim,0,18,32,None,44,11,0,24,0,7,None,24,10,12,36,17,19,22,37,28,6,17,0,21,None,1,8,3,4,49,14,5,6,29,0,0,4,None,24,45,None,25,18,46,0,4,39,24,13,18,43,31,25,41,10,45,27,19,4,34,None,18,0,11,22,20,20,45,3,20,18,31,15,6,19,6,None,None,0,59,15,27,10,25,0,7,0,1,None,50,None,9,31,22,6,1,None,35,13,0
FA_Dur,5,9,9,None,4,5,4,6,7,6,None,6,4,5,7,6,6,6,6,8,5,5,3,3,None,5,4,3,3,6,7,3,6,6,2,1,5,None,7,9,None,6,5,5,3,9,5,6,5,8,9,8,6,5,4,9,4,6,3,6,None,7,2,5,6,7,5,6,1,7,7,5,7,5,7,2,None,None,2,7,5,6,5,8,5,6,2,8,None,5,None,7,9,7,2,10,None,6,5,7
Wet_BFL_Mag_10,243.4000000000001,119.40000000000003,510.4,50.0,258.6,735.6,814.0,1019.4000000000001,1312.0,789.0,120.5,1070.4,402.40000000000003,35.300000000000004,1298.8,1240.4,734.0,952.6000000000001,274.5,373.20000000000005,137.60000000000005,562.2,800.8,637.9,5.0,432.0,199.0,915.8000000000001,254.0,18.400000000000002,682.2,3.4000000000000004,620.6,386.6,100.5,861.5999999999999,224.20000000000002,1490.1,1122.6000000000001,323.6,1357.0,1015.8000000000001,1329.8999999999999,672.8,865.8000000000002,597.0,377.8,74.80000000000001,93.20000000000003,22.700000000000003,615.7,118.20000000000002,836.2,268.3,258.0,334.5,716.0000000000002,208.5,1094.1,16.200000000000003,126.7,0.8000000000000007,1140.4,779.2,32.8,601.6,361.5,289.4,95.8,2446.4,822.8000000000001,303.0,84.8,790.0,588.2,943.0000000000001,16.0,6.0,945.0,346.6,1143.8,60.500000000000014,841.8,1007.5,927.4,68.0,515.4,None,42.7,321.20000000000005,24.0,880.4000000000001,362.2,1186.0,111.5,1308.6999999999998,1460.2,1177.1,1011.4,960.8
Wet_BFL_Mag_50,2474.0,3929.0,1340.0,1109.0,1958.0,1323.0,3034.0,3524.0,2987.0,1357.5,1175.5,3128.0,793.0,394.0,3372.0,4301.0,2236.0,2385.0,2673.5,975.0,2255.0,2557.0,1391.0,2290.5,52.0,2567.0,2177.0,1798.0,1342.0,897.0,2166.5,400.0,1183.0,825.0,741.0,2200.0,2063.5,3079.5,3128.0,1428.5,2925.0,3431.0,2762.0,2317.0,2648.0,2288.0,1058.0,1034.0,708.0,241.0,1513.5,3607.0,2924.0,739.0,2747.5,1347.0,2647.0,1608.5,3964.0,948.0,704.5,334.0,2430.5,2353.0,239.0,2134.0,721.0,1719.0,957.5,4664.0,1907.0,891.0,701.0,2440.5,1968.0,2385.0,141.5,62.5,3265.0,2225.0,2619.0,938.5,2836.0,4006.5,1550.0,666.0,4264.0,None,375.5,2235.0,281.0,2071.0,1533.0,3250.0,653.5,4022.0,2986.0,2672.0,3422.0,1950.0
Wet_Tim,133,30,95,38,95,47,77,103,134,43,43,75,33,44,94,114,47,136,134,36,144,87,45,107,31,104,154,113,126,86,112,93,32,153,121,116,60,116,75,129,112,104,75,101,125,126,68,112,117,29,106,43,73,70,134,129,56,117,100,71,95,39,113,109,33,48,42,50,127,105,75,60,80,92,90,117,11,1,82,110,72,115,75,71,52,102,123,None,13,149,6,135,128,75,117,72,119,57,92,116
Wet_BFL_Dur,93,29,129,207,144,195,171,179,101,196,206,169,175,172,159,124,189,125,56,200,107,127,195,134,221,127,61,129,111,133,90,125,207,67,98,127,184,132,169,110,133,179,182,125,105,133,179,109,103,208,128,29,173,148,92,110,193,114,124,133,98,189,102,124,209,177,166,197,90,135,159,179,140,136,147,127,222,266,153,143,183,108,135,186,194,106,47,None,218,55,186,97,87,151,98,194,133,184,179,129
Peak_2,11951.0,37941.0,9787.0,15571.0,10551.0,14200.0,12794.0,19864.0,17786.0,15297.0,15555.0,14438.0,10620.0,4874.0,13250.0,14608.0,41309.0,10632.0,7550.0,8545.0,8156.0,10503.0,14412.0,10515.0,1550.0,7701.0,6464.0,8768.0,6688.0,5191.0,5052.0,3337.0,12446.0,5639.0,3438.0,10101.0,35330.0,16386.0,14487.0,7170.0,16094.0,18950.0,37366.0,26628.0,16961.0,10496.0,8419.0,6939.0,4384.0,4559.0,9192.0,32283.0,12975.0,11357.0,12748.0,6619.0,54885.0,16439.0,14487.0,6551.0,11451.0,3077.0,12037.0,29509.0,4467.0,37780.0,10083.0,16926.0,3380.0,23199.0,11353.0,8100.0,5113.0,11464.0,15317.0,10747.0,2860.0,2133.0,16711.0,10879.0,33695.0,6359.0,21781.0,18451.0,16370.0,4953.0,34713.0,4388.0,3818.0,6150.0,5837.0,7273.0,3156.0,12605.0,2929.0,38759.0,16620.0,25251.0,19161.0,10403.0
Peak_5,11951.0,37941.0,9787.0,15571.0,10551.0,14200.0,12794.0,19864.0,17786.0,15297.0,15555.0,14438.0,10620.0,4874.0,13250.0,14608.0,41309.0,10632.0,7550.0,8545.0,8156.0,10503.0,14412.0,10515.0,1550.0,7701.0,6464.0,8768.0,6688.0,5191.0,5052.0,3337.0,12446.0,5639.0,3438.0,10101.0,35330.0,16386.0,14487.0,7170.0,16094.0,18950.0,37366.0,26628.0,16961.0,10496.0,8419.0,6939.0,4384.0,4559.0,9192.0,32283.0,12975.0,11357.0,12748.0,6619.0,54885.0,16439.0,14487.0,6551.0,11451.0,3077.0,12037.0,29509.0,4467.0,37780.0,10083.0,16926.0,3380.0,23199.0,11353.0,8100.0,5113.0,11464.0,15317.0,10747.0,2860.0,2133.0,16711.0,10879.0,33695.0,6359.0,21781.0,18451.0,16370.0,4953.0,34713.0,4388.0,3818.0,6150.0,5837.0,7273.0,3156.0,12605.0,2929.0,38759.0,16620.0,25251.0,19161.0,10403.0
Peak_10,11951.0,37941.0,9787.0,15571.0,10551.0,14200.0,12794.0,19864.0,17786.0,15297.0,15555.0,14438.0,10620.0,4874.0,13250.0,14608.0,41309.0,10632.0,7550.0,8545.0,8156.0,10503.0,14412.0,10515.0,1550.0,7701.0,6464.0,8768.0,6688.0,5191.0,5052.0,3337.0,12446.0,5639.0,3438.0,10101.0,35330.0,16386.0,14487.0,7170.0,16094.0,18950.0,37366.0,26628.0,16961.0,10496.0,8419.0,6939.0,4384.0,4559.0,9192.0,32283.0,12975.0,11357.0,12748.0,6619.0,54885.0,16439.0,14487.0,6551.0,11451.0,3077.0,12037.0,29509.0,4467.0,37780.0,10083.0,16926.0,3380.0,23199.0,11353.0,8100.0,5113.0,11464.0,15317.0,10747.0,2860.0,2133.0,16711.0,10879.0,33695.0,6359.0,21781.0,18451.0,16370.0,4953.0,34713.0,4388.0,3818.0,6150.0,5837.0,7273.0,3156.0,12605.0,2929.0,38759.0,16620.0,25251.0,19161.0,10403.0
