1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
117.0,27.0,7.0,15.0,24.0,46.0,234.0,203.0,195.0,38.0,24.0,37.0,82.0,4.0,15.0,169.0,96.0,35.0,466.0,13.0,35.0,43.0,761.0,79.0,46.0,34.0,26.0,98.0,25.0,21.0,17.0,18.0,0.0,23.0,353.0,491.0,40.0,64.0,107.0,79.0,28.0,45.0,201.0,51.0,1746.0,36.0,72.0,45.0,8.0,63.0,24.0,25.0,9.0,87.0,28.0,27.0,27.0,57.0,33.0,30.0,9.0,1.0,193.0,61.0,28.0,26.0,36.0,5.0,276.0,5.0,130.0,8.0,38.0,16.0,30.0,49.0,40.0,62.0,223.0,524.0,58.0,47.0,21.0,292.0,1633.0,29.0,393.0,1217.0,16.0,4.0,33.0,4.0,29.0,31.0,159.0,2990.0,96.0,82.0,32.0,554.0
36.0,26.0,7.0,13.0,23.0,42.0,175.0,316.0,193.0,37.0,23.0,26.0,79.0,4.0,14.0,212.0,54.0,34.0,190.0,12.0,31.0,42.0,248.0,32.0,41.0,74.0,20.0,483.0,25.0,21.0,15.0,18.0,1.0,23.0,188.0,235.0,56.0,53.0,69.0,77.0,27.0,42.0,193.0,49.0,612.0,58.0,72.0,39.0,5.0,23.0,24.0,23.0,9.0,79.0,27.0,26.0,26.0,47.0,39.0,29.0,9.0,3.0,46.0,38.0,27.0,26.0,35.0,5.0,408.0,5.0,126.0,8.0,37.0,16.0,29.0,97.0,39.0,43.0,76.0,224.0,57.0,46.0,42.0,221.0,1477.0,28.0,110.0,1548.0,4.0,4.0,49.0,3.0,24.0,30.0,231.0,3819.0,93.0,120.0,31.0,529.0
8.0,25.0,7.0,13.0,23.0,50.0,79.0,287.0,194.0,37.0,22.0,25.0,77.0,4.0,14.0,193.0,51.0,36.0,90.0,12.0,31.0,42.0,58.0,24.0,40.0,52.0,11.0,1028.0,40.0,20.0,15.0,17.0,24.0,22.0,62.0,337.0,131.0,50.0,58.0,75.0,23.0,36.0,191.0,48.0,107.0,226.0,68.0,38.0,6.0,11.0,23.0,26.0,9.0,77.0,24.0,26.0,23.0,60.0,126.0,28.0,9.0,18.0,27.0,28.0,28.0,25.0,34.0,13.0,466.0,5.0,123.0,8.0,35.0,16.0,29.0,158.0,38.0,51.0,18.0,130.0,57.0,45.0,85.0,201.0,1051.0,39.0,66.0,1560.0,0.0,4.0,39.0,3.0,26.0,29.0,235.0,2159.0,88.0,168.0,30.0,489.0
5.0,25.0,7.0,16.0,19.0,81.0,32.0,148.0,192.0,91.0,22.0,27.0,75.0,4.0,14.0,136.0,50.0,48.0,74.0,12.0,36.0,47.0,26.0,23.0,43.0,15.0,5.0,1442.0,96.0,22.0,14.0,21.0,205.0,22.0,28.0,506.0,253.0,49.0,54.0,75.0,21.0,41.0,182.0,47.0,38.0,635.0,66.0,38.0,14.0,9.0,22.0,29.0,12.0,76.0,21.0,25.0,21.0,118.0,332.0,28.0,8.0,22.0,38.0,26.0,30.0,24.0,33.0,18.0,539.0,5.0,120.0,8.0,31.0,38.0,40.0,120.0,37.0,76.0,60.0,106.0,62.0,44.0,140.0,220.0,507.0,120.0,78.0,883.0,0.0,4.0,19.0,3.0,27.0,29.0,184.0,450.0,79.0,103.0,30.0,324.0
5.0,24.0,6.0,73.0,20.0,105.0,24.0,96.0,187.0,406.0,21.0,37.0,75.0,4.0,12.0,122.0,48.0,60.0,80.0,11.0,53.0,42.0,28.0,22.0,39.0,2.0,4.0,1328.0,109.0,13.0,10.0,43.0,690.0,43.0,31.0,632.0,325.0,47.0,54.0,80.0,21.0,45.0,174.0,46.0,59.0,768.0,71.0,40.0,23.0,5.0,22.0,25.0,16.0,77.0,24.0,24.0,23.0,194.0,373.0,27.0,8.0,7.0,28.0,26.0,26.0,24.0,32.0,13.0,531.0,5.0,118.0,7.0,30.0,164.0,69.0,82.0,36.0,69.0,178.0,110.0,62.0,46.0,201.0,261.0,226.0,381.0,102.0,245.0,0.0,4.0,15.0,3.0,22.0,28.0,176.0,86.0,82.0,60.0,31.0,179.0
6.0,23.0,6.0,187.0,21.0,78.0,26.0,90.0,178.0,1036.0,21.0,36.0,75.0,4.0,11.0,130.0,47.0,40.0,76.0,9.0,104.0,40.0,126.0,22.0,37.0,0.0,4.0,404.0,61.0,9.0,10.0,75.0,1248.0,138.0,77.0,388.0,150.0,46.0,52.0,77.0,20.0,45.0,179.0,45.0,143.0,287.0,63.0,35.0,15.0,4.0,21.0,24.0,16.0,79.0,25.0,24.0,21.0,167.0,238.0,26.0,8.0,1.0,14.0,25.0,18.0,23.0,31.0,13.0,636.0,7.0,119.0,7.0,29.0,478.0,82.0,135.0,35.0,49.0,222.0,103.0,57.0,55.0,246.0,257.0,162.0,846.0,69.0,91.0,0.0,3.0,15.0,3.0,20.0,27.0,273.0,77.0,78.0,51.0,32.0,132.0
20.0,23.0,6.0,208.0,20.0,68.0,41.0,90.0,165.0,1413.0,20.0,32.0,80.0,3.0,11.0,116.0,46.0,31.0,71.0,9.0,147.0,43.0,480.0,21.0,36.0,0.0,25.0,133.0,29.0,9.0,9.0,69.0,1495.0,202.0,120.0,213.0,47.0,45.0,49.0,71.0,22.0,35.0,181.0,43.0,209.0,58.0,59.0,34.0,7.0,4.0,21.0,24.0,12.0,77.0,24.0,23.0,22.0,181.0,75.0,25.0,8.0,0.0,7.0,24.0,12.0,23.0,31.0,18.0,358.0,8.0,116.0,7.0,28.0,659.0,43.0,232.0,34.0,40.0,73.0,92.0,50.0,60.0,330.0,213.0,186.0,1490.0,28.0,53.0,0.0,3.0,14.0,3.0,20.0,27.0,344.0,61.0,65.0,49.0,30.0,123.0
59.0,22.0,7.0,185.0,20.0,152.0,53.0,99.0,157.0,1557.0,16.0,23.0,146.0,3.0,10.0,115.0,44.0,29.0,69.0,8.0,131.0,46.0,1036.0,21.0,35.0,0.0,103.0,257.0,24.0,9.0,9.0,55.0,1331.0,226.0,87.0,64.0,33.0,44.0,40.0,69.0,23.0,36.0,171.0,42.0,90.0,30.0,58.0,33.0,5.0,4.0,16.0,21.0,9.0,71.0,23.0,23.0,20.0,154.0,27.0,25.0,8.0,1.0,5.0,74.0,11.0,22.0,30.0,13.0,193.0,7.0,112.0,7.0,28.0,570.0,27.0,223.0,34.0,55.0,11.0,87.0,50.0,49.0,420.0,176.0,296.0,1980.0,16.0,43.0,0.0,3.0,14.0,13.0,19.0,26.0,344.0,33.0,62.0,42.0,28.0,122.0
86.0,22.0,8.0,184.0,14.0,505.0,33.0,95.0,163.0,1376.0,24.0,21.0,373.0,12.0,10.0,112.0,39.0,28.0,65.0,8.0,91.0,40.0,1382.0,20.0,34.0,0.0,218.0,404.0,23.0,8.0,10.0,66.0,995.0,168.0,114.0,9.0,32.0,43.0,35.0,67.0,22.0,53.0,159.0,41.0,26.0,29.0,58.0,32.0,4.0,4.0,29.0,19.0,8.0,69.0,37.0,22.0,14.0,75.0,76.0,24.0,7.0,7.0,5.0,465.0,11.0,21.0,29.0,5.0,258.0,5.0,105.0,7.0,27.0,547.0,24.0,94.0,33.0,203.0,4.0,85.0,53.0,40.0,560.0,157.0,461.0,1278.0,14.0,36.0,6.0,3.0,26.0,43.0,14.0,25.0,312.0,31.0,61.0,41.0,26.0,140.0
40.0,21.0,11.0,119.0,14.0,1065.0,22.0,86.0,196.0,1037.0,71.0,22.0,635.0,69.0,10.0,99.0,37.0,28.0,58.0,6.0,63.0,34.0,1524.0,19.0,33.0,0.0,176.0,406.0,20.0,8.0,14.0,44.0,546.0,73.0,227.0,8.0,31.0,41.0,40.0,65.0,22.0,56.0,150.0,40.0,18.0,28.0,55.0,31.0,44.0,3.0,54.0,19.0,7.0,67.0,74.0,21.0,13.0,49.0,222.0,24.0,7.0,9.0,5.0,1408.0,11.0,21.0,28.0,4.0,418.0,4.0,102.0,7.0,27.0,272.0,24.0,39.0,32.0,541.0,4.0,84.0,52.0,37.0,926.0,150.0,403.0,568.0,14.0,36.0,19.0,3.0,142.0,77.0,12.0,37.0,334.0,36.0,59.0,40.0,35.0,224.0
