Dry Total 4.5,,,,Dry Total 8.5,,
Model,RCP45 Percent Change,RCP45 Absolute Change,,Model,RCP85 Percent Change,RCP85 Absolute Change
ACCESS1-0,-23.08,-2.5390625,,ACCESS1-0,19.89,2.1875
CCSM4,5.47,0.6015625,,CCSM4,-19.18,-2.109375
CESM1-BGC,8.59,0.9453125,,CESM1-BGC,-54.76,-6.0234375
CMCC-CMS,32.6,3.5859375,,CMCC-CMS,25.28,2.78125
CNRM-CM5,-36.08,-3.96875,,CNRM-CM5,-32.6,-3.5859375
CanESM2,-39.06,-4.296875,,CanESM2,-34.45,-3.7890625
GFDL-CM3,-26.14,-2.875,,GFDL-CM3,7.95,0.875
HadGEM2-CC,19.46,2.140625,,HadGEM2-CC,36.79,4.046875
HadGEM2-ES,18.54,2.0390625,,HadGEM2-ES,40.48,4.453125
MIROC5,6.53,0.71875,,MIROC5,6.39,0.703125
,,,,,,
Wet Total 4.5,,,,Wet Total 8.5,,
Model,RCP45 Percent Change,RCP45 Absolute Change,,Model,RCP85 Percent Change,RCP85 Absolute Change
ACCESS1-0,-9.23,-1.015625,,ACCESS1-0,-54.19,-5.9609375
CCSM4,13.57,1.4921875,,CCSM4,66.83,7.3515625
CESM1-BGC,69.03,7.59375,,CESM1-BGC,104.9,11.5390625
CMCC-CMS,-22.23,-2.4453125,,CMCC-CMS,8.38,0.921875
CNRM-CM5,146.45,16.109375,,CNRM-CM5,162.36,17.859375
CanESM2,79.55,8.75,,CanESM2,170.45,18.75
GFDL-CM3,19.96,2.1953125,,GFDL-CM3,50.36,5.5390625
HadGEM2-CC,12.64,1.390625,,HadGEM2-CC,23.51,2.5859375
HadGEM2-ES,33.45,3.6796875,,HadGEM2-ES,27.63,3.0390625
MIROC5,-47.8,-5.2578125,,MIROC5,-28.13,-3.09375
,,,,,,
Whiplash 4.5,,,,Whiplash 8.5,,
Model,RCP45 Percent Change,RCP45 Absolute Change,,Model,RCP85 Percent Change,RCP85 Absolute Change
ACCESS1-0,-74.68,-3.890625,,ACCESS1-0,-43.78,-2.3984375
CCSM4,43.87,2.4453125,,CCSM4,17.15,0.8828125
CESM1-BGC,55.56,3.2734375,,CESM1-BGC,-71.42,-4.328125
CMCC-CMS,-1.76,-0.2265625,,CMCC-CMS,95.01,3
CNRM-CM5,-24.56,-1.6640625,,CNRM-CM5,46.04,2.734375
CanESM2,-52.23,-3.0078125,,CanESM2,28.63,1.390625
GFDL-CM3,-15.51,-1.046875,,GFDL-CM3,55.01,3.0859375
HadGEM2-CC,-39.69,-1.859375,,HadGEM2-CC,106.86,4.8125
HadGEM2-ES,103.84,2.9609375,,HadGEM2-ES,74.28,2.1953125
MIROC5,-75.69,-3.328125,,MIROC5,-53.4,-2.3984375
