November-March Yearly Precipitation Data,,,,
Model,RCP85 % Change,RCP85 Abs Change,RCP45 % Change,RCP45 Abs Change
ACCESS1-0,3.07%,2.425055414,4.32%,3.443081107
CCSM4,4.06%,3.333496122,-3.76%,-3.134979588
CESM1-BGC,12.10%,9.256770837,3.90%,3.146284232
CMCC-CMS,3.48%,2.763270139,-2.50%,-1.997734057
CNRM-CM5,4.02%,3.299944563,-1.17%,-0.997987091
CanESM2,4.38%,3.620705083,1.17%,0.969724511
GFDL-CM3,2.98%,2.474693161,4.46%,3.545520219
HadGEM2-CC,5.99%,4.796727658,0.65%,0.503763186
HadGEM2-ES,7.89%,6.033854328,1.24%,0.995857397
MIROC5,7.62%,5.976539912,0.12%,0.100371414
,5.56%,,0.84%,
Max Three-Day Precipitation Data,,,,
Model,RCP85 % Change,RCP85 Abs Change,RCP45 % Change,RCP45 Abs Change
ACCESS1-0,-12.59%,-6.825897132,20.69%,9.775674542
CCSM4,10.41%,5.338408308,-29.91%,-21.25389324
CESM1-BGC,12.03%,7.587739629,15.85%,10.65038484
CMCC-CMS,39.12%,20.05824625,9.22%,5.478746865
CNRM-CM5,5.45%,4.598771802,7.84%,7.436877741
CanESM2,70.57%,38.22852567,-9.92%,-7.987105455
GFDL-CM3,-0.62%,-1.00872581,1.42%,0.157605932
HadGEM2-CC,-14.04%,-8.390563952,7.13%,3.338960979
HadGEM2-ES,16.09%,7.365502531,-24.39%,-13.40193658
MIROC5,17.05%,8.006625011,-18.04%,-11.15286192
,14.35%,,-2.01%,
