Year, 1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
FA_Mag,24.7689192134595,None,None,None,None,None,9.86325518508849,None,None,None,None,None,None,None,None,None,33.82411493316071,None,None,11.018288718776986,None,None,None,None,7.902434376544338,None,None,None
FA_Tim,49,None,None,None,None,None,3,None,None,None,None,None,None,None,None,None,66,None,None,1,None,None,None,None,1,None,None,None
FA_Dur,4,None,None,None,None,None,5,None,None,None,None,None,None,None,None,None,2,None,None,7,None,None,None,None,3,None,None,None
Wet_BFL_Mag_10,4.7,7.2299999999999995,8.4,4.8500000000000005,4.7,10.0,5.7,5.550000000000001,None,2.5,2.1,4.32,5.9,3.6,5.95,3.4,5.5,None,18.0,6.8,5.41,2.8499999999999996,4.15,5.2,3.6,2.3,None,11.600000000000001
Wet_BFL_Mag_50,12.0,35.0,18.0,26.5,19.0,25.5,16.0,35.0,None,6.6,6.2,19.0,39.0,6.300000000000001,38.0,13.0,44.0,None,75.0,20.0,14.0,7.2,41.0,22.0,18.0,13.0,None,23.0
Wet_Tim,178,193,218,181,208,189,194,184,None,169,175,172,203,183,189,165,209,None,199,202,208,197,188,158,202,185,None,156
Wet_BFL_Dur,87,60,66,90,53,88,78,86,None,93,90,99,71,80,96,101,71,None,71,82,62,66,86,151,51,81,None,147
Peak_2,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5
Peak_5,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002,89.20000000000002
Peak_10,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002,101.90000000000002
Peak_Dur_2,6,56,None,2,1,54,29,58,None,None,None,29,32,None,45,None,39,None,88,None,None,None,13,2,None,None,None,None
Peak_Dur_5,None,3,None,None,None,2,None,3,None,None,None,None,2,None,None,None,12,None,28,None,None,None,None,None,None,None,None,None
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,7,None,21,None,None,None,None,None,None,None,None,None
Peak_Fre_2,1,3,None,1,1,3,2,1,None,None,None,2,3,None,2,None,2,None,2,None,None,None,2,2,None,None,None,None
Peak_Fre_5,None,1,None,None,None,1,None,2,None,None,None,None,1,None,None,None,1,None,4,None,None,None,None,None,None,None,None,None
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,1,None,2,None,None,None,None,None,None,None,None,None
SP_Mag,58.0,84.0,40.0,43.0,34.0,95.0,71.0,92.0,20.0,18.0,17.0,71.0,62.0,23.0,83.0,22.0,115.0,23.0,130.0,38.0,38.0,16.0,52.0,40.0,47.0,15.0,23.0,49.0
SP_Tim,265,253,284,271,261,277,272,270,270,262,265,271,274,263,285,266,280,265,270,284,270,263,274,309,253,266,271,303
SP_Dur,95,141,87,95,116,85,75,127,69,69,41,84,96,105,93,83,65,102,125,89,99,67,90,54,84,68,42,None
SP_ROC,0.04210526315789478,0.045454545454545456,0.040816326530612276,0.04083333333333332,0.04999999999999997,0.043478260869565216,0.043478260869565216,0.043961352657004835,0.03508771929824565,0.050509337860780934,0.050632911392405104,0.047058823529411806,0.05714285714285714,0.047058823529411806,0.04938271604938265,0.04545454545454549,0.05555555555555555,0.04878048780487799,0.046785225718194275,0.05,0.04908160192713032,0.044466403162055274,0.04146079484425351,0.04679802955665016,0.04838709677419352,0.06060606060606053,0.04819277108433739,None
DS_Mag_50,4.4,4.95,3.5,3.2,5.5,4.2,4.2,None,2.4,2.2,2.8,4.4,5.0,4.7,4.1,4.1,None,3.8,4.5,3.0,2.4,2.2,3.8,3.3,2.5,None,3.2,None
DS_Mag_90,5.9,7.820000000000005,4.1,4.1,8.7,6.8,5.480000000000001,None,3.3,3.0,4.9,6.2,8.0,6.040000000000004,5.5,6.75,None,11.200000000000017,8.3,4.1,2.9,2.6,5.0,5.5,4.5,None,5.0,None
DS_Tim,360,394,371,366,377,362,347,397,339,331,306,355,370,368,378,349,345,367,395,373,369,330,364,363,337,334,313,None
DS_Dur_WS,199,218,181,208,189,198,203,None,196,210,232,214,183,189,165,226,None,199,202,208,197,224,160,205,214,None,209,None
