Year, 1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
FA_Mag,None,10.682472072444694,None,None,8.962016678751207,34.88706400502058,19.999080436391758,None,None,None,None,7.317118341895346,13.653783487519286,None,None,18.99963304915915,None,None,None,10.998461831274959,None
FA_Tim,None,25,None,None,36,72,48,None,None,None,None,56,38,None,None,62,None,None,None,13,None
FA_Dur,None,4,None,None,8,2,3,None,None,None,None,3,3,None,None,8,None,None,None,3,None
Wet_BFL_Mag_10,2.95,3.08,4.06,5.0,9.25,9.91,10.0,5.640000000000002,6.8100000000000005,6.1,4.2,3.7,6.42,4.0,6.8,8.9,None,4.880000000000001,4.28,5.510000000000001,None
Wet_BFL_Mag_50,6.8,7.8,16.0,7.7,32.5,26.5,17.5,18.0,24.0,13.0,5.6,10.5,19.0,12.0,12.0,51.0,None,11.0,6.7,13.0,None
Wet_Tim,170,169,146,165,198,171,66,192,187,160,149,161,210,145,186,190,None,164,160,184,None
Wet_BFL_Dur,86,55,119,70,76,82,170,83,74,80,82,86,43,99,61,62,None,89,75,72,None
Peak_2,24.0,15.0,57.0,16.0,130.0,88.0,80.0,78.0,85.0,40.0,18.0,28.0,58.0,23.0,73.0,170.0,17.0,28.0,34.0,68.0,None
Peak_5,24.0,15.0,57.0,16.0,130.0,88.0,80.0,78.0,85.0,40.0,18.0,28.0,58.0,23.0,73.0,170.0,17.0,28.0,34.0,68.0,None
Peak_10,24.0,15.0,57.0,16.0,130.0,88.0,80.0,78.0,85.0,40.0,18.0,28.0,58.0,23.0,73.0,170.0,17.0,28.0,34.0,68.0,None
Peak_Dur_2,None,None,1,None,48,16,7,27,22,None,None,None,2,None,18,41,None,None,None,5,None
Peak_Dur_5,None,None,None,None,24,1,1,None,2,None,None,None,None,None,None,27,None,None,None,None,None
Peak_Dur_10,None,None,None,None,16,1,None,None,None,None,None,None,None,None,None,19,None,None,None,None,None
Peak_Fre_2,None,None,1,None,1,3,2,1,2,None,None,None,1,None,1,2,None,None,None,1,None
Peak_Fre_5,None,None,None,None,3,1,1,None,1,None,None,None,None,None,None,3,None,None,None,None,None
Peak_Fre_10,None,None,None,None,2,1,None,None,None,None,None,None,None,None,None,3,None,None,None,None,None
SP_Mag,24.0,13.0,48.0,15.0,130.0,71.0,56.0,70.0,65.0,40.0,18.0,28.0,56.0,23.0,66.0,97.0,17.0,17.0,33.0,54.0,None
SP_Tim,256,224,265,235,274,253,236,275,261,240,231,247,253,244,247,252,234,253,235,256,None
SP_Dur,54,150,79,65,40,50,89,55,65,52,74,77,35,74,67,80,86,85,91,53,None
SP_ROC,0.058823529411764705,0.05128205128205122,0.03540100250626568,0.02702702702702705,0.04939024390243903,0.0625,0.04706533776301218,0.05128205128205128,0.06299603174603174,0.046536796536796536,0.030303030303030196,0.03393730227207359,0.07417582417582418,0.030303030303030196,0.05634920634920634,0.043478260869565216,0.023809523809523937,0.03508771929824565,0.022474747474747495,0.06329113924050632,None
DS_Mag_50,3.3,2.8,4.8,4.2,8.3,7.6,5.7,6.5,6.1,4.3,3.4,4.3,4.6,4.7,7.95,None,4.0,3.55,4.0,None,None
DS_Mag_90,4.3,3.5,5.0,7.0,16.0,11.0,6.799999999999999,9.960000000000003,7.8,6.0,3.9,6.4,6.1800000000000015,5.5,13.0,None,4.7,4.030000000000001,4.7,None,None
DS_Tim,310,374,344,300,314,303,325,330,326,292,305,324,288,318,314,332,320,338,326,309,None
DS_Dur_WS,225,146,187,264,223,129,233,223,200,223,222,252,223,234,242,None,210,188,224,None,None
