2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
None,13.3,10.3,7.74,7.62,79.7,7.43,19.5,28.8,6.74,13.5,111.0,8.69,23.8
None,12.5,11.5,8.09,8.76,76.9,6.71,18.3,28.5,9.9,13.6,96.4,9.8,22.6
None,11.9,11.0,8.12,21.1,74.8,6.26,17.5,26.3,12.8,13.7,86.4,19.8,21.8
None,11.2,18.2,8.14,109.0,73.6,5.89,16.2,23.9,14.0,14.1,80.2,46.7,21.2
None,11.2,25.6,8.46,143.0,136.0,5.67,15.4,22.4,15.3,15.3,78.0,44.8,19.6
None,12.8,24.3,10.1,106.0,143.0,5.61,14.6,20.8,22.4,16.3,73.4,42.2,18.6
None,15.2,22.1,11.0,96.0,131.0,5.69,13.9,20.2,23.2,16.0,65.1,33.6,17.7
None,15.4,19.8,10.9,83.0,156.0,5.75,13.5,19.2,20.9,15.7,59.1,29.9,16.8
None,14.9,17.8,10.4,76.0,162.0,5.71,14.5,18.1,18.5,15.4,54.1,26.6,16.2
None,14.2,16.5,9.82,78.0,181.0,5.61,20.3,17.1,15.9,14.9,49.3,24.2,15.7
None,13.3,15.6,9.28,94.0,331.0,5.75,21.0,16.2,14.1,14.3,46.1,22.6,15.2
21.0,13.2,14.7,8.74,111.0,301.0,6.01,22.2,15.3,13.0,14.0,44.8,22.0,14.4
21.6,13.2,14.0,150.0,112.0,268.0,6.71,21.9,14.4,12.0,13.5,43.6,21.1,14.0
20.0,12.9,13.3,747.0,97.8,247.0,8.44,21.8,13.6,11.1,13.5,41.9,19.9,13.8
19.0,12.3,13.5,313.0,87.9,219.0,8.3,20.6,12.8,10.7,15.3,40.3,18.4,13.4
17.9,11.9,14.5,296.0,81.5,194.0,7.57,19.0,12.2,11.9,507.0,39.2,17.4,13.2
17.0,12.4,13.8,273.0,80.1,176.0,7.01,18.1,11.7,33.3,643.0,37.5,16.4,13.0
17.0,13.9,13.0,266.0,101.0,161.0,6.57,17.2,11.1,198.0,367.0,36.3,16.0,12.9
16.0,13.6,13.0,318.0,125.0,147.0,6.05,17.1,10.5,205.0,284.0,35.5,15.6,12.7
16.0,13.3,12.0,263.0,118.0,135.0,5.67,16.8,9.95,146.0,259.0,44.0,15.1,12.4
15.1,13.6,12.1,221.0,110.0,125.0,5.43,16.3,9.54,119.0,266.0,44.9,14.6,12.5
14.5,13.7,11.6,198.0,106.0,116.0,6.27,15.7,9.1,98.7,253.0,42.8,14.2,12.4
13.9,12.3,11.0,183.0,106.0,108.0,12.1,15.4,8.66,84.7,227.0,46.4,13.9,12.0
13.6,12.0,10.9,178.0,1540.0,101.0,13.2,15.0,8.2,75.7,351.0,43.4,13.7,11.5
13.2,11.4,10.5,167.0,2280.0,95.8,11.7,14.7,7.79,69.7,320.0,40.3,13.5,11.2
12.7,10.7,10.2,152.0,990.0,91.3,11.2,14.4,7.47,64.2,264.0,37.6,13.3,10.8
12.3,10.3,9.98,145.0,500.0,85.2,13.3,14.1,7.1,58.8,251.0,35.7,13.2,10.4
11.8,10.3,9.73,127.0,310.0,82.2,13.8,18.9,6.64,64.2,1250.0,34.3,12.9,10.0
11.7,10.6,9.44,107.0,286.0,79.7,14.1,26.7,6.23,97.2,886.0,33.2,12.7,9.83
11.6,11.9,9.5,119.0,265.0,75.7,13.8,26.1,5.87,80.3,1290.0,32.2,12.4,8.96
11.1,13.2,30.8,110.0,244.0,71.5,12.7,26.2,5.81,70.7,981.0,31.7,12.1,9.27
10.2,13.3,328.0,105.0,226.0,67.9,12.0,27.6,16.8,67.3,738.0,31.1,11.5,8.94
10.2,13.0,391.0,101.0,223.0,63.4,11.4,26.7,17.8,222.0,581.0,30.3,11.2,9.57
12.5,12.5,188.0,97.7,244.0,57.2,10.8,26.7,14.6,232.0,503.0,30.3,11.7,10.2
15.5,11.6,152.0,95.2,263.0,64.1,9.88,25.0,11.3,193.0,457.0,30.3,11.3,10.2
15.8,10.8,122.0,92.5,256.0,55.8,9.28,25.1,10.8,161.0,411.0,30.9,11.1,10.1
14.4,10.3,118.0,87.1,243.0,71.4,8.94,20.7,12.7,165.0,377.0,30.0,11.0,9.91
14.1,10.3,132.0,81.6,259.0,74.5,8.67,20.1,14.8,173.0,348.0,27.2,10.9,9.74
15.3,10.2,129.0,75.5,303.0,70.7,8.63,22.2,14.7,170.0,336.0,24.2,10.3,9.69
15.3,10.3,171.0,68.4,263.0,71.8,9.93,21.3,13.5,196.0,331.0,26.0,9.95,9.38
17.1,10.5,151.0,69.7,297.0,72.6,10.5,20.2,13.0,187.0,324.0,28.4,9.6,9.18
14.5,16.0,127.0,69.8,253.0,72.2,9.41,19.8,12.2,170.0,311.0,25.6,9.32,8.92
14.9,21.1,133.0,72.6,237.0,79.3,9.34,19.4,11.3,173.0,300.0,22.6,9.29,8.97
15.9,19.6,147.0,67.7,249.0,77.9,11.4,19.6,20.5,170.0,281.0,22.6,9.28,9.41
154.0,17.1,164.0,65.1,250.0,75.5,10.6,20.1,35.5,170.0,262.0,22.7,9.31,9.37
70.1,18.1,177.0,65.1,298.0,72.1,10.5,19.0,25.7,168.0,247.0,28.6,9.55,9.19
50.0,17.8,165.0,67.4,287.0,70.2,11.2,18.2,19.0,159.0,238.0,525.0,9.43,9.34
44.9,16.8,148.0,66.6,249.0,67.6,52.8,18.1,14.7,179.0,201.0,744.0,9.49,9.16
42.9,16.2,136.0,65.5,228.0,67.9,94.9,17.7,12.9,191.0,199.0,348.0,9.3,8.76
41.1,14.9,126.0,60.6,210.0,62.5,54.7,16.5,12.2,179.0,214.0,282.0,9.21,8.79
37.3,14.1,117.0,58.8,207.0,57.6,45.1,24.8,13.9,185.0,186.0,255.0,9.2,8.89
35.1,13.3,107.0,59.7,211.0,53.7,54.0,52.0,15.6,190.0,196.0,283.0,9.5,8.87
33.6,11.6,99.3,58.1,233.0,57.9,84.4,39.8,26.3,185.0,164.0,294.0,22.8,8.39
29.0,10.6,93.3,55.6,247.0,60.0,59.4,29.7,64.5,177.0,183.0,296.0,29.6,9.01
27.8,9.66,86.1,54.6,229.0,57.9,55.2,27.1,31.9,167.0,153.0,298.0,58.9,10.0
23.5,9.16,85.0,53.5,238.0,53.1,52.8,27.4,23.5,157.0,162.0,269.0,49.4,8.13
25.2,9.33,85.6,51.6,243.0,51.2,48.7,27.2,21.2,150.0,163.0,278.0,38.9,7.72
27.5,9.87,84.4,50.6,244.0,52.5,44.7,28.3,21.5,151.0,171.0,427.0,37.5,8.87
25.8,9.55,76.3,54.9,238.0,50.7,53.5,28.1,21.4,128.0,189.0,334.0,152.0,9.31
22.4,9.27,77.0,49.2,221.0,49.1,66.4,26.8,21.5,119.0,194.0,304.0,160.0,9.75
24.2,8.92,75.1,54.6,222.0,46.8,261.0,24.7,30.2,116.0,187.0,271.0,112.0,9.35
24.4,9.1,70.8,58.3,226.0,42.0,155.0,23.2,33.9,117.0,178.0,252.0,84.9,35.2
23.8,8.57,69.8,56.7,244.0,30.4,594.0,22.8,70.0,116.0,165.0,235.0,79.6,51.9
22.3,6.82,65.2,54.1,257.0,31.1,354.0,28.5,240.0,124.0,168.0,231.0,73.0,37.6
21.5,6.8,61.7,54.6,261.0,34.6,240.0,29.1,159.0,127.0,177.0,169.0,78.7,48.0
