Year, 1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994
FA_Mag,None,None,None,None,44.93361856451997,None,69.99651863850045,49.949803303451084,None,None,None,None,63.996166608586755,77.9571416355446,None,88.86306002060604,111.0019679198577,61.89783465877334,133.91228416184273,134.92692555080922,57.9874052961802,79.93723838422564,None,550.7351595786234,None,66.99030107850318,45.97857107509783,57.924558268984676,None,81.0086159365287,None,207.99906693217778,495.99566837956746,255.92892601462628,68.94493386163742,59.98253043021951,50.99993179038173,39.94021022643613,41.97403357920765,60.932621940014,34.98520876053163,50.005811681911794,None,45.96773956463757
FA_Tim,None,None,None,None,45,None,70,12,None,None,None,None,13,36,None,48,59,2,33,15,35,41,None,41,None,10,1,52,None,19,None,44,25,41,33,62,0,70,53,23,55,39,None,14
FA_Dur,None,None,None,None,2,None,5,4,None,None,None,None,5,4,None,3,2,12,2,5,4,3,None,2,None,2,4,6,None,8,None,3,7,2,2,5,3,6,4,5,4,2,None,6
Wet_BFL_Mag_10,60.0,40.0,87.0,68.0,92.0,95.2,87.39999999999999,49.0,68.0,42.0,38.2,35.6,110.0,52.0,92.4,34.8,78.0,77.60000000000001,65.0,124.4,86.2,46.0,57.0,111.80000000000001,73.4,66.5,27.0,142.0,91.0,117.0,55.7,106.7,152.0,121.20000000000002,69.0,71.90000000000002,38.7,36.5,45.0,39.0,39.2,52.0,160.4,36.6
Wet_BFL_Mag_50,200.0,402.5,254.0,392.0,285.0,319.0,210.0,524.0,181.0,176.5,151.0,322.0,470.0,151.0,119.5,251.0,693.5,252.5,405.0,238.0,247.5,152.5,388.0,260.0,315.0,117.0,68.0,425.0,307.0,484.0,235.0,679.0,1220.0,328.5,292.0,310.0,173.5,91.5,272.0,162.0,147.0,147.0,510.0,116.0
Wet_Tim,21,166,163,177,196,158,170,181,149,149,160,166,196,163,61,147,205,168,164,158,161,132,174,157,196,185,166,187,176,177,167,176,205,152,164,123,169,123,135,140,172,164,178,141
Wet_BFL_Dur,241,86,106,57,59,99,82,83,102,100,92,100,66,87,218,89,72,94,85,109,112,116,81,95,53,46,89,68,76,101,78,88,77,112,89,124,58,116,119,114,85,59,83,105
Peak_2,2600.0,1390.0,1010.0,771.0,784.0,2220.0,905.0,1030.0,402.0,544.0,400.0,681.0,1400.0,495.0,2220.0,500.0,1380.0,557.0,1500.0,634.0,717.0,625.0,1190.0,1080.0,1250.0,413.0,253.0,1010.0,965.0,1230.0,563.0,1260.0,1680.0,1100.0,530.0,1320.0,426.0,323.0,720.0,353.0,574.0,354.0,955.0,476.0
Peak_5,2600.0,1390.0,1010.0,771.0,784.0,2220.0,905.0,1030.0,402.0,544.0,400.0,681.0,1400.0,495.0,2220.0,500.0,1380.0,557.0,1500.0,634.0,717.0,625.0,1190.0,1080.0,1250.0,413.0,253.0,1010.0,965.0,1230.0,563.0,1260.0,1680.0,1100.0,530.0,1320.0,426.0,323.0,720.0,353.0,574.0,354.0,955.0,476.0
Peak_10,2600.0,1390.0,1010.0,771.0,784.0,2220.0,905.0,1030.0,402.0,544.0,400.0,681.0,1400.0,495.0,2220.0,500.0,1380.0,557.0,1500.0,634.0,717.0,625.0,1190.0,1080.0,1250.0,413.0,253.0,1010.0,965.0,1230.0,563.0,1260.0,1680.0,1100.0,530.0,1320.0,426.0,323.0,720.0,353.0,574.0,354.0,955.0,476.0
