1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
2.5,6.2,1.7,1.5,47.0,31.0,41.0,5.1,1.6,23.0,0.8,2.0,0.0,21.0,30.0,4.7,1.8,12.0,2.0,8.6,3.0,26.0,3.1,5.8,0.42,1.3,19.0,9.4,5.8
24.0,6.1,1.6,1.5,50.0,39.0,41.0,5.1,1.6,23.0,0.8,1.8,0.0,21.0,29.0,4.7,2.0,12.0,2.0,8.8,2.4,26.0,1.8,6.0,0.62,1.3,19.0,3.9,5.8
49.0,6.1,1.4,1.5,51.0,49.0,44.0,7.2,1.6,23.0,0.8,1.8,0.0,21.0,32.0,4.9,2.0,12.0,2.0,8.8,0.1,25.0,0.03,6.1,0.71,1.3,18.0,3.9,5.8
48.0,6.0,1.3,1.3,50.0,48.0,48.0,11.0,1.5,23.0,0.8,1.8,0.0,21.0,35.0,5.1,2.0,12.0,2.0,8.8,0.0,25.0,0.9,6.1,0.81,1.4,18.0,4.0,5.8
48.0,6.0,1.2,0.9,50.0,48.0,49.0,8.1,1.5,23.0,0.8,1.8,0.0,21.0,27.0,5.1,2.0,12.0,2.0,8.8,8.1,24.0,0.37,6.0,0.82,1.4,18.0,4.3,5.8
52.0,6.0,1.1,0.9,50.0,47.0,52.0,5.6,1.5,23.0,0.8,1.8,0.0,21.0,20.0,5.2,2.0,12.0,2.0,8.7,33.0,23.0,0.09,6.0,0.83,1.3,18.0,4.3,5.8
57.0,6.2,0.9,0.9,48.0,47.0,53.0,5.6,1.5,23.0,0.8,1.7,0.0,20.0,20.0,5.2,2.0,12.0,2.0,8.7,36.0,23.0,1.7,6.1,0.78,1.3,19.0,4.4,5.8
57.0,6.5,0.8,0.8,47.0,46.0,53.0,5.5,1.5,23.0,0.8,1.7,0.0,19.0,20.0,5.2,2.0,12.0,2.0,8.7,36.0,22.0,4.6,6.2,0.75,1.3,19.0,4.4,5.8
57.0,6.5,0.8,0.8,45.0,46.0,52.0,5.5,1.4,22.0,0.8,1.8,0.0,19.0,20.0,5.2,2.0,17.0,2.0,8.7,35.0,22.0,2.9,6.2,1.5,1.3,29.0,4.5,5.7
56.0,6.5,0.7,0.8,44.0,45.0,52.0,5.5,1.3,22.0,0.9,1.7,0.0,18.0,20.0,5.2,2.0,20.0,2.0,8.5,35.0,21.0,1.5,6.8,1.6,1.3,37.0,4.5,5.7
56.0,6.5,0.7,0.8,42.0,45.0,41.0,4.4,1.2,22.0,2.3,6.7,0.0,18.0,12.0,4.5,1.8,20.0,2.0,8.5,34.0,20.0,1.4,30.0,1.6,1.3,36.0,4.6,5.7
54.0,6.5,0.7,0.7,40.0,44.0,34.0,5.6,1.1,22.0,8.6,8.1,0.0,18.0,3.9,4.0,1.8,20.0,2.0,8.5,33.0,9.7,1.4,47.0,1.6,1.3,36.0,4.6,5.7
55.0,6.5,0.6,0.6,39.0,36.0,24.0,6.7,1.1,22.0,32.0,4.8,0.0,17.0,3.9,4.0,1.8,24.0,2.0,8.4,40.0,0.96,1.2,46.0,0.72,1.3,36.0,4.6,5.7
54.0,6.5,0.4,0.3,38.0,29.0,16.0,13.0,1.1,18.0,82.0,4.3,0.0,17.0,3.9,4.0,1.8,28.0,2.0,8.4,43.0,0.21,1.5,45.0,0.57,1.3,36.0,4.5,5.6
54.0,6.5,0.4,0.2,21.0,28.0,16.0,18.0,1.0,14.0,72.0,4.2,0.0,17.0,4.0,4.0,30.0,28.0,2.0,8.4,41.0,0.71,2.6,45.0,0.64,1.2,35.0,4.5,5.6
