Year, 1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Mag,None,38.00133217797048,None,None,51.02484884976356,48.99480570484401,53.00407481403053,11.00684863084039,1.6376934104447127,23.079445774147676,81.98662276685612,78.01494873132785,None,None,127.00298438497418,12.08572424326761,72.0009546981022,52.99907096153221,85.95245416868023,30.17556501514674,36.01232383557313,None,25.996282702212778,108.01172957888159,17.003477914467034,5.633848569590676,None,None,59.903956519297445
FA_Tim,None,35,None,None,2,2,6,3,0,6,13,48,None,None,60,17,53,25,56,62,6,None,39,29,52,62,None,None,42
FA_Dur,None,2,None,None,4,3,7,7,17,2,4,6,None,None,3,5,3,2,3,11,3,None,6,5,4,17,None,None,9
Wet_BFL_Mag_10,56.0,22.5,37.400000000000006,1.4900000000000002,14.0,35.0,7.600000000000001,2.5,5.470000000000004,29.2,5.0,20.0,0.1,20.1,66.0,1.9100000000000001,51.0,69.80000000000001,57.00000000000001,23.700000000000003,52.0,46.1,62.2,3.4,0.28200000000000003,63.0,89.2,25.0,9.6
Wet_BFL_Mag_50,301.0,159.0,177.0,147.0,199.0,387.0,134.0,205.0,155.5,405.0,99.0,215.0,104.5,290.0,594.0,204.0,403.5,153.0,274.0,207.0,287.0,94.0,396.0,85.0,75.0,232.0,305.5,139.5,205.0
Wet_Tim,167,137,154,60,126,179,120,140,130,163,101,178,60,147,203,122,162,87,157,116,168,20,194,149,174,138,174,81,140
Wet_BFL_Dur,96,96,99,190,122,59,107,109,122,93,137,57,184,72,61,122,76,150,97,128,66,222,53,81,73,107,62,184,101
Peak_2,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0
Peak_5,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0
Peak_10,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999,3313.999999999999
Peak_Dur_2,2,1,None,7,1,7,None,None,None,None,2,None,3,None,8,None,27,2,None,None,5,2,7,None,None,None,1,3,None
Peak_Dur_5,None,1,None,2,None,None,None,None,None,None,2,None,2,None,None,None,None,None,None,None,None,1,None,None,None,None,None,2,None
Peak_Dur_10,None,None,None,1,None,None,None,None,None,None,1,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_2,2,1,None,3,1,2,None,None,None,None,1,None,1,None,3,None,1,1,None,None,2,1,4,None,None,None,1,1,None
Peak_Fre_5,None,1,None,1,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,1,None
Peak_Fre_10,None,None,None,1,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SP_Mag,1280.0,592.0,494.0,890.0,690.0,1150.0,422.0,280.0,197.0,548.0,878.0,475.0,689.0,493.0,1010.0,399.0,1360.0,594.0,561.0,486.0,1320.0,965.0,1370.0,279.0,196.0,790.0,1030.0,645.0,380.0
SP_Tim,263,233,253,250,248,238,227,249,252,256,238,235,244,219,264,244,238,237,254,244,234,242,247,230,247,245,236,265,241
SP_Dur,37,93,92,41,53,77,115,62,38,79,127,117,124,64,50,29,72,70,43,38,50,117,53,81,85,59,45,41,30
SP_ROC,0.08823529411764706,0.08,0.06711409395973154,0.08375041708375042,0.09807692307692309,0.09016393442622951,0.06250000000000006,0.10714285714285714,0.11764705882352941,0.07983460559796438,0.07843472317156527,0.05701754385964912,0.09523809523809523,0.07462686567164178,0.09105612162380722,0.08771929824561403,0.07502398464982411,0.09090909090909091,0.08275862068965517,0.0981494000338009,0.07954545454545454,0.09111111111111111,0.08180628272251309,0.06742424242424241,0.07317073170731707,0.08208955223880597,0.10101010101010101,0.07445887445887446,0.09971963807824646
DS_Mag_50,10.0,1.7,1.1,6.7,4.6,5.0,2.2,0.5,8.1,6.05,45.0,0.0,17.0,30.0,2.9,27.0,14.0,13.0,8.7,17.0,13.5,3.1,34.0,2.8,2.5,23.0,12.0,5.3,5.7
DS_Mag_90,26.0,2.9400000000000035,1.9,46.0,47.0,41.0,5.6,2.9,23.0,18.900000000000006,76.0,1.7,22.0,109.5,50.0,71.6,59.0,92.0,30.599999999999994,46.0,32.0,44.0,50.0,18.000000000000085,37.900000000000006,58.5,38.0,40.099999999999994,19.0
DS_Tim,300,326,345,291,301,315,342,311,290,335,365,352,368,283,314,273,310,307,297,282,284,359,300,311,332,304,281,306,271
DS_Dur_WS,203,194,81,201,244,171,164,185,239,132,179,74,147,286,174,255,143,216,185,252,102,201,215,229,172,236,166,200,235
