Year, 1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941
FA_Mag,1179.8698270481373,679.9842006692056,None,791.9919318065694,1419.9974123104123,494.9754894815377,459.9855982672063,1059.999516432889,1039.982495538012,1799.9863804136353,None,10899.902890477544,2159.8608736902193,None,None,1689.860302018386,960.0119832501798,639.9955974670982,None,3459.9732665594893,1659.9744160687671,None,793.9580122774463,809.9841709378046,363.99272984991717,None,None,973.9947162150609,None,None,37898.96598161368,None,1119.9756543744315,None
FA_Tim,67,16,None,11,0,41,30,0,64,2,None,1,72,None,None,40,3,29,None,55,26,None,72,8,41,None,None,49,None,None,71,None,2,None
FA_Dur,5,3,None,4,4,5,8,4,5,6,None,4,4,None,None,3,2,3,None,2,2,None,4,4,2,None,None,2,None,None,2,None,2,None
Wet_BFL_Mag_10,880.0,1650.0,948.5,1430.0,1160.0,615.0,1062.0,1940.0,1351.0000000000002,1940.0,568.8000000000001,None,1300.0,1400.0,2252.0,1620.0,395.9,528.0,1254.0,1328.0,885.0,564.5,631.4,582.8,1476.0,1104.0,628.4000000000001,1518.0,858.0,1630.0,2194.0,838.0000000000001,1502.0,2160.0
Wet_BFL_Mag_50,1930.0,3675.0,2540.0,7320.0,3380.0,1640.0,4300.0,4610.0,5635.0,5090.0,3000.0,None,3260.0,3500.0,10050.0,3700.0,1420.0,2160.0,3820.0,3540.0,2700.0,1620.0,1660.0,1140.0,3140.0,2000.0,1220.0,5130.0,3160.0,4320.0,6820.0,1200.0,3710.0,4490.0
Wet_Tim,139,84,33,91,203,170,76,157,84,168,129,None,164,136,189,160,166,111,152,117,154,142,122,154,111,135,38,150,113,107,111,14,104,109
Wet_BFL_Dur,77,186,214,203,49,69,188,98,180,96,128,None,81,133,74,97,60,131,85,143,91,120,137,68,159,125,185,120,117,161,162,193,155,171
Peak_2,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0
Peak_5,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004
Peak_10,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0
