Year, 1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
FA_Mag,11399.974628173426,15899.706823768554,834.9982978276508,4999.921915190353,4979.959364063975,3499.938164437936,1110.000812579982,674.9954015546119,2459.8103694246015,9999.721642276396,879.9886746166309,1009.9719967604096,964.9851460631636,877.9959854203398,417.023881083419,829.9988917493747,859.9961319427372,784.9874864853928,544.9949786431514,3889.92888089927,889.9913588953237,449.9949296770807,999.9935010055962,859.9925068960979,11399.845861532309,919.9860016084414,None,1629.8765777354713,503.9948395294414,None,1499.9807308811403,449.9652375001794,611.9958060067307,None,408.0109458000473,929.001694504929,458.9968543043955
FA_Tim,44,10,60,34,67,14,19,11,40,36,32,19,39,6,36,2,1,6,25,37,6,5,43,10,40,44,None,46,23,None,30,34,14,None,2,31,6
FA_Dur,4,7,2,10,9,5,7,3,5,5,7,4,5,2,4,2,6,5,2,5,4,2,6,3,5,3,None,4,3,None,5,2,5,None,8,7,2
Wet_BFL_Mag_10,1901.0,1380.0,600.0,560.0,1670.0,565.0,810.0,1788.0000000000002,940.0,1560.0,855.0000000000001,865.0,1154.0000000000002,1520.0,438.0,601.0,482.0,3050.0,940.0,1350.0,480.0,960.0,375.0,881.0,1480.0,482.0,149.60000000000002,220.0,1304.0,752.6,404.0,911.0,1140.0,654.7,814.3000000000001,766.0,330.0
Wet_BFL_Mag_50,10800.0,5135.0,7675.0,5675.0,3100.0,4200.0,4800.0,7900.0,2180.0,4700.0,5190.0,5450.0,7960.0,4800.0,3025.0,3925.0,2250.0,5600.0,6150.0,2500.0,825.0,3520.0,3130.0,5750.0,2960.0,1185.0,3070.0,805.0,3450.0,2420.0,1430.0,2140.0,4790.0,3940.0,6540.0,2030.0,3890.0
Wet_Tim,116,70,84,54,74,77,22,88,141,152,65,88,74,111,109,93,133,26,115,52,97,58,102,32,147,64,49,79,65,143,52,72,78,105,32,142,75
Wet_BFL_Dur,122,142,166,120,161,34,182,169,101,85,164,141,148,138,98,128,71,227,133,180,105,173,94,198,36,198,159,96,187,113,131,128,176,124,218,47,111
Peak_2,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0,25100.0
Peak_5,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0,47700.0
Peak_10,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999,66579.99999999999
Peak_Dur_2,10,None,8,10,None,9,2,2,None,None,4,4,1,1,None,2,None,None,None,1,None,2,None,2,5,None,None,None,None,None,None,1,1,None,2,None,7
Peak_Dur_5,3,None,1,5,None,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,3,None,None,None,None,None,None,None,None,None,1,None,3
Peak_Dur_10,None,None,None,3,None,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,1,None,None
Peak_Fre_2,5,None,5,2,None,4,2,1,None,None,2,1,1,1,None,1,None,None,None,1,None,1,None,2,1,None,None,None,None,None,None,1,1,None,1,None,3
Peak_Fre_5,3,None,1,2,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,1,None,2
Peak_Fre_10,None,None,None,2,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,1,None,None
SP_Mag,14800.0,8800.0,25600.0,60000.0,8000.0,71000.0,9890.0,13700.0,7420.0,8620.0,11600.0,18600.0,15300.0,9420.0,6340.0,10200.0,6570.0,7780.0,17400.0,10700.0,1580.0,6820.0,8980.0,14100.0,27000.0,4700.0,5360.0,2740.0,6800.0,4500.0,12200.0,16400.0,12300.0,10300.0,13200.0,3920.0,43300.0
SP_Tim,238,212,250,174,235,111,204,257,242,237,229,229,222,249,207,221,204,253,248,232,202,231,196,230,183,262,208,175,252,256,183,200,254,229,250,189,186
SP_Dur,58,90,63,139,75,179,84,54,59,49,83,63,88,55,81,55,96,59,62,77,56,47,76,70,99,31,78,105,53,43,60,103,42,72,64,85,84
SP_ROC,0.05466998754669987,0.07124730364166984,0.06403940886699508,0.061224489795918366,0.07272727272727272,0.06451612903225806,0.06870229007633588,0.078,0.05172413793103448,0.057692307692307696,0.06060606060606061,0.061384863363771386,0.05806542217612998,0.06389776357827476,0.060377816922796576,0.06030150753768844,0.07142857142857142,0.088595692453876,0.07269661718526976,0.0729751872659176,0.06363636363636363,0.05660377358490566,0.050530289804469275,0.06618803418803419,0.04093567251461988,0.05894736842105263,0.05714285714285714,0.05223880597014925,0.05454545454545454,0.06132478632478633,0.05369154388212684,0.07186858316221766,0.06133828996282528,0.06826568265682657,0.05217391304347826,0.059278350515463915,0.10586319218241043
DS_Mag_50,845.0,455.0,500.0,520.0,350.0,480.0,390.0,525.0,550.0,260.0,375.0,370.5,459.0,294.0,435.0,285.0,177.0,323.0,355.0,412.5,207.0,385.0,240.0,1210.0,300.0,184.0,272.0,147.0,274.0,238.0,217.0,336.0,290.0,285.0,482.0,216.0,282.0
DS_Mag_90,1558.0000000000007,515.0,740.0,700.0,700.0,860.0,1100.0,1020.0,1560.0,500.0,694.7000000000002,622.700000000001,1680.0,438.0,865.0,688.0,647.0000000000001,2014.000000000002,684.0,590.0,755.0,730.0,350.0,3200.0,482.5000000000003,283.6,320.0,480.0,552.0000000000001,348.8,719.9999999999998,455.0,400.59999999999997,339.0,837.0000000000002,279.0,463.0
DS_Tim,296,302,313,313,310,290,288,311,301,286,312,292,310,304,288,276,300,312,310,309,258,278,272,300,282,293,286,280,305,299,243,303,296,301,314,274,270
