Year, 1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,None,3.1415049030439954,81.74095086550147,None,None,None,None,4.4764267423325395,None,1.5409149924109642,None,None,None,None,None,None,None,None,None,None,None,None,6.7730987972672025,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.537505914599269,8.944520495293208,1.2983409617482407,None,None,None,None,3.984890809887632,None,None,None,None,None,None,1.3212419227821592,None,None,None,4.506510378686954,None,None,None,None,None,None,6.974958853230322,None,None,25.701911873328026,None,None,None,None,None,None,None,None,None,None,None,None
FA_Tim,None,None,52,8,None,None,None,None,72,None,0,None,None,None,None,None,None,None,None,None,None,None,None,46,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,61,64,57,None,None,None,None,9,None,None,None,None,None,None,44,None,None,None,68,None,None,None,None,None,None,26,None,None,61,None,None,None,None,None,None,None,None,None,None,None,None
FA_Dur,None,None,16,5,None,None,None,None,6,None,11,None,None,None,None,None,None,None,None,None,None,None,None,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,28,10,None,None,None,None,8,None,None,None,None,None,None,9,None,None,None,22,None,None,None,None,None,None,9,None,None,20,None,None,None,None,None,None,None,None,None,None,None,None
Wet_BFL_Mag_10,None,0.0,0.4,None,None,0.6,0.3,5.75,2.6,2.2,0.5,0.8,None,None,None,None,None,None,0.0,1.44,None,None,0.09999999999999964,0.5,None,None,None,None,1.5,None,None,None,None,None,None,None,0.0,0.0,0.0,1.4,0.0,None,None,0.2,None,None,None,None,0.25600000000000017,1.2,2.18,3.3,1.7,2.94,5.7,1.6,0.51,None,None,None,None,None,None,1.1219999999999999,0.0,4.51,0.359,0.24800000000000003,1.3,0.0,None,None,None,None,None,7.897,0.0,None,0.0,None,0.0,0.0,None,None,0.03,0.0,0.0,0.8440000000000002,None,0.13,None
Wet_BFL_Mag_50,None,1.85,1.9,None,None,1.6,1.5,33.0,4.65,7.0,5.5,12.0,None,None,None,None,None,None,0.7,3.7,None,None,4.4,3.2,None,None,None,None,24.0,None,None,None,None,None,None,None,3.35,0.0,0.0,11.0,0.02,None,None,2.7,None,None,None,None,20.0,19.5,42.5,5.6,6.4,14.0,6.8,3.5,2.4,None,None,None,None,None,None,59.0,0.25,14.0,1.4,1.5,27.0,0.0,None,None,None,None,None,22.5,0.0,None,2.72,None,9.17,3.99,None,None,0.065,0.11,0.0,8.969999999999999,None,9.02,None
Wet_Tim,None,118,83,None,None,92,118,80,134,69,86,73,None,None,None,None,None,None,105,94,None,None,80,64,None,None,None,None,153,None,None,None,None,None,None,None,40,54,66,106,139,None,None,119,None,None,None,None,84,69,116,113,87,56,37,41,49,None,None,None,None,None,None,89,108,87,9,84,118,32,None,None,None,None,None,83,9,None,89,None,100,70,None,None,129,55,85,101,None,120,None
Wet_BFL_Dur,None,22,61,None,None,101,74,96,24,67,46,95,None,None,None,None,None,None,85,105,None,None,92,31,None,None,None,None,36,None,None,None,None,None,None,None,54,17,18,47,18,None,None,57,None,None,None,None,75,116,32,46,99,103,55,62,121,None,None,None,None,None,None,58,211,78,160,37,32,256,None,None,None,None,None,68,12,None,41,None,19,82,None,None,26,101,18,54,None,21,None
Peak_2,None,13.0,1210.0,82.0,None,38.0,109.0,1140.0,813.0,76.0,88.0,860.0,None,None,None,None,None,None,7.7,7.8,None,None,374.0,55.0,None,None,None,None,474.0,None,None,None,None,None,None,None,303.0,288.0,39.0,389.0,55.0,None,None,64.0,None,None,None,None,440.0,439.0,2040.0,29.0,228.0,776.0,153.0,51.0,1050.0,4.9,None,None,None,None,None,1660.0,92.0,670.0,13.0,18.0,329.0,28.0,None,None,None,None,None,835.0,350.0,None,28.8,None,348.0,338.0,None,None,29.0,1.42,54.7,368.0,None,2020.0,None
Peak_5,None,13.0,1210.0,82.0,None,38.0,109.0,1140.0,813.0,76.0,88.0,860.0,None,None,None,None,None,None,7.7,7.8,None,None,374.0,55.0,None,None,None,None,474.0,None,None,None,None,None,None,None,303.0,288.0,39.0,389.0,55.0,None,None,64.0,None,None,None,None,440.0,439.0,2040.0,29.0,228.0,776.0,153.0,51.0,1050.0,4.9,None,None,None,None,None,1660.0,92.0,670.0,13.0,18.0,329.0,28.0,None,None,None,None,None,835.0,350.0,None,28.8,None,348.0,338.0,None,None,29.0,1.42,54.7,368.0,None,2020.0,None
Peak_10,None,13.0,1210.0,82.0,None,38.0,109.0,1140.0,813.0,76.0,88.0,860.0,None,None,None,None,None,None,7.7,7.8,None,None,374.0,55.0,None,None,None,None,474.0,None,None,None,None,None,None,None,303.0,288.0,39.0,389.0,55.0,None,None,64.0,None,None,None,None,440.0,439.0,2040.0,29.0,228.0,776.0,153.0,51.0,1050.0,4.9,None,None,None,None,None,1660.0,92.0,670.0,13.0,18.0,329.0,28.0,None,None,None,None,None,835.0,350.0,None,28.8,None,348.0,338.0,None,None,29.0,1.42,54.7,368.0,None,2020.0,None
