Year, 1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
FA_Mag,1.9895760339585324,None,None,None,41.99398604549487,None,1.4433457040602358,9.92557601539668,None,None,3.988954013681011,11.992310115499256,None,None,None,5.543322600439805,None,6.004089272977187,None,None,None,9.60620601833928,None,4.134440752403206,None,1.9827334374601158,1.0592770850223114,None,None,None,None,108.98544595898684,1.6559098845860676,2.2025735901478374,2.0827976594694424,None,45.9948993218473,None,None,19.944283978391102,None,None,6.400404278861527,11.940246752797721,1.9738625054322712,None,None,None,5.980840329108512
FA_Tim,59,None,None,None,18,None,44,72,None,None,49,23,None,None,None,7,None,65,None,None,None,66,None,45,None,47,54,None,None,None,None,62,57,18,61,None,37,None,None,36,None,None,47,48,7,None,None,None,62
FA_Dur,19,None,None,None,2,None,20,36,None,None,4,8,None,None,None,6,None,26,None,None,None,5,None,16,None,9,18,None,None,None,None,20,4,5,20,None,4,None,None,1,None,None,14,17,7,None,None,None,3
Wet_BFL_Mag_10,2.0,4.82,0.6100000000000001,0.0,13.5,1.6,9.0,2.5200000000000005,None,3.4,21.0,7.0,1.35,13.0,6.5,6.3,14.2,3.300000000000001,3.8,1.3,0.75,15.0,2.8,11.0,3.9,3.3800000000000017,2.5300000000000002,5.68,4.22,0.0,2.3,5.460000000000001,1.9600000000000002,2.7,4.800000000000001,0.0,7.3,4.75,6.680000000000002,5.0,1.1,1.8000000000000003,17.599999999999998,10.0,4.840000000000001,0.9,4.72,None,19.0
Wet_BFL_Mag_50,4.6,10.5,11.0,1.4,31.0,17.0,52.0,5.0,None,16.0,196.5,11.0,73.0,28.5,12.0,9.1,39.0,7.050000000000001,13.0,3.6,1.3,42.0,7.2,21.0,14.0,8.6,10.0,43.5,19.0,3.2,3.1,10.5,4.0,3.8,17.0,30.0,25.0,15.0,70.0,11.0,15.0,3.75,40.5,19.0,19.0,2.7,11.0,None,44.5
Wet_Tim,109,117,77,71,60,117,117,80,None,88,129,58,102,65,31,71,38,117,122,63,93,85,29,101,36,104,91,67,120,56,27,115,75,32,178,38,52,38,102,109,36,72,120,93,120,119,172,None,92
Wet_BFL_Dur,105,22,142,26,136,32,55,147,None,67,26,138,56,124,175,131,53,98,77,71,126,106,146,91,189,123,64,138,37,79,99,24,139,166,33,57,173,106,52,60,80,18,92,91,99,20,65,None,108
Peak_2,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,None,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,None,267.0
Peak_5,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,None,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,649.0000000000001,None,649.0000000000001
Peak_10,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,None,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,1709.0,None,1709.0
