1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963
10.0,10.0,7.0,9.0,24.0,4.0,6.0,6.0,4.0,11.0,16.0,12.0,8.1,7.4,14.0,12.0,12.0,7.5,5.4,5.1,7.6
10.0,10.0,7.0,9.0,17.0,5.0,6.0,6.0,4.0,33.0,15.0,12.0,8.5,7.4,14.0,11.0,12.0,7.5,5.7,5.1,7.6
10.0,9.0,7.0,9.0,17.0,5.0,6.0,6.0,4.0,36.0,15.0,12.0,8.5,7.0,14.0,13.0,12.0,7.5,6.0,5.1,7.3
10.0,9.0,7.0,9.0,16.0,5.0,6.0,6.0,4.0,20.0,15.0,13.0,8.5,7.0,17.0,14.0,12.0,7.5,6.0,5.1,7.6
10.0,9.0,7.0,9.0,14.0,5.0,6.0,6.0,4.0,16.0,15.0,12.0,8.9,7.4,16.0,16.0,11.0,7.0,6.0,5.1,8.0
10.0,9.0,7.0,9.0,13.0,5.0,6.0,6.0,4.0,15.0,15.0,12.0,8.9,7.8,14.0,17.0,11.0,7.0,8.0,5.1,7.6
10.0,9.0,7.0,11.0,13.0,5.0,6.0,7.0,5.0,14.0,15.0,12.0,8.9,7.8,17.0,14.0,11.0,7.0,10.0,5.1,8.0
10.0,10.0,8.0,11.0,13.0,8.0,6.0,8.0,5.0,14.0,15.0,12.0,9.7,7.8,23.0,13.0,12.0,7.0,7.0,5.4,7.6
10.0,13.0,8.0,11.0,12.0,8.0,6.0,8.0,5.0,13.0,15.0,12.0,9.7,7.4,17.0,13.0,11.0,7.5,6.0,5.7,8.0
10.0,11.0,8.0,14.0,12.0,12.0,6.0,8.0,5.0,13.0,15.0,12.0,9.3,7.8,17.0,13.0,11.0,8.0,6.7,5.7,11.0
10.0,10.0,8.0,31.0,12.0,15.0,6.0,8.0,5.0,14.0,15.0,15.0,9.3,8.5,34.0,13.0,11.0,8.0,8.0,6.0,50.0
10.0,8.0,7.0,20.0,11.0,11.0,6.0,8.0,5.0,14.0,15.0,14.0,8.9,8.5,25.0,14.0,11.0,7.5,6.7,6.7,433.0
10.0,7.0,7.0,14.0,12.0,8.0,7.0,8.0,5.0,13.0,15.0,13.0,8.9,8.1,21.0,37.0,11.0,8.0,6.0,6.7,724.0
10.0,7.0,7.0,13.0,12.0,8.0,9.0,8.0,5.0,13.0,15.0,13.0,8.9,8.1,20.0,48.0,10.0,8.0,6.0,6.4,786.0
10.0,7.0,7.0,17.0,11.0,8.0,9.0,8.0,5.0,12.0,15.0,13.0,9.3,8.1,18.0,27.0,11.0,8.0,5.7,6.4,461.0
10.0,8.0,7.0,19.0,12.0,72.0,8.0,8.0,5.0,13.0,15.0,13.0,9.3,8.1,17.0,21.0,11.0,8.0,5.7,6.0,163.0
10.0,8.0,7.0,14.0,13.0,100.0,8.0,7.0,5.0,12.0,15.0,13.0,8.9,8.1,17.0,19.0,11.0,8.0,6.0,6.0,129.0
10.0,11.0,7.0,13.0,12.0,38.0,7.0,7.0,5.0,12.0,16.0,19.0,8.9,8.1,17.0,17.0,12.0,7.5,5.7,7.5,118.0
10.0,12.0,7.0,13.0,12.0,28.0,7.0,8.0,5.0,12.0,17.0,22.0,9.3,8.5,18.0,17.0,14.0,8.0,6.0,6.4,110.0
10.0,13.0,7.0,12.0,12.0,22.0,7.0,8.0,5.0,12.0,16.0,18.0,9.3,9.3,17.0,21.0,14.0,7.5,6.4,8.5,104.0
10.0,19.0,9.0,12.0,12.0,22.0,7.0,8.0,5.0,12.0,16.0,16.0,9.3,9.3,16.0,21.0,12.0,8.0,6.7,39.0,97.0
10.0,17.0,9.0,12.0,12.0,21.0,7.0,8.0,12.0,12.0,15.0,15.0,9.3,8.9,16.0,20.0,12.0,8.0,6.4,17.0,91.0
10.0,13.0,9.0,11.0,17.0,18.0,7.0,8.0,12.0,14.0,15.0,15.0,9.7,8.9,18.0,20.0,13.0,8.0,6.7,12.0,84.0
10.0,13.0,9.0,11.0,14.0,16.0,7.0,8.0,19.0,48.0,15.0,15.0,9.7,8.9,22.0,29.0,14.0,8.0,6.4,10.0,78.0
10.0,13.0,9.0,11.0,13.0,14.0,7.0,8.0,31.0,36.0,15.0,14.0,9.7,8.9,23.0,28.0,13.0,8.0,7.0,8.5,73.0
10.0,14.0,8.0,11.0,13.0,13.0,7.0,8.0,73.0,32.0,15.0,14.0,10.0,9.7,40.0,27.0,13.0,8.0,7.0,10.0,68.0
10.0,14.0,8.0,11.0,12.0,12.0,7.0,8.0,114.0,30.0,15.0,14.0,10.0,11.0,54.0,23.0,13.0,8.0,6.7,17.0,62.0
10.0,14.0,9.0,11.0,16.0,12.0,8.0,8.0,49.0,27.0,15.0,14.0,9.7,9.7,31.0,21.0,13.0,8.0,7.5,24.0,58.0
10.0,14.0,9.0,23.0,18.0,13.0,8.0,8.0,38.0,27.0,15.0,14.0,9.7,9.3,27.0,19.0,12.0,8.0,7.5,15.0,55.0
10.0,14.0,10.0,217.0,16.0,21.0,8.0,8.0,89.0,26.0,15.0,14.0,9.7,8.9,42.0,18.0,12.0,7.5,7.0,12.0,52.0
10.0,14.0,42.0,98.0,16.0,22.0,10.0,8.0,52.0,24.0,15.0,14.0,9.7,8.5,37.0,17.0,12.0,8.0,7.5,11.0,50.0
10.0,14.0,27.0,59.0,13.0,22.0,26.0,8.0,34.0,24.0,15.0,14.0,10.0,8.1,35.0,17.0,12.0,8.5,7.0,11.0,49.0
10.0,14.0,17.0,47.0,13.0,24.0,50.0,8.0,41.0,26.0,15.0,16.0,10.0,8.5,32.0,17.0,13.0,8.5,7.0,11.0,47.0
17.0,14.0,28.0,56.0,13.0,22.0,55.0,8.0,59.0,27.0,16.0,16.0,10.0,8.5,29.0,17.0,13.0,8.5,8.5,10.0,45.0
16.0,14.0,88.0,55.0,13.0,20.0,37.0,8.0,55.0,27.0,15.0,15.0,10.0,8.5,28.0,18.0,12.0,8.0,9.5,10.0,43.0
13.0,14.0,42.0,53.0,13.0,19.0,23.0,8.0,45.0,30.0,15.0,15.0,10.0,9.3,30.0,17.0,12.0,8.0,10.0,10.0,42.0
13.0,14.0,28.0,49.0,13.0,18.0,20.0,8.0,31.0,27.0,15.0,17.0,10.0,10.0,30.0,17.0,12.0,8.5,12.0,9.5,40.0
12.0,14.0,27.0,37.0,13.0,21.0,16.0,8.0,17.0,28.0,15.0,17.0,10.0,9.7,31.0,17.0,13.0,8.0,12.0,10.0,39.0
11.0,14.0,27.0,34.0,13.0,19.0,14.0,9.0,13.0,27.0,15.0,17.0,11.0,9.3,31.0,17.0,12.0,8.5,10.0,10.0,38.0
12.0,14.0,38.0,36.0,13.0,17.0,13.0,11.0,10.0,24.0,15.0,17.0,14.0,9.3,35.0,16.0,12.0,9.0,9.5,10.0,40.0
12.0,14.0,45.0,38.0,13.0,16.0,15.0,11.0,9.0,26.0,15.0,17.0,13.0,9.3,39.0,16.0,14.0,8.0,9.5,10.0,94.0
13.0,14.0,39.0,33.0,13.0,14.0,15.0,12.0,9.0,31.0,15.0,32.0,13.0,8.9,38.0,18.0,14.0,8.5,11.0,10.0,61.0
12.0,14.0,36.0,36.0,13.0,14.0,14.0,13.0,8.0,59.0,20.0,29.0,21.0,8.9,35.0,20.0,14.0,8.5,20.0,9.5,54.0
11.0,14.0,33.0,33.0,13.0,13.0,13.0,12.0,8.0,45.0,32.0,29.0,16.0,9.3,33.0,23.0,14.0,8.0,16.0,8.5,48.0
12.0,14.0,34.0,33.0,13.0,14.0,12.0,12.0,9.0,41.0,30.0,39.0,14.0,10.0,30.0,79.0,27.0,9.0,15.0,8.5,47.0
57.0,14.0,34.0,36.0,13.0,13.0,12.0,12.0,8.0,42.0,26.0,32.0,67.0,15.0,29.0,40.0,21.0,9.5,14.0,10.0,45.0
