Year, 1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,15.852244144673547,6.732867384927277,6.727603846984229,10.948076574274799,None,None,4.216741642379848,None,None,7.732056383309308,None,8.86619645376419,14.916164490090539,10.011237706293368,9.088379734450552,11.002095361386933,19.963347939466374,15.998837063538792,12.94824599229777,16.96553695941568,None,8.374889768800164,None,4.53823223601282,None,6.281029684547788,7.564577395862166,3.793798110252193,55.83868585085692,None,14.850023877727306,13.947013445362158,None,None,4.0459889834085505,12.923050784522072,None,10.956934371555151,6.403472910694453,None,7.275563835329755,70.86766990642639,28.993897571914605,None,17.881793377067666,13.981818256166449,None,11.147187415879799,17.948787037531613,13.921268136438004,None,45.78058628426524,8.281576797898369,None,7.76656029703948,7.192711090229988,38.18332484246299,None,4.2750175555463406,None,None,2.8712867660192556,13.268113394536666,None,5.589551254813438,None
FA_Tim,None,45,50,10,44,None,None,42,None,None,10,None,44,46,1,33,15,35,41,34,37,None,9,None,52,None,18,64,6,25,None,41,62,None,None,43,22,None,25,29,None,36,72,48,None,53,27,None,52,38,66,None,61,44,None,32,12,23,None,31,None,None,32,15,None,54,None
FA_Dur,None,2,7,2,5,None,None,4,None,None,4,None,4,3,4,3,5,3,5,4,3,None,10,None,3,None,2,8,2,8,None,6,1,None,None,2,5,None,7,7,None,3,3,2,None,4,2,None,4,4,2,None,3,2,None,8,3,3,None,8,None,None,2,4,None,5,None
Wet_BFL_Mag_10,5.88,5.5,5.0,12.0,8.1,3.4000000000000004,6.9,2.1,3.6,3.4,4.3,7.66,4.6,8.25,8.2,11.040000000000001,8.780000000000001,19.0,5.51,9.4,7.38,7.470000000000001,3.4000000000000004,2.62,10.100000000000001,4.8,6.0,4.59,7.8,31.0,9.4,8.879999999999999,24.0,4.2,2.6,8.5,6.120000000000001,2.9,3.8,5.02,3.0,14.0,17.5,8.6,21.700000000000003,14.600000000000001,9.0,3.86,5.266,7.886,5.92,11.530000000000001,6.909,4.0169999999999995,5.93,4.442,4.61,16.34,6.839,3.1959999999999997,2.016,1.7000000000000002,6.183999999999999,12.96,3.996,8.809000000000001,None
Wet_BFL_Mag_50,19.0,11.5,17.0,27.0,43.5,7.1,19.0,5.0,36.0,11.0,5.4,12.0,21.0,87.5,18.0,45.0,19.0,42.0,20.5,41.5,20.5,36.5,4.0,3.0,23.5,16.0,10.0,7.05,21.0,146.0,19.0,30.0,47.0,6.6,3.2,29.0,17.0,9.3,4.85,26.5,6.9,42.0,45.5,18.0,54.0,55.0,31.5,7.7,17.5,15.6,17.700000000000003,32.849999999999994,18.1,10.05,13.8,9.885000000000002,17.9,53.8,10.2,4.13,4.885,2.38,21.5,41.2,5.59,52.45,None
Wet_Tim,153,170,73,173,188,94,154,97,170,6,16,71,151,210,132,172,74,180,136,181,83,198,20,128,164,171,86,129,39,216,19,178,127,130,37,147,164,145,135,153,141,149,176,61,196,191,160,148,153,157,154,188,75,127,169,141,161,177,163,43,110,41,132,94,30,174,None
Wet_BFL_Dur,70,66,166,60,46,117,43,151,53,232,213,164,60,46,87,67,159,61,108,48,160,48,197,73,72,60,151,80,203,41,220,39,119,79,163,76,42,93,64,82,81,112,56,166,62,49,80,67,69,83,60,48,158,90,65,80,91,85,54,147,84,97,92,145,167,78,None
Peak_2,59.0,44.0,398.0,97.0,149.0,28.0,44.0,16.0,55.0,370.0,40.0,348.0,36.0,170.0,35.0,163.0,153.0,119.0,37.0,86.0,101.0,105.0,24.0,10.0,88.0,46.0,173.0,26.0,253.0,206.0,89.0,51.0,300.0,20.0,10.0,54.0,29.0,47.0,12.0,100.0,16.0,175.0,263.0,800.0,89.0,169.0,60.0,16.0,43.7,53.9,28.0,181.0,350.0,18.2,25.4,79.9,55.0,114.0,72.6,75.2,48.5,31.0,45.8,227.0,115.0,92.9,None
Peak_5,59.0,44.0,398.0,97.0,149.0,28.0,44.0,16.0,55.0,370.0,40.0,348.0,36.0,170.0,35.0,163.0,153.0,119.0,37.0,86.0,101.0,105.0,24.0,10.0,88.0,46.0,173.0,26.0,253.0,206.0,89.0,51.0,300.0,20.0,10.0,54.0,29.0,47.0,12.0,100.0,16.0,175.0,263.0,800.0,89.0,169.0,60.0,16.0,43.7,53.9,28.0,181.0,350.0,18.2,25.4,79.9,55.0,114.0,72.6,75.2,48.5,31.0,45.8,227.0,115.0,92.9,None
Peak_10,59.0,44.0,398.0,97.0,149.0,28.0,44.0,16.0,55.0,370.0,40.0,348.0,36.0,170.0,35.0,163.0,153.0,119.0,37.0,86.0,101.0,105.0,24.0,10.0,88.0,46.0,173.0,26.0,253.0,206.0,89.0,51.0,300.0,20.0,10.0,54.0,29.0,47.0,12.0,100.0,16.0,175.0,263.0,800.0,89.0,169.0,60.0,16.0,43.7,53.9,28.0,181.0,350.0,18.2,25.4,79.9,55.0,114.0,72.6,75.2,48.5,31.0,45.8,227.0,115.0,92.9,None
