Year, 1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
FA_Mag,None,None,5.461281967403799,None,None,None,None,11.992078683846792,None,None,None,None,6.500170482037198,None,None,None,None,None,None,None,None,None,None,None,179.98126709449235,None,None,None,None,None,5.424518948482317,None,6.568013366245222,None,None,None,None,None,None,None,None,None,31.9682057683583,None,4.348863814715553,None,None,36.96755297263101,None,None,14.932291524676126,None,None,None,None,None,None,None,None,24.97319604690366,None,None,20.965999520587708
FA_Tim,None,None,0,None,None,None,None,56,None,None,None,None,0,None,None,None,None,None,None,None,None,None,None,None,71,None,None,None,None,None,40,None,65,None,None,None,None,None,None,None,None,None,50,None,17,None,None,37,None,None,36,None,None,None,None,None,None,None,None,51,None,None,58
FA_Dur,None,None,8,None,None,None,None,6,None,None,None,None,3,None,None,None,None,None,None,None,None,None,None,None,3,None,None,None,None,None,10,None,7,None,None,None,None,None,None,None,None,None,1,None,4,None,None,13,None,None,5,None,None,None,None,None,None,None,None,3,None,None,4
Wet_BFL_Mag_10,4.2,2.9300000000000006,2.9,5.0,3.9,2.4,2.8,2.5,2.2,2.0,2.4,2.2,4.430000000000001,3.16,2.5,2.1,2.2800000000000002,3.12,10.600000000000001,5.5,3.8999999999999995,6.6000000000000005,5.5,4.3,8.5,7.2,5.199999999999999,3.9,4.4,4.2,2.8,2.1,6.26,3.06,3.8,2.6,2.0,1.8,3.7,3.0,2.6,2.1,2.84,1.9,1.9,1.9,2.42,5.0,4.2,4.3100000000000005,4.4,4.9,None,None,None,None,None,None,4.75,10.0,11.1,7.5,5.8
Wet_BFL_Mag_50,9.75,4.1,21.0,7.0,4.6,3.3,4.1,3.9,2.5,3.6,3.9,3.3,19.0,20.0,3.0,7.5,3.9,16.0,23.0,6.5,4.300000000000001,65.0,6.0,21.0,9.5,8.0,7.0,12.0,5.5,4.9,3.8,2.4,9.6,5.0,6.1,3.6,2.0,2.2,15.0,3.5,2.8,2.4,2.9,2.0,2.3,8.7,16.0,7.8,6.5,34.0,5.35,7.0,None,None,None,None,None,None,91.5,15.5,23.5,8.1,6.8
Wet_Tim,126,97,69,8,110,122,113,122,59,33,96,112,114,97,62,3,112,71,120,67,87,125,14,101,131,31,70,32,46,95,50,9,85,33,98,30,103,89,112,123,53,22,120,118,42,172,40,53,32,103,92,48,None,None,None,None,None,None,122,69,113,58,83
Wet_BFL_Dur,52,142,67,132,83,68,80,21,72,134,76,101,22,27,35,191,37,105,37,18,18,33,81,56,18,140,116,60,143,24,85,147,87,69,81,85,19,19,77,19,57,100,18,18,145,21,53,154,131,48,66,38,None,None,None,None,None,None,36,116,32,99,91
Peak_2,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,None,None,None,None,None,None,179.0,179.0,179.0,179.0,179.0
Peak_5,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,None,None,None,None,None,None,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006,505.00000000000006
Peak_10,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,None,None,None,None,None,None,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995,1947.9999999999995
