Year, 1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975
FA_Mag,None,None,251.9794532495157,None,None,71.99338921002285,None,None,36.982089890392906,None,None,156.97842746744087,None,49.99074665272181,71.0311465241805,49.96375608820408,None,72.77428092063522,None,15.940955788029838,60.89433183344697,None,82.76009929961415,None,None,37.00156948165593,None,None,12.930775242460495,36.99163889416115,None,15.033071993530953,None,None,62.99877524058043,None,None,59.95706373682243,None,None,22.99730032333249,58.7697374306628,69.84714716315057
FA_Tim,None,None,17,None,None,72,None,None,25,None,None,71,None,29,0,65,None,40,None,24,62,None,41,None,None,33,None,None,9,50,None,17,None,None,38,None,None,37,None,None,44,48,64
FA_Dur,None,None,7,None,None,3,None,None,5,None,None,3,None,5,10,9,None,4,None,7,4,None,2,None,None,2,None,None,6,7,None,4,None,None,7,None,None,7,None,None,1,7,6
Wet_BFL_Mag_10,15.0,11.8,63.0,14.0,94.4,91.0,45.8,19.7,143.10000000000002,31.9,14.5,53.0,37.5,39.2,47.80000000000002,20.0,14.5,13.5,6.7,20.1,None,43.0,27.1,24.3,18.6,46.0,20.0,12.0,12.0,25.6,14.0,14.0,13.0,38.5,74.0,36.6,25.6,27.0,15.5,12.0,20.799999999999997,47.0,18.0
Wet_BFL_Mag_50,44.0,22.0,115.0,134.5,346.0,187.0,52.0,51.5,453.0,40.0,275.0,272.0,81.0,58.0,115.0,29.0,32.0,31.0,11.0,126.0,None,80.0,49.5,39.5,47.0,176.0,69.0,21.5,15.0,117.5,22.0,16.0,70.0,210.5,193.0,49.0,527.5,43.5,58.5,72.0,42.0,76.0,48.0
Wet_Tim,56,68,66,119,117,120,69,79,128,52,103,120,31,71,36,119,91,62,11,61,None,105,85,106,92,71,125,66,26,118,112,32,175,40,54,39,102,129,49,73,104,89,117
Wet_BFL_Dur,134,29,133,30,57,46,129,78,62,150,56,61,176,133,57,96,116,136,209,132,None,89,142,124,63,121,23,156,99,24,104,173,37,56,180,124,50,34,66,25,39,84,111
Peak_2,330.0,6210.0,638.0,428.0,1440.0,10000.0,303.0,430.0,1110.0,130.0,5800.0,1290.0,693.0,1520.0,1160.0,133.0,64.0,168.0,22.0,833.0,61.0,660.0,105.0,476.0,479.0,1530.0,345.0,62.0,57.0,1760.0,186.0,102.0,184.0,2530.0,3190.0,239.0,8070.0,346.0,474.0,380.0,1830.0,224.0,119.0
Peak_5,330.0,6210.0,638.0,428.0,1440.0,10000.0,303.0,430.0,1110.0,130.0,5800.0,1290.0,693.0,1520.0,1160.0,133.0,64.0,168.0,22.0,833.0,61.0,660.0,105.0,476.0,479.0,1530.0,345.0,62.0,57.0,1760.0,186.0,102.0,184.0,2530.0,3190.0,239.0,8070.0,346.0,474.0,380.0,1830.0,224.0,119.0
Peak_10,330.0,6210.0,638.0,428.0,1440.0,10000.0,303.0,430.0,1110.0,130.0,5800.0,1290.0,693.0,1520.0,1160.0,133.0,64.0,168.0,22.0,833.0,61.0,660.0,105.0,476.0,479.0,1530.0,345.0,62.0,57.0,1760.0,186.0,102.0,184.0,2530.0,3190.0,239.0,8070.0,346.0,474.0,380.0,1830.0,224.0,119.0
