1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971
None,0.3,0.1,0.1,0.0,0.7,0.1,0.1,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.8,3.6,0.9,6.1,1.1
None,0.3,0.1,0.1,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.8,3.4,0.9,6.3,0.9
None,0.3,0.1,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.9,3.4,0.9,6.3,1.0
None,0.3,0.1,0.0,0.0,0.8,0.1,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.9,3.2,0.9,6.3,1.2
None,0.4,0.1,0.1,0.0,0.8,0.1,0.2,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.0,3.1,0.9,6.3,1.3
None,0.4,0.1,0.1,0.0,0.8,0.1,0.2,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.1,3.1,0.9,6.3,1.3
None,0.4,0.1,0.1,0.0,1.0,0.1,0.2,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.0,3.1,1.0,6.1,1.4
None,0.4,0.1,0.1,0.0,1.0,0.1,0.2,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.0,3.1,1.0,6.1,1.5
None,0.4,0.1,0.1,0.0,1.2,0.1,0.2,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.3,0.0,0.0,0.0,1.0,3.1,1.0,6.3,1.4
None,0.4,0.1,0.1,0.1,1.2,0.1,0.2,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.3,0.0,0.0,0.0,1.0,3.1,0.9,6.3,1.4
None,0.4,0.1,0.1,0.1,1.3,0.2,0.2,0.0,0.0,0.2,0.9,0.2,0.0,0.0,0.3,0.0,0.0,0.0,1.0,3.1,0.9,6.3,1.5
None,0.4,0.1,0.1,0.1,1.2,0.3,0.2,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0.3,0.0,0.0,0.0,1.0,3.1,0.9,6.3,1.5
None,0.4,0.1,0.1,0.1,1.1,0.4,0.2,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.9,3.0,0.9,6.8,1.5
None,0.4,0.1,0.1,0.1,1.0,0.4,0.2,0.0,0.0,0.2,0.8,0.1,0.0,0.0,0.4,0.1,0.0,0.0,0.8,3.0,0.9,7.0,1.5
None,0.4,0.1,0.1,0.1,1.0,0.5,0.2,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.4,0.2,0.0,0.0,0.8,3.0,0.9,7.0,1.6
None,0.4,0.1,0.1,0.1,1.0,0.5,0.2,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.4,0.6,0.0,0.0,0.8,2.8,0.9,7.3,1.6
None,0.4,0.1,0.1,0.1,1.0,0.4,0.2,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.3,0.4,0.0,0.0,0.8,2.8,0.9,7.8,1.6
None,0.7,0.2,0.1,0.1,1.1,0.4,0.2,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.4,0.4,0.0,0.0,0.8,2.7,1.0,7.8,1.6
None,0.6,0.2,0.1,0.1,1.1,0.3,0.2,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.6,0.3,0.0,0.0,0.8,2.7,1.0,7.6,1.6
None,0.5,0.3,0.1,0.1,1.1,0.3,0.3,0.0,0.0,0.1,0.9,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.8,2.7,1.0,7.6,1.6
None,0.4,0.3,0.1,0.1,1.1,0.2,0.3,0.1,0.0,0.4,0.9,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.9,2.7,0.9,7.6,1.6
None,0.4,0.3,0.1,0.1,1.1,0.5,0.3,0.1,0.0,0.3,0.9,0.2,0.0,0.0,0.3,0.2,0.0,0.0,0.9,2.6,0.9,7.8,1.7
None,0.4,0.3,0.1,0.1,1.2,0.5,0.3,0.0,0.0,0.2,1.1,0.2,0.0,0.0,0.3,0.2,0.0,0.0,0.9,2.5,0.9,7.8,1.8
None,0.4,0.3,0.1,0.1,1.2,0.5,0.3,0.0,0.0,0.2,1.2,0.2,0.0,0.0,0.4,0.2,0.1,0.0,0.8,2.4,0.9,7.8,1.9
None,0.4,0.3,0.2,2.2,1.2,0.4,0.4,0.0,0.0,0.2,1.2,0.2,0.0,0.0,0.4,0.2,0.1,0.0,0.9,2.4,0.9,8.0,1.8
None,0.4,0.3,0.2,0.6,1.1,0.4,0.4,0.0,0.0,0.2,1.1,0.3,0.0,0.0,0.4,0.2,0.1,0.0,0.9,2.4,0.9,8.0,1.8
None,0.4,0.3,0.3,0.3,1.1,0.4,0.4,0.0,0.0,0.2,0.9,0.4,0.0,0.0,0.4,0.2,0.1,0.0,1.0,2.4,0.9,7.8,1.8
None,0.6,0.3,0.3,0.2,1.0,0.5,0.5,0.0,0.0,0.2,0.7,0.4,0.0,0.0,0.4,0.2,0.1,0.0,1.0,2.4,0.9,7.8,1.7
None,0.6,0.3,0.2,0.2,1.1,0.5,0.5,0.1,0.0,0.2,0.7,0.4,0.0,0.0,0.4,0.2,0.2,0.0,1.0,2.4,0.9,7.8,1.7
None,0.6,0.3,0.2,0.2,1.2,0.6,0.5,0.1,0.1,0.2,0.7,0.4,0.0,0.0,0.4,0.2,0.1,0.0,1.0,2.4,0.9,7.6,1.7
None,0.6,0.3,0.3,0.2,1.3,0.6,0.5,0.1,0.2,0.4,0.7,0.4,0.1,0.0,0.4,0.2,0.1,0.0,1.0,2.4,0.9,7.6,1.7
None,0.6,0.4,0.2,0.2,1.6,0.7,0.5,0.1,0.2,0.4,0.8,0.4,0.1,0.0,0.4,0.3,0.1,0.0,1.0,2.4,0.9,7.6,1.7
None,0.6,0.4,0.2,0.2,1.5,0.7,0.5,0.2,0.2,0.8,0.8,0.4,0.2,0.0,0.4,0.3,0.1,0.0,1.0,2.5,0.9,7.6,1.8
None,0.6,0.4,0.2,0.2,1.3,0.8,0.6,0.2,0.2,2.2,0.9,0.6,0.8,0.0,0.4,0.3,0.1,0.0,1.0,2.5,1.0,7.8,1.8
None,0.6,0.4,0.2,0.2,1.2,0.8,0.6,0.2,0.3,1.0,0.9,0.6,0.7,0.0,0.4,0.3,0.1,0.0,1.1,2.6,1.0,7.6,1.8
None,0.6,0.4,0.2,0.3,1.3,0.8,0.4,0.2,0.3,0.7,1.0,0.4,3.5,0.0,0.4,0.3,0.1,0.1,1.1,2.6,1.1,8.0,1.9
None,0.6,0.4,0.2,0.3,1.4,0.7,0.4,0.2,0.3,0.6,1.0,0.4,23.0,0.0,0.4,0.8,0.1,0.1,1.1,2.7,1.2,14.0,2.0
None,0.6,0.5,0.2,0.3,1.5,0.7,0.4,0.2,0.3,0.4,1.0,0.4,2.0,0.0,0.4,0.7,0.1,0.1,28.0,2.7,1.2,18.0,2.0
None,0.6,0.6,0.2,0.3,1.6,0.7,0.4,0.2,0.3,0.4,1.2,0.4,1.0,0.0,0.4,0.6,0.2,0.2,18.0,2.8,1.2,11.0,2.0
None,0.6,0.9,0.2,0.3,1.8,0.7,0.5,0.2,0.3,0.4,1.2,0.4,0.7,0.1,0.4,0.6,1.3,0.2,4.7,3.0,1.2,10.0,1.9
None,0.6,6.2,0.2,0.3,1.9,0.7,0.6,0.2,0.3,0.3,1.4,0.4,0.6,0.1,0.6,0.4,1.2,0.2,3.2,3.0,1.2,10.0,1.9
None,0.6,1.2,0.3,0.3,2.0,0.7,4.4,0.2,0.3,0.3,1.6,0.4,0.6,0.1,0.6,0.4,0.4,0.2,3.1,2.8,1.3,9.7,1.9
None,0.6,0.7,0.4,0.2,2.1,0.7,1.4,0.3,0.3,0.3,1.6,0.4,0.8,0.1,0.6,0.4,0.4,0.2,2.8,2.7,1.3,9.4,1.9
None,0.6,0.7,1.1,0.2,2.2,0.7,1.0,0.4,0.3,0.3,1.6,0.4,1.2,0.1,0.6,0.4,0.4,0.2,2.8,2.6,1.3,9.4,1.8
None,0.6,0.6,1.1,0.2,4.2,2.2,0.9,1.7,0.3,0.3,1.6,0.4,0.7,0.1,0.6,0.4,0.3,0.4,2.7,2.6,1.3,9.4,1.8
None,0.7,0.6,0.6,0.2,15.0,1.9,1.0,0.4,0.3,0.3,1.5,0.6,0.6,0.2,0.6,0.6,0.3,0.9,2.5,2.5,1.3,9.4,1.8
None,0.7,0.6,0.5,0.2,9.5,1.3,1.2,0.3,0.3,0.3,1.5,0.6,0.6,0.2,0.4,0.6,0.3,2.3,2.4,2.5,1.3,9.4,1.8
None,0.7,0.6,0.5,0.2,4.4,1.3,0.9,0.3,0.3,0.3,1.4,0.6,0.4,0.2,0.4,0.4,0.6,216.0,2.2,2.6,1.3,9.4,1.8
None,0.7,0.5,0.6,0.2,3.8,1.1,0.9,0.4,0.3,0.3,1.3,0.6,0.4,0.2,0.6,0.4,0.7,162.0,2.2,2.7,1.2,9.4,1.8
None,0.7,0.5,1.2,0.7,3.8,1.1,0.9,0.3,0.3,0.3,1.3,0.6,0.4,0.2,0.6,0.5,0.6,29.0,2.2,285.0,1.2,9.1,1.9
None,0.7,0.6,0.9,3.2,3.8,1.2,0.9,0.3,0.3,0.3,1.2,0.6,0.4,1.5,0.6,5.6,0.6,15.0,2.8,105.0,1.2,9.1,1.9
None,0.7,0.6,0.7,1.6,3.8,1.2,0.9,0.6,0.3,0.4,1.3,0.6,0.4,1.0,0.6,0.9,0.6,13.0,3.0,345.0,1.2,9.1,2.0
None,0.7,0.6,0.6,0.7,3.6,1.2,0.9,0.6,0.3,0.4,1.3,0.6,0.4,0.4,0.6,0.6,0.4,942.0,2.6,122.0,1.2,9.1,2.1
