1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1.1,0.13,1.4,1.3,0.72,2.7,0.31,0.41,0.52,0.07,0.2,0.08,0.64,0.62,0.07,0.27,0.08,0.37,1.31,None,0.03,0.0,0.0
1.1,0.12,1.4,1.4,0.76,2.7,0.32,0.4,0.52,0.07,0.21,0.08,0.65,0.64,0.08,0.31,0.08,0.38,1.3,None,0.04,0.0,0.0
1.1,0.12,1.4,1.3,0.76,2.7,0.36,0.38,0.52,0.07,0.22,0.07,0.69,0.62,0.07,0.3,0.09,0.4,1.34,None,0.04,0.0,0.0
1.1,0.52,1.3,1.3,0.74,2.7,0.36,0.31,0.51,0.06,0.22,0.07,0.7,0.63,0.07,0.34,0.1,0.41,1.51,None,0.03,0.0,0.0
1.1,1.2,1.3,1.3,0.74,2.6,0.39,0.37,0.48,0.06,0.21,0.07,0.68,0.88,0.08,0.34,0.13,0.86,3.38,None,0.03,0.0,0.0
1.1,0.29,1.3,1.2,0.75,2.5,0.5,0.38,0.48,0.05,0.21,0.06,0.66,1.8,0.09,0.32,0.11,1.03,2.04,None,0.03,0.0,0.0
1.1,0.2,1.3,1.2,0.76,2.4,0.51,0.36,0.48,0.05,0.2,0.06,0.64,1.42,0.09,0.31,0.1,0.83,None,None,0.03,0.0,0.0
1.1,0.17,1.3,1.3,0.76,2.4,0.49,0.47,0.48,0.05,0.2,0.06,0.67,1.35,0.08,0.28,0.11,0.75,None,None,0.03,0.0,0.0
1.1,0.16,1.3,1.3,0.79,2.4,0.44,0.41,0.48,0.05,0.2,0.07,0.69,1.28,0.08,0.3,0.11,0.71,None,None,0.05,0.0,0.0
1.1,0.14,1.3,1.3,0.94,2.4,0.39,0.55,0.52,0.04,0.21,0.09,0.68,1.28,0.09,0.28,0.12,0.7,None,None,0.07,0.0,0.0
1.2,0.15,1.3,1.3,0.9,2.3,0.35,0.53,0.52,0.05,0.22,0.08,0.69,1.16,0.1,0.28,0.12,0.67,None,None,0.06,0.0,0.0
1.1,0.16,1.3,1.4,0.79,2.2,0.35,0.53,0.52,0.06,0.21,0.05,0.67,1.12,0.16,0.26,0.14,0.66,None,None,0.06,0.0,0.0
1.1,0.18,1.3,1.3,0.78,2.2,0.34,0.63,0.52,0.06,0.2,0.06,0.66,1.16,0.2,0.28,24.6,0.65,None,None,0.06,0.0,0.0
1.1,0.19,1.2,0.8,0.77,2.3,0.35,0.57,0.47,0.05,0.2,0.06,0.64,1.19,0.12,0.28,11.7,0.65,None,None,0.06,0.0,0.0
1.1,0.2,1.2,0.78,0.72,2.3,0.37,0.66,0.46,0.06,0.2,0.06,0.68,1.17,0.11,0.28,3.17,0.64,None,None,0.06,0.0,0.0
1.1,0.18,1.3,0.73,0.73,2.3,0.35,0.62,0.45,0.08,0.21,0.07,0.71,1.15,0.11,0.29,1.93,0.62,None,None,0.05,0.0,0.03
1.1,0.19,1.3,0.72,0.72,2.2,0.31,0.63,0.46,0.1,0.22,1.0,0.71,1.15,0.15,0.29,1.52,0.71,None,None,0.05,0.0,0.0
