Year, 1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976
FA_Mag,223.9635250206394,84.00174784377887,143.97165001061657,52.95196280275325,None,68.99642571787437,64.99830693627584,None,None,18.049882098434615,83.99504158833919,98.99564975747761,61.99416720848761,73.99659425796695,None,None,106.96966847410839,49.000251908156784,342.9992540057908,90.96473647236753,542.8814032413512,42.004570188483015,53.99809387207653,105.98795938638037,None
FA_Tim,50,45,44,42,None,4,45,None,None,7,56,13,11,28,None,None,50,14,16,36,42,21,8,52,None
FA_Dur,2,3,7,5,None,2,3,None,None,9,3,10,3,6,None,None,3,4,3,5,3,3,6,3,None
Wet_BFL_Mag_10,629.4,124.0,202.4,117.4,340.0,189.4,243.0,207.60000000000002,78.7,33.3,225.4,159.5,68.0,286.0,127.9,125.5,139.0,507.0,182.60000000000002,153.2,107.6,303.20000000000005,173.8,362.6,None
Wet_BFL_Mag_50,1360.0,311.5,614.0,304.0,594.0,404.0,1030.0,354.5,314.0,87.0,688.0,622.5,127.0,476.0,248.0,640.5,312.0,1165.0,400.0,293.0,342.0,525.0,495.0,540.0,None
Wet_Tim,163,87,131,129,62,126,112,127,110,40,122,112,29,68,40,51,126,101,76,52,71,121,35,145,None
Wet_BFL_Dur,80,174,103,124,181,122,152,100,118,194,133,150,213,183,180,216,111,146,163,203,184,125,207,102,None
Peak_2,3080.0,1700.0,1750.0,1460.0,29400.0,2570.0,3510.0,2480.0,1130.0,666.0,3230.0,11900.0,1230.0,7960.0,1880.0,7470.0,805.0,8960.0,2840.0,1470.0,1380.0,2570.0,2010.0,3090.0,None
Peak_5,3080.0,1700.0,1750.0,1460.0,29400.0,2570.0,3510.0,2480.0,1130.0,666.0,3230.0,11900.0,1230.0,7960.0,1880.0,7470.0,805.0,8960.0,2840.0,1470.0,1380.0,2570.0,2010.0,3090.0,None
Peak_10,3080.0,1700.0,1750.0,1460.0,29400.0,2570.0,3510.0,2480.0,1130.0,666.0,3230.0,11900.0,1230.0,7960.0,1880.0,7470.0,805.0,8960.0,2840.0,1470.0,1380.0,2570.0,2010.0,3090.0,None
Peak_Dur_2,19,None,None,None,9,1,6,1,None,None,2,2,None,4,None,12,None,36,1,None,None,2,None,8,None
Peak_Dur_5,None,None,None,None,2,None,None,None,None,None,None,2,None,2,None,2,None,4,None,None,None,None,None,None,None
Peak_Dur_10,None,None,None,None,2,None,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,None,None,None
Peak_Fre_2,5,None,None,None,3,1,3,1,None,None,1,1,None,2,None,4,None,3,1,None,None,1,None,3,None
Peak_Fre_5,None,None,None,None,1,None,None,None,None,None,None,1,None,1,None,2,None,3,None,None,None,None,None,None,None
Peak_Fre_10,None,None,None,None,1,None,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,None,None,None
SP_Mag,3080.0,825.0,1470.0,1240.0,2090.0,1460.0,1920.0,846.0,1130.0,514.0,1230.0,1250.0,1050.0,1820.0,1060.0,2610.0,518.0,3370.0,1240.0,1180.0,1040.0,2100.0,1920.0,3090.0,None
SP_Tim,243,261,234,253,243,248,264,227,228,234,255,262,242,251,220,267,237,247,239,255,255,246,242,247,None
SP_Dur,53,51,60,49,44,53,63,63,52,58,53,43,60,59,73,48,44,69,65,52,39,52,64,64,None
SP_ROC,0.0965034965034965,0.07894736842105263,0.0688783570300158,0.06504494976203068,0.06758415147265076,0.06142960812772134,0.07793522267206478,0.07079707622694048,0.07699207071363577,0.09487179487179487,0.07878787878787878,0.057971014492753624,0.06559139784946236,0.08641975308641975,0.07272727272727272,0.07140773219078739,0.08393285371702638,0.07601438109912687,0.0681065872227739,0.07767722473604827,0.07692307692307693,0.06915471534115603,0.07264254385964913,0.07526881720430108,None
DS_Mag_50,44.0,22.0,18.0,10.5,42.0,28.0,28.0,14.0,9.05,7.9,18.0,25.5,8.6,24.0,8.8,55.0,16.5,47.0,11.0,19.0,32.0,19.0,34.0,None,None
DS_Mag_90,143.80000000000007,67.99999999999994,103.0,24.0,106.19999999999999,76.80000000000001,72.0,27.0,18.5,38.5,27.0,44.10000000000001,92.9,60.5,17.0,102.0,142.0,86.5,23.700000000000003,56.0,200.80000000000007,42.0,223.2,None,None
DS_Tim,296,312,294,302,287,301,327,290,280,292,308,305,302,310,293,315,281,316,304,307,294,298,306,311,None
DS_Dur_WS,157,185,201,126,205,177,166,186,126,196,170,90,132,96,124,177,186,126,114,130,193,103,205,None,None
