Year, 1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995
FA_Mag,None,26.99098527237724,44.99472621071867,182.98625406017902,44.9970714518266,51.0282013045951,None,None,53.97355789750689,50.001110049679625,239.99238844255743,217.99179168904277,387.83201312927304,37.9977576357156,34.97112291162874,68.9913493240928,None,25.996229809938733,13.017461995498556,61.98629300402125,75.98966418249374,158.80328833652797,36.99742309682224,2259.9406881532695,None,None,None,None,14.173395965280058,43.99300984124766,45.001555585496156,None,164.82547907319105,77.00597966516203,39.97019399856946,None
FA_Tim,None,37,56,13,10,28,None,None,49,13,15,36,42,34,7,27,None,3,36,51,19,64,10,25,None,None,None,None,23,44,0,None,25,29,60,None
FA_Dur,None,2,3,3,3,6,None,None,8,3,3,4,5,5,5,10,None,5,3,6,5,7,2,6,None,None,None,None,4,7,5,None,6,3,4,None
Wet_BFL_Mag_10,83.0,58.0,54.0,108.4,58.0,322.0,108.0,102.9,91.60000000000001,292.4,90.8,125.2,102.0,163.0,147.0,310.4,39.0,26.900000000000002,171.8,100.0,241.5,103.2,274.0,314.4,None,None,None,50.2,66.5,89.0,30.0,105.2,134.4,212.00000000000006,65.0,None
Wet_BFL_Mag_50,297.0,118.0,317.0,382.0,108.0,465.0,162.0,353.0,298.5,630.0,320.5,314.0,312.0,352.5,455.0,490.5,73.5,59.0,675.0,499.0,620.0,288.0,546.0,925.0,None,None,None,191.0,170.0,468.0,66.0,386.0,300.0,705.5,236.0,None
Wet_Tim,110,114,117,111,31,67,40,48,115,93,76,51,74,96,33,145,2,126,72,94,81,132,73,72,None,None,None,128,87,127,18,147,126,85,126,None
Wet_BFL_Dur,118,111,103,123,199,165,171,190,100,135,40,203,170,136,209,102,216,130,173,139,156,83,135,185,None,None,None,97,146,65,191,92,90,148,111,None
Peak_2,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,None,None,None,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,None
Peak_5,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,None,None,None,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,4556.0,None
Peak_10,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,None,None,None,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,8494.0,None
