Year, 1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Mag,126.82853273754148,118.99773281734188,189.99440935983736,86.99568434341082,125.97496295950026,191.98854641772505,86.01186838954203,71.99449402870138,181.96825084113897,67.96520181509234,42.98707022161366,139.97824829977756,168.0002262645172,80.99939519644558
FA_Tim,2,12,15,23,42,10,7,27,10,44,35,50,19,38
FA_Dur,3,4,4,7,4,3,4,9,2,5,1,4,3,7
Wet_BFL_Mag_10,108.0,258.1,59.6,185.20000000000002,147.0,146.0,341.0,280.9,66.0,37.5,277.5,78.0,220.9,120.0
Wet_BFL_Mag_50,305.0,730.5,520.0,438.5,384.0,501.5,745.0,576.0,109.0,63.0,574.5,395.0,579.5,210.5
Wet_Tim,98,85,67,31,103,61,32,117,20,136,69,95,78,111
Wet_BFL_Dur,51,148,49,232,89,186,211,144,198,106,186,139,160,72
Peak_2,2760.0,8470.0,7040.0,3090.0,1550.0,3240.0,4400.0,3100.0,637.0,147.0,2590.0,1580.0,10700.0,1120.0
Peak_5,2760.0,8470.0,7040.0,3090.0,1550.0,3240.0,4400.0,3100.0,637.0,147.0,2590.0,1580.0,10700.0,1120.0
Peak_10,2760.0,8470.0,7040.0,3090.0,1550.0,3240.0,4400.0,3100.0,637.0,147.0,2590.0,1580.0,10700.0,1120.0
Peak_Dur_2,None,6,8,1,None,1,7,1,None,None,None,None,6,None
Peak_Dur_5,None,3,3,None,None,None,None,None,None,None,None,None,2,None
Peak_Dur_10,None,2,None,None,None,None,None,None,None,None,None,None,1,None
Peak_Fre_2,None,2,4,1,None,1,6,1,None,None,None,None,2,None
Peak_Fre_5,None,2,2,None,None,None,None,None,None,None,None,None,1,None
Peak_Fre_10,None,1,None,None,None,None,None,None,None,None,None,None,1,None
SP_Mag,2400.0,2020.0,7040.0,1220.0,1050.0,810.0,1560.0,1300.0,223.0,106.0,1010.0,782.0,1420.0,573.0
SP_Tim,149,233,116,263,192,247,243,261,218,242,255,234,238,183
SP_Dur,122,54,152,63,97,34,62,47,119,57,47,57,52,92
SP_ROC,0.053691275167785234,0.05998265650657761,0.05398457583547558,0.041666666666666664,0.04522613065326633,0.05263157894736842,0.06818181818181818,0.05128205128205128,0.037037037037037035,0.05173951828724353,0.04706533776301218,0.039230769230769236,0.059233449477351915,0.05063291139240506
DS_Mag_50,38.0,42.0,34.0,44.0,41.0,40.0,48.0,49.0,24.0,15.0,38.0,39.0,45.0,36.0
DS_Mag_90,130.39999999999998,69.0,51.2,109.19999999999999,150.6,58.400000000000006,94.30000000000001,66.0,31.0,27.5,53.80000000000007,103.20000000000005,70.4,58.900000000000006
DS_Tim,271,287,268,326,289,281,305,308,337,299,302,291,290,275
DS_Dur_WS,180,146,129,143,138,117,178,78,165,136,159,153,187,202
