Year, 1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
FA_Mag,None,None,None,10.953155861634974,None,None,None,1.2860635787621923,23.996108355271872,None,None,None,None,None,28.981156102396586,41.973854650428535,None,None,None,None,None,None,None,5.729651794971658,39.996248182675714,None,None
FA_Tim,None,None,None,62,None,None,None,45,62,None,None,None,None,None,46,61,None,None,None,None,None,None,None,58,60,None,None
FA_Dur,None,None,None,20,None,None,None,15,1,None,None,None,None,None,4,9,None,None,None,None,None,None,None,3,5,None,None
Wet_BFL_Mag_10,0.1,0.3,0.0,0.0,0.11999999999999994,0.0,None,0.1,2.1,0.0,8.850000000000003,0.020000000000000018,0.0,None,16.8,0.2,0.3,None,None,1.9200000000000004,0.0,0.68,0.0,3.68,19.700000000000003,3.52,0.24400000000000002
Wet_BFL_Mag_50,0.25,0.3,0.3,2.55,1.1,0.4,None,1.0,6.6,2.3,54.0,17.0,1.6,None,50.0,4.6,3.4,None,None,20.5,0.625,5.8,1.7,6.2,54.0,16.0,0.32
Wet_Tim,126,111,107,124,112,27,None,79,103,102,99,74,50,None,95,76,124,None,None,94,99,79,105,71,105,44,47
Wet_BFL_Dur,16,23,21,36,87,89,None,51,106,43,64,85,61,None,79,126,51,None,None,68,82,81,70,125,108,45,149
Peak_2,469.0,61.0,72.0,459.0,219.0,12.0,None,157.0,592.0,982.0,602.0,758.0,215.0,None,1140.0,159.0,333.0,None,None,1300.0,380.0,1010.0,478.0,629.0,2150.0,2230.0,13.0
Peak_5,469.0,61.0,72.0,459.0,219.0,12.0,None,157.0,592.0,982.0,602.0,758.0,215.0,None,1140.0,159.0,333.0,None,None,1300.0,380.0,1010.0,478.0,629.0,2150.0,2230.0,13.0
Peak_10,469.0,61.0,72.0,459.0,219.0,12.0,None,157.0,592.0,982.0,602.0,758.0,215.0,None,1140.0,159.0,333.0,None,None,1300.0,380.0,1010.0,478.0,629.0,2150.0,2230.0,13.0
Peak_Dur_2,1,None,None,1,None,None,None,None,2,1,1,4,None,None,5,None,None,None,None,5,None,4,1,1,10,2,None
Peak_Dur_5,None,None,None,None,None,None,None,None,None,1,None,None,None,None,1,None,None,None,None,1,None,1,None,None,5,2,None
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,4,2,None
Peak_Fre_2,1,None,None,1,None,None,None,None,2,1,1,4,None,None,4,None,None,None,None,4,None,2,1,1,5,1,None
Peak_Fre_5,None,None,None,None,None,None,None,None,None,1,None,None,None,None,1,None,None,None,None,1,None,1,None,None,2,1,None
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,2,1,None
SP_Mag,469.0,61.0,72.0,144.0,153.0,12.0,None,132.0,183.0,289.0,368.0,27.0,212.0,None,146.0,5.2,333.0,None,None,173.0,380.0,195.0,310.0,180.0,137.0,1250.0,0.25
SP_Tim,142,134,128,160,199,116,None,130,209,145,163,159,111,None,174,202,175,None,None,162,181,160,175,196,213,89,196
SP_Dur,24,90,108,14,35,111,None,34,67,84,36,36,106,None,32,22,28,None,None,35,18,20,15,31,25,134,15
SP_ROC,0.1081081081081082,0.2222222222222223,0.19999999999999996,0.1250000000000001,0.1250000000000001,1.0,None,0.09999999999999998,0.19210526315789467,0.150375939849624,0.07523584905660372,0.08578431372549021,0.16666666666666663,None,0.08695652173913043,0.33333333333333326,0.09545454545454546,None,None,0.08893280632411067,0.36754385964912284,0.10056179775280902,0.08108108108108115,0.08666666666666664,0.07217261904761901,0.08641975308641967,0.13068181818181815
DS_Mag_50,0.0,0.0,0.0,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,None,None,0.0,0.0,None,None,None,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
DS_Mag_90,0.5,0.0,0.0,0.5,0.2,None,None,0.6,0.0,0.2,4.1,0.8,None,None,1.4,0.0,None,None,None,0.6,0.21000000000000002,2.0,0.6720000000000004,5.340000000000003,2.8,0.19,0.058000000000000114
DS_Tim,166,224,236,174,234,227,None,164,276,229,199,195,217,None,206,224,203,None,None,197,199,180,190,227,238,223,211
DS_Dur_WS,311,249,254,304,159,None,None,305,192,236,241,221,None,None,236,266,None,None,None,268,246,291,247,244,172,190,202
