1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
260.0,14.0,10.0,16.0,18.0,11.0,9.2,74.0,14.0,15.0,6.5,6.5,21.0,11.0,7.7,17.0,8.5,11.0,9.8,5.5,5.7,18.0,15.0,14.0,11.0,7.3,7.1,22.0,14.0,6.2,7.4,12.0,12.0,24.0,6.4,8.2,18.0,2.5,1.3,28.0,5.0,1.4,3.1,9.4,1.4,8.4,6.9,6.4,16.0,9.6,7.1,2.03,1.72,7.92,4.37,9.45,4.81,2.97,2.46,0.97,6.56,8.29,1.36,5.12,0.21,0.96,1.7,6.3,2.53,9.16
260.0,21.0,9.9,16.0,18.0,9.8,9.2,56.0,14.0,15.0,7.1,6.5,18.0,11.0,8.2,15.0,7.9,18.0,9.8,5.6,5.7,17.0,11.0,14.0,11.0,7.3,7.1,17.0,15.0,5.6,7.3,10.0,13.0,28.0,7.8,7.8,17.0,2.5,1.4,23.0,4.1,1.4,3.9,9.5,1.4,8.2,7.4,7.8,16.0,9.4,7.3,1.91,1.73,7.69,4.49,9.48,4.36,3.2,3.08,1.0,6.5,8.61,1.36,5.22,0.21,0.95,1.77,6.32,4.76,9.3
260.0,27.0,9.5,16.0,18.0,11.0,9.2,45.0,14.0,14.0,7.8,6.5,18.0,11.0,11.0,12.0,8.1,52.0,10.0,5.6,5.5,15.0,11.0,14.0,11.0,6.5,7.7,15.0,15.0,5.0,7.0,10.0,14.0,27.0,8.4,6.9,16.0,2.5,1.4,17.0,3.6,1.5,7.7,9.5,1.5,8.2,7.9,10.0,16.0,9.8,7.6,2.72,1.78,7.53,4.5,9.89,5.02,3.13,4.65,0.9,6.36,10.5,1.36,4.34,0.23,0.94,2.14,5.83,7.13,9.56
260.0,21.0,9.1,16.0,18.0,11.0,9.8,39.0,14.0,14.0,7.8,6.5,17.0,11.0,9.5,12.0,8.5,37.0,9.8,5.6,5.7,14.0,11.0,14.0,10.0,6.5,7.7,13.0,17.0,5.1,6.2,9.6,13.0,24.0,8.5,7.6,15.0,2.5,1.3,15.0,4.2,1.6,7.8,9.6,1.5,8.1,7.5,15.0,16.0,10.0,6.8,2.48,1.81,7.16,4.73,9.92,5.1,2.97,15.0,0.47,6.57,14.8,1.39,3.72,0.21,0.95,2.86,5.68,7.5,9.72
260.0,16.0,9.1,16.0,18.0,11.0,9.8,51.0,14.0,14.0,8.5,7.1,15.0,12.0,6.9,20.0,9.1,34.0,9.8,5.5,5.7,13.0,9.8,14.0,10.0,6.5,6.6,12.0,16.0,4.8,6.2,9.6,13.0,23.0,9.2,7.0,14.0,2.5,1.3,13.0,4.3,1.6,11.0,9.6,1.6,8.2,7.5,13.0,16.0,11.0,6.6,2.34,1.81,7.59,4.2,9.45,6.66,2.97,15.2,0.72,6.95,42.3,2.09,3.27,0.21,0.99,2.77,6.22,6.51,9.72
260.0,13.0,9.1,15.0,20.0,11.0,9.8,62.0,14.0,14.0,13.0,7.1,15.0,14.0,6.3,19.0,10.0,33.0,9.8,5.4,5.6,11.0,9.8,16.0,11.0,7.3,6.6,10.0,14.0,4.8,6.2,10.0,13.0,23.0,9.5,6.1,14.0,2.9,1.2,12.0,4.3,1.5,9.8,9.6,1.7,8.4,7.4,10.0,16.0,12.0,6.8,1.95,1.7,7.68,3.42,9.57,8.06,2.97,11.0,0.64,6.96,57.3,2.99,2.99,0.22,0.99,2.95,6.41,6.17,9.72
260.0,13.0,8.6,14.0,29.0,12.0,9.8,57.0,14.0,15.0,20.0,7.1,15.0,17.0,6.5,20.0,10.0,28.0,9.2,5.4,6.1,11.0,9.8,25.0,10.0,11.0,6.6,9.8,14.0,4.8,5.7,16.0,15.0,23.0,9.5,6.4,13.0,3.1,1.2,11.0,4.3,1.5,7.4,9.7,1.8,8.6,7.1,9.6,15.0,12.0,6.3,1.72,1.72,8.39,3.03,9.78,9.55,2.97,12.8,0.61,6.8,41.4,3.33,2.86,0.23,0.96,3.0,6.32,6.97,9.66
260.0,12.0,8.6,14.0,42.0,11.0,10.0,50.0,14.0,15.0,26.0,6.5,18.0,18.0,7.1,20.0,9.3,25.0,9.2,5.7,6.5,11.0,9.8,24.0,10.0,11.0,6.6,9.4,14.0,4.4,5.9,26.0,16.0,22.0,9.2,6.4,13.0,3.1,1.3,10.0,4.3,1.4,6.4,9.9,2.0,8.8,6.4,17.0,15.0,11.0,6.5,1.59,1.66,8.05,3.25,9.76,9.03,3.2,10.2,0.56,6.84,34.1,3.24,2.66,0.22,0.97,2.91,6.18,6.96,9.4
260.0,12.0,8.6,14.0,39.0,12.0,9.8,1320.0,14.0,16.0,23.0,6.5,26.0,23.0,7.1,18.0,9.3,23.0,8.8,5.7,6.5,11.0,9.8,18.0,11.0,20.0,6.6,7.5,14.0,4.4,6.3,23.0,16.0,22.0,9.2,6.4,13.0,3.5,1.3,9.4,4.3,1.4,5.7,10.0,2.7,8.8,6.5,77.0,15.0,11.0,6.9,1.8,1.62,7.7,3.64,10.0,7.0,3.76,8.68,0.59,6.91,28.4,2.81,2.43,0.22,1.0,2.9,6.27,6.81,9.36
260.0,12.0,8.6,17.0,31.0,16.0,11.0,1300.0,15.0,16.0,21.0,6.5,55.0,30.0,7.1,18.0,9.3,21.0,8.9,5.9,9.0,11.0,9.8,17.0,11.0,110.0,6.6,7.8,14.0,4.6,6.3,23.0,15.0,22.0,13.0,6.4,13.0,3.5,2.1,9.1,4.3,1.4,5.5,11.0,2.6,8.6,6.5,83.0,15.0,10.0,7.8,1.8,1.67,7.48,3.71,10.1,7.23,8.34,7.83,0.59,6.67,31.7,2.66,2.42,0.23,1.04,2.86,6.22,6.51,9.13
260.0,13.0,8.6,18.0,28.0,18.0,13.0,638.0,15.0,16.0,18.0,18.0,184.0,66.0,7.8,16.0,8.5,20.0,18.0,5.9,7.2,11.0,17.0,16.0,11.0,89.0,6.6,7.8,13.0,5.3,7.6,22.0,14.0,23.0,28.0,6.4,13.0,3.9,2.0,8.9,4.1,1.3,5.3,12.0,2.4,8.6,6.6,50.0,15.0,10.0,9.9,1.98,1.59,7.53,3.94,10.2,6.08,12.3,6.89,0.63,6.51,68.6,3.01,2.57,0.22,1.07,2.91,6.14,6.25,9.02
