Year, 1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,88.98807585087097,None,1779.9489787810192,None,None,434.99842348935243,1319.957747951678,54.999311485109715,None,None,None,3169.9701378052987,73.99884559674257,2129.959271007052,None,None,51.99982752431137,38.003554730063485,69.00186869063437,307.99904179746704,143.97889084942767,151.99891485468274,None,74.00139879763304,109.9938052499165,67.99443444800225,21.99997935864131,37.015846555901426,800.9666573822301,33.99983834386579,1049.9750066507943,247.99685312872833,None,None,95.99993341210647,56.99953522009144,None,1909.853567936276,382.985344019623,27.982906946653138,83.99780757050061,29.987681821303383,None,82.99932919227331,None,None,82.99940873750563,None,303.981269454224,84.98226670716598,None,163.99755363807483,99.39965173138677,99.9924699712886,215.9982857652144,84.89898238224008,24.99964169265834,191.00852460797017,73.71521310639011,740.9901868913447,57.29975081037099,None,14.402527963386355,None,None,613.0007624242545,44.1005192186661,105.99849200090102,None
FA_Tim,None,24,None,44,None,None,30,8,40,None,None,None,11,11,40,None,None,2,11,15,36,44,15,None,28,9,45,0,50,24,14,27,25,None,None,21,66,None,53,23,31,26,21,None,40,None,None,9,None,41,30,None,39,40,19,38,44,11,34,14,24,5,None,50,None,None,31,41,54,None
FA_Dur,None,4,None,5,None,None,2,5,2,None,None,None,6,6,3,None,None,10,3,4,6,10,2,None,3,6,5,8,2,3,8,3,6,None,None,6,3,None,2,5,4,8,7,None,2,None,None,3,None,7,6,None,7,9,4,2,4,7,7,7,9,3,None,8,None,None,9,4,5,None
Wet_BFL_Mag_10,251.60000000000002,217.2,125.2,205.50000000000003,66.5,211.60000000000002,91.0,417.6,107.70000000000005,168.0,89.6,75.6,83.2,113.5,135.0,97.10000000000001,110.0,67.2,312.20000000000005,286.8,128.0,97.0,203.10000000000002,461.70000000000005,107.6,39.7,20.0,306.0,85.7,197.8,248.20000000000002,314.3,264.9,206.0,106.2,460.0,163.5,39.400000000000006,63.0,23.0,19.0,185.10000000000002,172.90000000000003,36.1,242.9,170.0,329.0,215.0,92.4,150.5,61.0,192.4,180.6,270.2,167.8,387.0,55.760000000000005,83.3,47.0,219.60000000000002,167.60000000000002,79.1,55.150000000000006,15.100000000000001,65.14,132.6,420.2,56.42,133.2,None
Wet_BFL_Mag_50,1060.0,1160.0,326.0,860.0,202.5,1690.0,291.0,1780.0,388.0,562.5,327.0,342.0,372.0,149.5,427.0,443.0,746.0,395.0,2385.0,1040.0,626.0,244.0,1175.0,1115.0,865.0,84.0,35.0,1110.0,266.5,801.5,529.5,939.0,1575.0,594.0,234.5,1280.0,514.0,617.0,229.0,142.5,857.0,663.0,669.0,97.5,794.0,461.0,974.0,917.0,794.0,864.5,406.0,394.0,600.0,759.5,425.0,1900.0,182.0,444.0,215.0,733.0,657.0,268.0,384.0,113.0,146.0,563.0,1185.0,196.0,793.0,None
Wet_Tim,39,47,58,92,35,59,98,73,83,110,49,48,52,30,53,39,40,56,66,68,50,54,62,32,82,60,83,69,94,77,103,38,44,36,30,103,111,46,77,89,143,121,60,56,82,67,60,90,48,98,96,47,65,58,59,73,66,75,125,89,61,106,45,118,48,62,66,93,94,None
Wet_BFL_Dur,124,127,195,98,176,89,137,115,102,76,159,129,147,86,149,158,169,115,88,90,131,146,114,154,94,138,97,123,130,84,78,158,168,160,152,63,56,65,96,154,37,50,118,90,134,171,61,155,149,106,63,132,149,94,197,125,85,76,96,125,117,94,42,69,87,107,128,99,143,None
Peak_2,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,None
Peak_5,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,18040.0,None
Peak_10,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,29950.000000000004,None
Peak_Dur_2,2,1,2,1,None,6,None,3,1,1,None,1,2,None,5,1,1,None,5,4,2,None,1,4,None,None,None,3,None,3,None,4,5,1,None,4,None,None,None,None,None,None,4,None,7,None,3,2,None,None,None,None,1,2,None,2,None,None,None,None,None,None,1,None,2,None,5,None,2,None
Peak_Dur_5,None,None,None,1,None,1,None,None,None,None,None,None,None,None,2,None,None,None,None,2,None,None,None,2,None,None,None,None,None,1,None,1,2,None,None,1,None,None,None,None,None,None,1,None,4,None,2,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,1,None
Peak_Dur_10,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_2,2,1,2,1,None,4,None,2,1,1,None,1,1,None,2,1,1,None,3,3,2,None,1,2,None,None,None,1,None,2,None,3,4,1,None,1,None,None,None,None,None,None,2,None,4,None,1,1,None,None,None,None,1,1,None,2,None,None,None,None,None,None,1,None,2,None,3,None,1,None
Peak_Fre_5,None,None,None,1,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,1,None,None,None,2,None,None,None,None,None,1,None,1,1,None,None,1,None,None,None,None,None,None,1,None,3,None,1,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,1,None
Peak_Fre_10,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SP_Mag,2090.0,3250.0,180.0,5200.0,1740.0,14200.0,1480.0,7740.0,700.0,778.0,384.0,842.0,5310.0,7140.0,2610.0,511.0,1770.0,2930.0,5050.0,1050.0,3420.0,606.0,1560.0,10200.0,9330.0,1510.0,160.0,1890.0,374.0,3110.0,1130.0,7760.0,5360.0,642.0,2920.0,5020.0,4540.0,2670.0,4760.0,2330.0,3880.0,5180.0,1600.0,4230.0,1960.0,497.0,10700.0,1950.0,2560.0,621.0,5080.0,521.0,6400.0,6670.0,454.0,5160.0,2620.0,4150.0,482.0,1250.0,10700.0,1210.0,9930.0,1350.0,5720.0,8860.0,1620.0,5390.0,1860.0,None
SP_Tim,163,174,253,190,211,148,235,188,185,186,208,177,199,116,202,197,209,171,154,158,181,200,176,186,176,198,180,192,224,161,181,196,212,196,182,166,167,111,173,243,180,171,178,146,216,238,121,245,197,204,159,179,214,152,256,198,151,151,221,214,178,200,87,187,135,169,194,192,237,None
SP_Dur,92,31,10,42,43,33,30,31,37,101,59,21,49,143,20,17,27,46,25,47,46,48,35,27,24,40,34,35,32,85,33,38,31,62,40,23,42,154,53,53,38,19,103,112,32,38,104,24,38,51,35,59,36,21,26,27,108,31,27,19,117,31,165,47,31,30,34,55,21,None
