Year, 2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,None,242.99224551763675,133.99792408331118,155.98945531271107,487.99455043434705,None,1329.905303108982,132.99626086063154,143.00025692002097,2029.8246991434632,218.991388272366,76.29799779992285,254.99305823556637,551.9530116211192,None,444.99901348572257,52.99581762300372,None,None
FA_Tim,None,None,38,38,18,33,None,18,3,13,23,4,23,50,22,None,14,19,None,None
FA_Dur,None,None,9,3,4,7,None,5,4,7,3,4,3,2,4,None,6,2,None,None
Wet_BFL_Mag_10,None,289.8,191.1,137.0,119.5,128.6,101.0,85.19000000000001,46.61000000000001,202.60000000000002,131.2,201.20000000000002,89.81,146.8,141.8,250.0,306.9,63.14,125.80000000000001,None
Wet_BFL_Mag_50,None,612.0,667.0,513.0,287.5,804.0,241.0,248.5,283.0,443.5,335.0,641.0,186.0,493.5,387.0,813.0,833.5,283.0,615.0,None
Wet_Tim,None,39,66,57,58,52,29,46,71,69,29,102,45,124,44,59,45,36,48,None
Wet_BFL_Dur,None,127,148,151,206,187,179,138,150,182,217,97,148,60,89,109,160,157,189,None
Peak_2,None,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,4970.0,None
Peak_5,None,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,7254.000000000002,None
Peak_10,None,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,9457.000000000002,None
Peak_Dur_2,None,2,4,2,None,4,None,None,None,None,None,3,1,None,None,3,5,1,6,None
Peak_Dur_5,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,2,None,2,None
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,1,None
Peak_Fre_2,None,2,3,2,None,3,None,None,None,None,None,2,1,None,None,3,5,1,4,None
Peak_Fre_5,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,2,None,2,None
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,1,None
SP_Mag,None,670.0,3770.0,789.0,3200.0,700.0,268.0,168.0,1190.0,986.0,344.0,1330.0,1070.0,1580.0,3710.0,6430.0,1920.0,2290.0,1130.0,None
SP_Tim,None,166,214,208,264,239,208,184,221,251,246,199,193,184,133,168,205,193,237,None
SP_Dur,None,58,35,30,50,43,56,37,47,37,44,39,103,32,116,29,32,56,22,None
SP_ROC,None,0.041237113402061855,0.05551277114619432,0.044001086237037274,0.04666666666666667,0.03549060542797486,0.03610595074009711,0.032289255366565496,0.044645611370808885,0.04907154139538468,0.04670912951167734,0.060109289617486336,0.04600811907983769,0.08603855721393035,0.044247787610619475,0.08333333333333333,0.06521931767833408,0.0542483660130719,0.047244094488188976,None
DS_Mag_50,None,11.0,12.7,16.5,17.7,7.89,13.3,12.100000000000001,12.7,15.0,23.3,14.7,12.25,16.049999999999997,7.130000000000001,21.4,12.0,6.53,None,None
DS_Mag_90,None,51.30000000000001,51.57000000000004,45.45,102.10000000000004,20.779999999999998,45.07000000000001,47.55,44.58000000000001,40.64000000000001,88.77000000000001,60.84000000000002,25.980000000000008,76.77000000000001,18.4,217.80000000000007,58.16,31.279999999999994,None,None
DS_Tim,None,224,249,238,314,282,264,221,268,288,290,238,296,216,249,197,237,249,259,None
DS_Dur_WS,None,208,174,186,104,113,148,216,167,107,178,173,194,194,176,214,165,165,None,None
