Year, 1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,489.99547173408234,None,212.9976945257404,149.9917749831554,319.9961007796943,None,81.00270328222359,192.00417880636454,None,245.99584528363562,169.0000475823369,57.997284138659595,434.9905627720979,172.0223802662644,None,69.0163652945531,1119.9962898137549,2199.9595710924186,None,None,496.99494082376907,78.99825486025436,None,None,1189.9451712052175,281.95929498929905,209.97310657657545,315.9936736195498,78.10110623952954,365.995207331695,None,None,None,None,1069.9961408659003,409.95617780214405,None,890.9185951247268,607.9862455514414,None,None,None,1179.9604659219503,96.49980364634382,307.9921249356425,3599.920367405097,197.9984229952861,None,178.99907880746062,396.9951873692877,None,995.9895095940831,None,923.9900553144114,None
FA_Tim,44,None,2,11,15,None,0,11,None,27,10,42,29,50,None,13,28,29,None,None,22,0,None,None,22,30,25,29,15,39,None,None,None,None,50,29,None,40,45,None,None,None,18,4,13,23,4,None,0,25,None,16,None,54,None
FA_Dur,3,None,1,7,2,None,3,5,None,5,6,6,2,9,None,5,3,2,None,None,3,4,None,None,9,2,3,3,6,6,None,None,None,None,2,6,None,6,2,None,None,None,4,4,3,7,4,None,4,4,None,2,None,10,None
Wet_BFL_Mag_10,477.8,215.0,279.0,269.80000000000007,662.2,241.0,274.0,823.7,559.0,318.8,161.0,None,289.6,146.5,353.5,131.0,683.4,616.8000000000002,344.5,190.8,653.8,256.0,75.4,239.3,83.0,87.4,118.80000000000001,346.20000000000005,134.6,521.0,None,None,None,None,227.0,180.6,512.4,390.40000000000003,294.5,None,None,None,308.20000000000005,132.0,361.4,389.1,254.80000000000004,170.0,43.44,241.4,494.6,855.6,128.5,270.0,None
Wet_BFL_Mag_50,1140.0,1240.0,998.0,2610.0,1620.0,1100.0,862.0,1545.0,1880.0,1140.0,411.0,None,1430.0,609.0,1095.0,601.0,1910.0,2620.0,972.5,538.0,2250.0,745.0,1385.0,614.0,461.5,260.0,491.0,805.0,293.0,1760.0,None,None,None,None,1250.0,519.5,1000.0,1600.0,1060.0,None,None,None,662.0,496.0,830.0,1285.0,877.0,359.0,605.0,662.0,1670.0,1930.0,441.5,1315.0,None
Wet_Tim,80,38,51,52,67,31,52,67,17,84,21,86,47,93,15,49,37,43,32,24,97,66,51,37,88,95,85,60,56,86,None,None,None,None,93,96,39,66,56,None,None,None,59,72,69,48,103,44,117,47,60,52,36,71,None
Wet_BFL_Dur,117,165,120,103,95,149,147,118,167,127,177,None,145,130,178,131,159,165,186,159,67,101,60,142,158,85,119,187,164,131,None,None,None,None,131,84,139,148,152,None,None,None,125,149,183,132,97,149,67,88,108,147,156,166,None
Peak_2,49800.0,14000.0,9800.0,22900.0,26900.0,23900.0,16400.0,15100.0,45400.0,28300.0,15600.0,724.0,15900.0,12000.0,18800.0,10800.0,29700.0,18100.0,21600.0,12300.0,36000.0,6710.0,13100.0,10900.0,9980.0,9330.0,4540.0,21600.0,5860.0,22800.0,None,None,None,None,10200.0,4100.0,7770.0,14000.0,12600.0,None,None,None,10600.0,5810.0,7830.0,10600.0,10700.0,14000.0,8320.0,10200.0,14500.0,20400.0,9980.0,17900.0,None
Peak_5,49800.0,14000.0,9800.0,22900.0,26900.0,23900.0,16400.0,15100.0,45400.0,28300.0,15600.0,724.0,15900.0,12000.0,18800.0,10800.0,29700.0,18100.0,21600.0,12300.0,36000.0,6710.0,13100.0,10900.0,9980.0,9330.0,4540.0,21600.0,5860.0,22800.0,None,None,None,None,10200.0,4100.0,7770.0,14000.0,12600.0,None,None,None,10600.0,5810.0,7830.0,10600.0,10700.0,14000.0,8320.0,10200.0,14500.0,20400.0,9980.0,17900.0,None
Peak_10,49800.0,14000.0,9800.0,22900.0,26900.0,23900.0,16400.0,15100.0,45400.0,28300.0,15600.0,724.0,15900.0,12000.0,18800.0,10800.0,29700.0,18100.0,21600.0,12300.0,36000.0,6710.0,13100.0,10900.0,9980.0,9330.0,4540.0,21600.0,5860.0,22800.0,None,None,None,None,10200.0,4100.0,7770.0,14000.0,12600.0,None,None,None,10600.0,5810.0,7830.0,10600.0,10700.0,14000.0,8320.0,10200.0,14500.0,20400.0,9980.0,17900.0,None
