Year, 1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,12.969215825237795,None,None,None,None,None,21.983602157543032,30.999196696505376,28.039560667116948,None,None,24.99060385414725,None,23.993127731367515,None,11.970928064219958,10.96032397628147,16.004891215395737,None,15.981185366564755,None,113.99333115338769,None,None,21.97708792403771,16.992021933724146,None,50.97672208843846,102.97936469597238,13.97316586008989,27.942015856606368,9.945240669620077,5.986487535913424,26.07520260249513,None,288.9662234388807,24.998537098132164,None,36.00062505935707,13.966617731781984,None,76.39090136629525,52.004456005153195,76.48880781343036,44.89621819424766,18.676555036504634,12.593223800103814,10.48540242454766,129.97560144939385,144.9541780443212,25.388566117008093,None,12.123086812437421,78.37430995038397,6.363214391919703,139.9925113072901,None,None,None
FA_Tim,None,10,None,None,None,None,None,2,11,15,None,None,11,None,27,None,41,0,50,None,13,None,22,None,None,19,24,None,33,22,30,25,20,10,35,None,49,8,None,27,25,None,37,39,18,33,33,9,3,13,23,4,None,50,22,32,15,None,None,None
FA_Dur,None,5,None,None,None,None,None,5,3,3,None,None,4,None,9,None,5,6,3,None,9,None,7,None,None,9,2,None,4,4,6,5,2,3,2,None,7,2,None,5,2,None,4,11,3,7,6,2,4,3,3,4,None,10,4,5,4,None,None,None
Wet_BFL_Mag_10,45.7,69.0,34.0,30.4,28.8,26.7,36.2,88.0,139.80000000000004,129.20000000000002,42.5,78.2,58.2,71.60000000000002,63.0,34.0,6.0,64.3,25.0,53.6,26.1,67.5,73.8,44.0,38.0,66.2,47.599999999999994,4.76,43.2,7.04,15.7,42.4,52.0,28.6,59.7,60.2,91.1,72.0,46.400000000000006,40.4,36.6,89.26,74.53,102.58,50.6,59.54,19.200000000000003,54.260000000000005,24.28,56.0,34.0,56.38,25.330000000000002,10.1,37.5,48.7,112.3,21.3,None,None
Wet_BFL_Mag_50,114.0,106.5,110.0,82.5,102.0,122.5,189.0,178.0,533.5,308.0,170.0,151.0,240.0,320.0,179.0,74.0,13.0,266.5,81.0,156.0,86.5,267.0,385.5,181.0,85.0,464.0,124.0,228.0,110.0,90.0,119.0,113.5,147.0,61.0,170.0,160.0,205.0,271.0,221.0,409.0,101.0,163.0,207.0,250.0,107.0,357.5,77.3,179.0,87.2,163.0,131.0,136.0,212.5,46.9,74.6,264.0,268.0,74.15,None,None
Wet_Tim,39,48,4,1,35,38,39,55,66,66,30,35,67,17,75,20,87,48,94,14,49,22,43,26,28,92,62,48,36,89,120,115,59,55,66,58,58,47,44,95,96,39,66,57,61,56,38,59,124,70,28,106,45,125,46,66,21,31,None,None
Wet_BFL_Dur,188,128,218,168,169,158,163,117,88,77,166,163,109,167,134,177,132,144,129,179,132,176,168,171,155,73,104,63,143,153,58,88,189,157,150,179,98,151,153,59,63,139,148,95,203,132,113,93,97,173,151,93,42,61,87,102,184,166,None,None
Peak_2,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,1765.0,None,None
Peak_5,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,2850.0,None,None
Peak_10,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,3473.0,None,None
Peak_Dur_2,2,None,3,None,2,2,1,2,5,6,2,2,None,5,1,None,None,7,None,1,None,4,9,None,1,6,None,None,None,None,None,None,1,None,8,None,7,None,None,1,None,None,1,2,None,4,None,None,None,1,None,None,1,None,2,1,2,None,None,None
Peak_Dur_5,None,None,None,None,1,1,None,None,None,1,None,None,None,3,None,None,None,1,None,None,None,1,3,None,None,2,None,None,None,None,None,None,None,None,2,None,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,1,None,None,None
Peak_Dur_10,None,None,None,None,1,1,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_2,1,None,2,None,1,1,1,1,3,2,2,1,None,3,1,None,None,2,None,1,None,3,6,None,1,1,None,None,None,None,None,None,1,None,3,None,3,None,None,1,None,None,1,1,None,3,None,None,None,1,None,None,1,None,1,1,2,None,None,None
Peak_Fre_5,None,None,None,None,1,1,None,None,None,1,None,None,None,2,None,None,None,1,None,None,None,1,2,None,None,1,None,None,None,None,None,None,None,None,2,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,1,None,None,None
Peak_Fre_10,None,None,None,None,1,1,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SP_Mag,221.0,114.0,352.0,168.0,760.0,150.0,286.0,676.0,702.0,740.0,160.0,217.0,274.0,3550.0,195.0,362.0,20.0,246.0,212.0,246.0,303.0,1800.0,328.0,181.0,282.0,835.0,781.0,608.0,620.0,263.0,351.0,160.0,199.0,61.0,136.0,108.0,184.0,213.0,348.0,785.0,476.0,210.0,1000.0,1410.0,443.0,775.0,781.0,208.0,140.0,65.0,1190.0,376.0,1590.0,364.0,2790.0,1280.0,312.0,193.0,None,None
SP_Tim,227,176,222,169,204,196,202,172,154,143,196,198,176,184,209,197,219,192,223,193,181,198,211,197,183,165,166,111,179,242,178,203,248,212,216,237,156,198,197,154,159,178,214,152,264,188,151,152,221,243,179,199,87,186,133,168,205,197,None,None
