Year, 1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
FA_Mag,None,849.994124449143,974.9984154243648,None,None,3750.0408058592466,259.99919746532044,490.00173413655244,None,1799.9952495400416,1879.9941741999546,None,225.99763454917814,None,3069.976620596864,2499.985877100251,1790.0003946784566,1279.997375934507,None,583.9988964253404,None,656.9997099597102,973.9952156571237,124.99981487190908,5439.969871805838,None,None,4699.975616571612,None,6999.964779363979,None,16399.9324503659,959.9999023658977,3509.980665049816,None,1949.9930174790275,None,999.9968044315012,None,31299.87653750168,17999.912070051116,17499.924669094893,1269.9971748031326,None,None,None,None,None,17199.96089959534,6659.981501742233,None,881.9989883038638,705.9971999821059,1179.999324944709
FA_Tim,None,43,36,None,None,59,7,6,None,44,10,None,6,None,47,24,60,32,None,16,None,3,4,26,33,None,None,25,None,30,None,16,6,41,None,25,None,18,None,51,30,9,46,None,None,None,None,None,42,45,None,4,12,17
FA_Dur,None,4,4,None,None,8,1,5,None,8,9,None,5,None,4,5,5,7,None,7,None,9,4,2,2,None,None,6,None,4,None,3,5,3,None,5,None,2,None,10,9,2,8,None,None,None,None,None,4,3,None,5,3,6
Wet_BFL_Mag_10,2250.0,1110.0,5902.0,350.0,8070.0,1530.0,1460.0,456.00000000000006,4586.000000000001,1500.0,5248.0,2805.0,506.0,2483.0,399.0,3060.0,2266.0,1183.0,2380.0,3540.0,3336.0000000000005,5640.0,1146.8000000000002,3686.0,5430.0,3674.0,4020.0,1704.0,2372.0000000000005,5008.0,682.0,2102.0000000000005,2256.0,5656.0,4710.0,4708.0,3472.0,3925.0,2390.0,6040.0,3065.0,7678.0,2218.0000000000005,2096.0,1710.0,1520.0,1430.0,2614.0,4714.0,4856.0,2068.0,2080.0,6028.0,5225.0
Wet_BFL_Mag_50,8790.0,5400.0,13800.0,1140.0,19900.0,8070.0,5870.0,1460.0,9150.0,3750.0,13100.0,6040.0,2710.0,6870.0,3070.0,5540.0,7680.0,3840.0,9740.0,10550.0,12500.0,15450.0,4050.0,14550.0,14300.0,7560.0,8055.0,3750.0,6500.0,8590.0,3900.0,7020.0,8270.0,11300.0,11550.0,13000.0,8130.0,11100.0,4460.0,33600.0,5720.0,34200.0,8100.0,5650.0,6850.0,7170.0,5645.0,4720.0,26600.0,9660.0,10600.0,8630.0,12200.0,15650.0
Wet_Tim,88,77,98,64,38,77,61,57,23,105,40,36,29,62,69,69,75,60,27,85,110,37,48,65,71,56,42,77,27,37,45,82,60,96,21,38,58,45,35,63,99,73,78,96,46,50,5,31,52,80,40,56,66,67
Wet_BFL_Dur,121,118,107,138,140,156,132,77,213,119,172,146,178,140,104,143,149,184,166,106,90,168,120,120,151,188,172,173,203,148,143,165,137,99,142,179,183,146,176,85,136,115,107,147,181,129,216,148,49,117,185,116,160,96
Peak_2,218000.0,53600.0,108000.0,52000.0,138000.0,100000.0,69200.0,62000.0,121000.0,141000.0,179000.0,166000.0,37100.0,81800.0,64600.0,123000.0,53600.0,44500.0,77300.0,182000.0,95300.0,316000.0,96500.0,261000.0,124000.0,184000.0,208000.0,43400.0,86400.0,186000.0,62500.0,91600.0,115000.0,105000.0,199000.0,188000.0,158000.0,213000.0,40000.0,433000.0,130000.0,174000.0,117000.0,261000.0,94800.0,81900.0,212000.0,122000.0,648000.0,261000.0,133000.0,113000.0,190000.0,267000.0
Peak_5,218000.0,53600.0,108000.0,52000.0,138000.0,100000.0,69200.0,62000.0,121000.0,141000.0,179000.0,166000.0,37100.0,81800.0,64600.0,123000.0,53600.0,44500.0,77300.0,182000.0,95300.0,316000.0,96500.0,261000.0,124000.0,184000.0,208000.0,43400.0,86400.0,186000.0,62500.0,91600.0,115000.0,105000.0,199000.0,188000.0,158000.0,213000.0,40000.0,433000.0,130000.0,174000.0,117000.0,261000.0,94800.0,81900.0,212000.0,122000.0,648000.0,261000.0,133000.0,113000.0,190000.0,267000.0
Peak_10,218000.0,53600.0,108000.0,52000.0,138000.0,100000.0,69200.0,62000.0,121000.0,141000.0,179000.0,166000.0,37100.0,81800.0,64600.0,123000.0,53600.0,44500.0,77300.0,182000.0,95300.0,316000.0,96500.0,261000.0,124000.0,184000.0,208000.0,43400.0,86400.0,186000.0,62500.0,91600.0,115000.0,105000.0,199000.0,188000.0,158000.0,213000.0,40000.0,433000.0,130000.0,174000.0,117000.0,261000.0,94800.0,81900.0,212000.0,122000.0,648000.0,261000.0,133000.0,113000.0,190000.0,267000.0
