Year, 1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
FA_Mag,None,4759.976264100263,1329.994839552523,2509.9631989746413,2339.9097115991826,5359.946736329945,None,4679.9758178175125,1029.9910742703787,2359.9819443542356,547.9983472141017,1159.9878937579406,None,None,None,643.9955738728166,None,1169.991496626846,None,1149.996573665209,2339.992014489152,1479.9985902479145,677.9909254916805,None,None,None,458.9876239488267,1689.9984006654413,2339.987349185655,None,1039.9972473690339,4559.967346825649,4419.954632392577,None,None,9299.934971059354,916.9995591013505,None,None,1930.0036609591084,2459.9428051269347,1589.9655628624084,12999.822812522914,None,1469.970945133974,565.9979964180015,1269.998516899022,4319.979724888345,551.9986691316143,2809.968884584083,702.9776159572309,None,6859.949014630765,2269.9914669002023,1840.0046899153394,None,None,None,2119.987526345676,2679.993397498947,None,1330.0162515138873,1649.991451831233,6219.961366556322,None
FA_Tim,None,1,44,9,18,9,None,5,18,8,7,10,None,None,None,14,None,2,None,9,22,0,11,None,None,None,24,0,50,None,13,6,22,None,None,22,0,None,None,23,30,25,31,None,27,11,18,1,7,27,20,None,40,47,19,None,None,None,3,14,None,4,15,50,None
FA_Dur,None,8,6,2,4,3,None,4,3,3,10,3,None,None,None,5,None,1,None,4,7,6,5,None,None,None,6,4,5,None,5,2,4,None,None,4,5,None,None,6,5,6,4,None,3,3,2,5,2,5,3,None,4,3,4,None,None,None,7,4,None,4,4,2,None
Wet_BFL_Mag_10,2347.0,2168.0000000000005,2318.0,2382.0,1638.0,2478.0,1100.0,1746.0,1225.0,1920.0,1660.0,973.8000000000002,1018.0,1193.0,1230.0,1708.0,1966.0,691.5,2012.0,1470.0,2795.0,2630.0000000000005,2093.0,2846.0,1195.0,1678.0,969.5,2310.0,1195.0,2225.0,1238.0,2516.0,2780.0,1896.0,921.0,1620.0,1610.0,1164.0,1741.0,692.0,1006.0,1012.0,2706.0,1186.0,2806.0,2764.0,1356.0,2375.0,2239.0,1480.0,582.2,2744.0,2480.0,1895.0,1420.0,1982.0000000000002,1786.0,1462.0,982.4000000000001,1640.0,1958.0,1582.0,1901.0,1465.0,1196.0
Wet_BFL_Mag_50,6605.0,5800.0,5080.0,5375.0,3750.0,6290.0,3135.0,6970.0,3475.0,4050.0,4505.0,3410.0,3080.0,3835.0,3600.0,4440.0,4420.0,3075.0,4390.0,4400.0,5630.0,5875.0,4450.0,9150.0,4670.0,3680.0,1910.0,4880.0,2735.0,4975.0,3250.0,7900.0,6540.0,4820.0,2125.0,4620.0,3620.0,2285.0,4760.0,2160.0,2270.0,1970.0,5350.0,2060.0,5560.0,7120.0,4130.0,5250.0,5485.0,3340.0,1470.0,4940.0,6745.0,4895.0,3260.0,5720.0,4740.0,3860.0,3040.0,4620.0,4670.0,5255.0,3015.0,3335.0,2800.0
Wet_Tim,13,17,58,33,35,43,15,37,36,81,38,32,2,12,34,50,37,17,7,66,32,36,64,16,45,19,138,20,56,15,34,23,43,27,6,55,37,52,34,51,60,41,47,56,32,51,41,44,29,34,24,39,66,49,57,30,30,13,28,33,19,84,40,117,11
Wet_BFL_Dur,150,175,179,158,200,177,220,150,148,161,188,182,219,158,171,147,189,164,219,129,170,158,112,170,166,175,104,211,166,180,147,175,181,227,248,166,131,198,148,196,174,162,200,197,185,187,209,196,190,226,249,163,146,158,207,218,177,219,193,217,227,122,152,108,183
Peak_2,117000.0,51800.0,116000.0,110000.0,40400.0,111000.0,47600.0,69800.0,54900.0,56600.0,53800.0,53000.0,70500.0,61500.0,180000.0,110000.0,66800.0,55600.0,47500.0,70200.0,106000.0,144000.0,37700.0,75500.0,78700.0,31700.0,11400.0,81300.0,54700.0,56800.0,54600.0,65200.0,66100.0,46300.0,45300.0,76300.0,32900.0,51300.0,68000.0,60300.0,36000.0,20100.0,48800.0,27500.0,55100.0,49100.0,87300.0,52200.0,91200.0,47100.0,8650.0,26900.0,38200.0,64600.0,63500.0,66000.0,45100.0,32100.0,76900.0,42000.0,34000.0,71200.0,51200.0,50900.0,59100.0
Peak_5,117000.0,51800.0,116000.0,110000.0,40400.0,111000.0,47600.0,69800.0,54900.0,56600.0,53800.0,53000.0,70500.0,61500.0,180000.0,110000.0,66800.0,55600.0,47500.0,70200.0,106000.0,144000.0,37700.0,75500.0,78700.0,31700.0,11400.0,81300.0,54700.0,56800.0,54600.0,65200.0,66100.0,46300.0,45300.0,76300.0,32900.0,51300.0,68000.0,60300.0,36000.0,20100.0,48800.0,27500.0,55100.0,49100.0,87300.0,52200.0,91200.0,47100.0,8650.0,26900.0,38200.0,64600.0,63500.0,66000.0,45100.0,32100.0,76900.0,42000.0,34000.0,71200.0,51200.0,50900.0,59100.0
Peak_10,117000.0,51800.0,116000.0,110000.0,40400.0,111000.0,47600.0,69800.0,54900.0,56600.0,53800.0,53000.0,70500.0,61500.0,180000.0,110000.0,66800.0,55600.0,47500.0,70200.0,106000.0,144000.0,37700.0,75500.0,78700.0,31700.0,11400.0,81300.0,54700.0,56800.0,54600.0,65200.0,66100.0,46300.0,45300.0,76300.0,32900.0,51300.0,68000.0,60300.0,36000.0,20100.0,48800.0,27500.0,55100.0,49100.0,87300.0,52200.0,91200.0,47100.0,8650.0,26900.0,38200.0,64600.0,63500.0,66000.0,45100.0,32100.0,76900.0,42000.0,34000.0,71200.0,51200.0,50900.0,59100.0
Peak_Dur_2,5,None,3,3,None,4,None,2,None,2,None,None,1,2,3,3,1,1,None,5,4,5,None,3,1,None,None,1,None,1,None,2,2,None,None,3,None,None,1,1,None,None,None,None,1,None,3,None,1,None,None,None,None,1,2,2,None,None,2,None,None,2,None,None,1
Peak_Dur_5,3,None,1,2,None,1,None,None,None,None,None,None,None,None,1,2,None,None,None,None,2,3,None,None,1,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None
Peak_Dur_10,1,None,1,1,None,1,None,None,None,None,None,None,None,None,1,1,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_2,3,None,2,2,None,3,None,2,None,1,None,None,1,2,1,2,1,1,None,3,2,2,None,2,1,None,None,1,None,1,None,2,2,None,None,2,None,None,1,1,None,None,None,None,1,None,2,None,1,None,None,None,None,1,1,1,None,None,1,None,None,2,None,None,1
Peak_Fre_5,1,None,1,1,None,1,None,None,None,None,None,None,None,None,1,2,None,None,None,None,2,2,None,None,1,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None
Peak_Fre_10,1,None,1,1,None,1,None,None,None,None,None,None,None,None,1,1,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SP_Mag,10500.0,6440.0,9340.0,16900.0,3190.0,4160.0,9960.0,16700.0,19500.0,29200.0,15400.0,4780.0,27800.0,6000.0,15500.0,11200.0,6680.0,8960.0,4110.0,4650.0,8840.0,9260.0,6100.0,42900.0,7190.0,5690.0,1910.0,5440.0,16200.0,8310.0,9230.0,41700.0,6940.0,8430.0,5920.0,10300.0,21200.0,7920.0,13600.0,16700.0,2280.0,20100.0,12800.0,1610.0,11100.0,13300.0,2270.0,3540.0,7150.0,2270.0,1020.0,4620.0,9250.0,26300.0,5440.0,3210.0,6310.0,3230.0,10900.0,29800.0,4680.0,10000.0,13400.0,7310.0,3580.0
SP_Tim,163,192,237,191,235,220,235,187,184,242,226,214,221,170,205,197,226,181,226,195,202,194,176,186,211,194,242,231,222,195,181,198,224,254,254,221,168,250,182,247,234,203,247,253,217,238,250,240,219,260,273,202,212,207,264,248,207,232,221,250,246,206,192,225,194
SP_Dur,101,71,45,103,40,37,33,54,61,36,44,52,41,99,20,46,44,92,40,81,80,50,74,25,51,146,48,45,50,56,115,62,81,33,23,26,39,46,108,45,30,46,40,37,83,43,9,48,56,13,26,53,57,30,34,39,54,51,33,59,43,55,124,33,53
