1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
1.0,0.2,0.1,0.0,0.2,0.1,0.1,0.0,0.2,0.94,0.15,1.2,0.21,0.26,0.08,0.7,0.19,0.32,1.6,0.1,0.77,0.45,0.62,0.39,0.11,73.0,0.31,0.32,0.86,0.19
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.94,0.15,1.2,0.22,0.26,0.09,0.7,0.23,0.29,1.3,0.09,0.76,0.45,0.62,0.34,0.11,8.5,0.37,0.3,0.86,0.18
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.89,0.15,1.2,0.23,0.25,0.14,0.7,0.23,0.27,1.1,0.08,0.76,0.45,0.62,0.34,0.11,3.8,0.39,0.3,0.86,0.19
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.2,0.89,0.17,1.1,0.23,0.23,0.16,0.63,0.23,0.22,0.96,0.08,0.74,0.45,0.62,0.31,0.13,2.5,0.36,0.3,0.99,0.18
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.86,0.16,1.1,0.24,0.23,0.14,0.63,0.23,0.22,0.96,0.08,0.75,0.44,0.62,0.24,0.16,2.3,0.37,0.3,1.2,0.17
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.85,0.16,1.1,0.25,0.24,0.11,0.7,0.23,0.25,0.96,0.08,0.72,0.45,0.62,0.23,0.14,2.0,0.38,0.32,1.2,0.19
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.85,0.17,1.1,0.23,0.25,0.11,0.63,0.27,0.27,0.87,0.08,0.69,0.46,0.62,0.2,0.1,1.8,0.28,0.33,1.1,0.22
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.84,0.16,1.1,0.24,0.26,0.17,0.7,0.27,0.26,0.87,0.06,0.7,0.47,0.62,0.21,0.1,1.7,0.21,0.33,1.0,0.28
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.84,0.18,1.1,0.23,0.26,0.2,0.63,0.23,0.25,0.79,0.08,0.68,0.49,0.62,0.24,0.1,1.7,0.24,0.35,1.0,0.31
1.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.83,0.19,1.1,0.24,0.25,0.17,0.63,0.23,0.25,0.79,0.08,0.66,0.49,0.62,0.24,0.11,1.6,0.21,0.42,1.0,0.24
