Year, 1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,None,1.1817449861377929,2.3811371120947005,None,None,None,None,None,5.4699627192743305,None,None,None,4.7401813393061865,1.2500743555412617,None,None,None,None,None,None,6.770216804373191,None,None,5.1857682201378905,None,27.97961090768853,None,None,4.425115714882628,None,None,3.803644831036444,6.920000901817844,None,None,4.29831612997673,None,None,None,1.7885237194602281,1.2950991853729268,15.9809951655161,96.00078199572555,None,5.876925054856766,None,None,None,None,None,None,4.40913477179624,3.0836510365070953,None,1.3612251347493916,12.967830563389278,1.4764467259906773,None,1.4939277426454476,4.0526350028327105,None,None,None,38.7656787592537,3.105985072947035,None,None,1.0732348656238944,None,1.0792195756514573,None,None,None,None,None,None,None,2.7164965396873413,None
FA_Tim,None,None,27,71,None,None,None,None,None,40,None,None,None,44,0,None,None,None,None,None,None,50,None,None,40,None,37,None,None,36,None,None,41,48,None,None,0,None,None,None,64,57,39,0,None,55,None,None,None,None,None,None,67,71,None,31,28,43,None,38,25,None,None,None,18,39,None,None,56,None,29,None,None,None,None,None,None,None,59,None
FA_Dur,None,None,1,8,None,None,None,None,None,13,None,None,None,6,5,None,None,None,None,None,None,3,None,None,10,None,12,None,None,5,None,None,3,10,None,None,2,None,None,None,4,2,3,4,None,2,None,None,None,None,None,None,6,3,None,4,2,4,None,6,5,None,None,None,3,7,None,None,4,None,1,None,None,None,None,None,None,None,19,None
Wet_BFL_Mag_10,1.56,0.1,0.4,0.4,0.1,0.1,0.0,None,0.0,0.1,None,0.5,0.2,0.1,None,0.6,0.2,0.4,0.3,0.1,0.1,0.4,0.5,0.2,0.2,0.1,0.4600000000000001,0.28,2.0500000000000003,0.73,0.112,0.41999999999999993,0.77,0.33,0.13,0.124,None,1.4,0.9339999999999999,0.77,0.263,0.529,1.0760000000000003,None,0.16900000000000004,0.86,0.155,0.14,0.047,0.0,0.6720000000000002,0.32999999999999996,1.0560000000000005,0.28,None,0.656,0.372,7.9,0.2620000000000001,0.59,0.643,0.388,0.4,0.36,2.222,0.6020000000000001,0.23,0.25,0.31100000000000005,0.13,0.94,0.16,0.06,0.09,0.01,0.09,0.3580000000000001,0.02,0.468,None
Wet_BFL_Mag_50,13.0,0.8500000000000001,3.3,2.0,0.5,0.2,0.4,None,0.1,0.2,None,2.0,0.6,0.3,None,1.0,0.6,2.3,0.6,0.4,0.3,1.0,0.7,0.4,0.4,1.15,0.8,0.48,7.199999999999999,1.4,0.6,0.42,5.6,1.1,0.46,0.61,None,7.6,1.75,3.5999999999999996,1.25,1.2,7.6,None,0.53,4.0,0.5800000000000001,0.4,0.385,0.01,2.2,0.59,7.4,0.8,None,2.5,2.3,68.0,1.2,3.0,3.15,0.68,0.725,0.72,6.1,1.14,0.4,0.93,0.47,0.59,1.8,0.29,0.38,0.135,0.09,0.195,2.97,0.32,3.52,None
Wet_Tim,92,63,100,116,29,67,33,None,135,60,None,85,39,100,None,73,88,71,86,62,26,121,118,22,70,35,52,29,100,123,36,64,93,84,51,112,None,84,114,121,109,87,76,None,31,117,124,11,67,93,146,82,83,107,None,93,38,116,102,123,95,17,27,125,82,82,95,71,59,4,69,65,30,113,55,102,94,138,93,None
Wet_BFL_Dur,97,144,59,43,166,117,58,None,99,72,None,85,173,85,None,152,147,117,61,151,144,16,106,165,124,58,67,169,90,32,73,27,81,97,111,45,None,116,68,40,64,110,139,None,130,53,36,195,68,50,28,56,97,71,None,75,83,101,77,81,64,169,192,26,94,107,112,51,88,193,105,134,132,42,21,60,49,38,67,None
Peak_2,323.0,54.0,463.0,102.0,145.0,50.0,80.0,None,33.0,42.0,1.2,602.0,26.0,37.0,25.0,266.0,66.0,226.0,35.0,16.0,12.0,348.0,55.0,22.0,96.0,324.0,390.0,25.0,400.0,106.0,49.0,85.0,215.0,103.0,122.0,64.0,33.0,484.0,61.0,265.0,69.0,82.0,290.0,140.0,43.0,157.0,35.0,34.0,15.0,10.0,226.0,278.0,182.0,63.0,None,116.0,72.0,1000.0,35.0,81.0,501.0,4.79,177.0,116.0,1230.0,227.0,3.74,229.0,18.6,92.0,608.0,9.33,7.79,14.1,61.9,24.5,425.0,42.9,178.0,None
Peak_5,323.0,54.0,463.0,102.0,145.0,50.0,80.0,None,33.0,42.0,1.2,602.0,26.0,37.0,25.0,266.0,66.0,226.0,35.0,16.0,12.0,348.0,55.0,22.0,96.0,324.0,390.0,25.0,400.0,106.0,49.0,85.0,215.0,103.0,122.0,64.0,33.0,484.0,61.0,265.0,69.0,82.0,290.0,140.0,43.0,157.0,35.0,34.0,15.0,10.0,226.0,278.0,182.0,63.0,None,116.0,72.0,1000.0,35.0,81.0,501.0,4.79,177.0,116.0,1230.0,227.0,3.74,229.0,18.6,92.0,608.0,9.33,7.79,14.1,61.9,24.5,425.0,42.9,178.0,None
Peak_10,323.0,54.0,463.0,102.0,145.0,50.0,80.0,None,33.0,42.0,1.2,602.0,26.0,37.0,25.0,266.0,66.0,226.0,35.0,16.0,12.0,348.0,55.0,22.0,96.0,324.0,390.0,25.0,400.0,106.0,49.0,85.0,215.0,103.0,122.0,64.0,33.0,484.0,61.0,265.0,69.0,82.0,290.0,140.0,43.0,157.0,35.0,34.0,15.0,10.0,226.0,278.0,182.0,63.0,None,116.0,72.0,1000.0,35.0,81.0,501.0,4.79,177.0,116.0,1230.0,227.0,3.74,229.0,18.6,92.0,608.0,9.33,7.79,14.1,61.9,24.5,425.0,42.9,178.0,None
Peak_Dur_2,10,None,4,1,2,None,None,None,None,None,None,5,None,None,None,4,None,7,None,None,None,4,None,None,1,3,5,None,6,2,None,1,3,1,4,None,None,9,None,3,None,1,11,2,None,3,None,None,None,None,3,2,4,None,None,1,None,42,None,1,4,None,2,1,11,3,None,4,None,2,5,None,None,None,None,None,3,None,2,None
Peak_Dur_5,1,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2,None,None,None,1,2,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,12,None,None,1,None,None,None,5,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None
Peak_Dur_10,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5,None,None,1,None,None,None,4,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None
Peak_Fre_2,8,None,2,1,2,None,None,None,None,None,None,4,None,None,None,2,None,7,None,None,None,3,None,None,1,3,3,None,2,1,None,1,2,1,3,None,None,4,None,1,None,1,7,2,None,2,None,None,None,None,1,2,4,None,None,1,None,4,None,1,2,None,2,1,6,2,None,3,None,2,4,None,None,None,None,None,2,None,2,None
Peak_Fre_5,1,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,1,None,None,None,1,2,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,5,None,None,1,None,None,None,3,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None
Peak_Fre_10,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3,None,None,1,None,None,None,2,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None
SP_Mag,214.0,11.0,25.0,46.0,1.2,49.0,31.0,None,17.0,42.0,0.2,236.0,1.9,4.5,9.7,29.0,3.4,226.0,26.0,16.0,0.4,348.0,1.2,18.0,96.0,324.0,346.0,2.3,50.0,106.0,3.8,85.0,44.0,8.8,103.0,9.1,13.0,20.0,61.0,40.0,10.0,10.0,33.0,140.0,2.8,69.0,35.0,2.5,15.0,10.0,129.0,278.0,67.0,6.0,None,15.0,72.0,47.0,35.0,29.0,501.0,0.68,12.0,116.0,89.9,227.0,0.36,229.0,5.04,15.0,608.0,8.71,1.26,14.1,61.9,15.8,425.0,42.9,73.5,None
SP_Tim,189,207,159,159,195,184,91,None,234,132,238,170,212,185,216,225,235,188,147,213,170,137,224,187,194,93,119,198,190,155,109,91,174,181,162,157,224,200,182,161,173,197,215,89,161,170,160,206,135,143,174,138,180,178,None,168,121,217,179,204,159,186,219,151,176,189,207,122,147,197,174,199,162,155,76,162,143,176,160,None
SP_Dur,38,52,23,110,112,65,151,None,19,124,49,86,57,78,68,23,22,34,152,122,157,35,70,133,20,80,111,26,30,147,183,189,117,117,111,104,51,24,144,19,76,15,22,31,75,11,125,26,84,28,21,66,36,99,None,125,221,75,16,27,97,104,118,19,102,98,69,64,188,51,27,29,68,175,120,35,55,84,113,None
SP_ROC,0.08712121212121213,0.15000000000000002,0.09090909090909091,0.19999999999999996,0.25000000000000006,0.4444444444444445,0.5,None,0.35,0.33333333333333326,1.0,0.11111111111111108,0.26785714285714285,0.16666666666666663,0.19999999999999996,0.14250000000000004,0.25000000000000006,0.10025062656641606,0.4222222222222223,1.0,1.0,0.11124794745484401,0.25000000000000006,0.33333333333333326,0.16666666666666666,0.11111111111111108,0.11882352941176466,0.10714285714285723,0.07919254658385083,0.11324786324786329,0.11111111111111106,0.13721804511278193,0.08333333333333323,0.16312997347480107,0.15384615384615383,0.15268065268065265,0.1980676328502415,0.041666666666666706,0.13534599728629584,0.10447761194029853,0.12,0.07608695652173919,0.067481884057971,0.09375000000000008,0.14166666666666666,0.11249999999999996,0.1578947368421052,0.13333333333333328,0.1666666666666666,0.18749999999999994,0.26598639455782314,0.12666666666666662,0.11111111111111108,0.1875,None,0.14090909090909093,0.19047619047619038,0.05926251097453908,0.03333333333333337,0.24999999999999992,0.08333333333333323,0.14705882352941188,0.11833333333333329,0.08974358974358981,0.05479452054794526,0.07936507936507943,0.12499999999999993,0.06451612903225812,0.13513513513513511,0.07500000000000007,0.08333333333333333,0.1250000000000001,0.1366459627329193,0.1666666666666666,0.11010101010101012,0.1666666666666666,0.10652379451623063,0.25000000000000006,0.0795744306691287,None
DS_Mag_50,0.6,0.2,0.2,0.1,0.0,0.0,None,None,0.0,None,0.0,0.3,0.1,None,0.0,0.1,0.0,0.2,0.0,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.28,0.125,0.42,0.05,0.05,0.06,0.13,0.13,0.11,None,0.02,0.91,0.22,0.22,0.05,0.1,None,0.24,0.05,0.34,0.06,0.04,0.0,0.0,0.01,0.04,0.31,None,None,0.14,0.09,0.8,0.23,0.34,0.34,0.02,0.25,0.12,0.48,0.26,0.07,0.19,0.09,0.22,0.355,0.03,0.04,0.01,0.01,0.0,0.06,0.0,None,None
DS_Mag_90,1.6,0.4,1.3,0.2,0.3,0.0,None,None,0.0,None,0.0,0.5,0.4,None,0.2,0.2,0.2,0.7099999999999993,0.1,0.0,0.5,0.5,0.2,0.2,0.4,0.4,0.81,0.37,1.4,0.15100000000000008,0.29,0.3320000000000002,0.26,0.38200000000000006,0.28,None,0.05,1.5,1.4,0.7160000000000002,0.47500000000000087,1.2099999999999993,None,0.8499999999999999,0.44000000000000006,1.1,0.08,0.1,0.03,0.02,0.06,0.38,0.7300000000000002,None,None,0.43,13.0,1.85,0.5269999999999999,0.56,0.6240000000000001,0.12799999999999997,0.48700000000000015,0.41,0.6619999999999999,0.36,0.15,0.52,0.13,0.44400000000000006,0.92,0.19,0.1,0.03,0.06,0.04000000000000001,0.28,0.0,None,None
DS_Tim,227,259,182,269,307,249,242,None,253,256,287,256,269,263,284,248,257,222,299,335,327,172,294,320,214,173,230,224,220,302,292,280,291,298,273,261,275,224,326,180,249,212,237,120,236,181,285,232,219,171,195,204,216,277,None,293,342,292,195,231,256,290,337,170,278,287,276,186,335,248,201,228,230,330,196,197,198,260,273,None
DS_Dur_WS,202,207,300,126,126,150,None,None,173,None,164,149,197,None,155,206,180,230,129,57,160,312,94,116,187,245,165,242,269,100,138,179,159,119,205,None,175,256,161,295,204,230,None,277,247,309,92,201,240,341,253,245,257,None,None,111,140,176,294,230,127,103,154,278,170,174,161,239,35,187,230,168,249,91,272,263,306,199,None,None
