1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3.3,0.8,0.9,0.8,0.5,0.6,0.4,0.4,0.4,0.5,0.3,1.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.4,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.02,0.0,0.26,0.0,0.02,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.8,0.9,0.8,0.5,0.6,0.4,0.4,0.4,0.5,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.2,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.03,0.0,0.3,0.0,0.02,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.7,0.9,0.8,0.5,0.6,0.4,0.4,0.4,0.5,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.1,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.04,0.0,0.37,0.0,0.02,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.7,1.0,0.8,0.5,0.6,0.4,0.4,0.4,0.5,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.04,0.0,0.73,0.0,0.02,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.7,1.0,0.8,0.5,0.6,0.4,0.4,0.4,0.4,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.55,1.9,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.04,0.0,1.34,0.0,0.02,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.7,1.0,0.8,0.5,0.6,0.4,0.4,0.4,0.4,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.24,1.9,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.03,0.0,1.1,0.0,0.33,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.6,1.0,0.8,0.5,0.6,0.4,0.4,0.4,0.4,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.11,2.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.0,0.82,0.0,0.54,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.6,1.0,0.8,0.5,0.6,0.4,0.4,0.4,0.4,0.3,1.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.05,2.2,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.02,0.0,0.68,0.0,0.04,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.6,0.9,0.8,0.5,0.6,0.4,0.4,0.4,0.4,0.3,1.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.04,2.2,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.01,0.0,0.68,0.0,0.02,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.6,0.9,0.8,0.5,0.6,0.4,0.4,0.4,0.4,0.3,1.6,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.03,2.2,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.01,0.0,0.69,0.0,0.02,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
