Year, 1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
FA_Mag,None,None,None,None,None,None,None,223.90484202593058,None,None,None,None,15.995420290741606,None,None,None
FA_Tim,None,None,None,None,None,None,None,62,None,None,None,None,63,None,None,None
FA_Dur,None,None,None,None,None,None,None,10,None,None,None,None,21,None,None,None
Wet_BFL_Mag_10,0.0,None,0.0,6.960000000000001,0.0,0.0,None,0.96,0.0,None,0.0,1.4400000000000013,0.9,None,0.0,None
Wet_BFL_Mag_50,0.8,None,1.8,35.5,7.0,0.6,None,2.0,1.6,None,0.4,11.0,8.0,None,49.0,None
Wet_Tim,92,None,94,113,124,83,None,120,119,None,88,36,102,None,102,None
Wet_BFL_Dur,123,None,142,78,23,130,None,17,81,None,106,89,101,None,48,None
Peak_2,124.0,None,124.0,124.0,124.0,124.0,None,124.0,124.0,None,124.0,124.0,124.0,None,124.0,None
Peak_5,695.0000000000001,None,695.0000000000001,695.0000000000001,695.0000000000001,695.0000000000001,None,695.0000000000001,695.0000000000001,None,695.0000000000001,695.0000000000001,695.0000000000001,None,695.0000000000001,None
Peak_10,884.5999999999999,None,884.5999999999999,884.5999999999999,884.5999999999999,884.5999999999999,None,884.5999999999999,884.5999999999999,None,884.5999999999999,884.5999999999999,884.5999999999999,None,884.5999999999999,None
Peak_Dur_2,None,None,None,18,2,None,None,12,2,None,1,7,3,None,16,None
Peak_Dur_5,None,None,None,None,None,None,None,1,None,None,None,None,1,None,4,None
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,None,None,1,None,2,None
Peak_Fre_2,None,None,None,8,2,None,None,4,1,None,1,4,2,None,7,None
Peak_Fre_5,None,None,None,None,None,None,None,1,None,None,None,None,1,None,2,None
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,None,None,1,None,2,None
SP_Mag,11.0,None,2.5,552.0,133.0,11.0,None,674.0,13.0,None,124.0,199.0,46.0,None,978.0,None
SP_Tim,215,None,236,191,147,213,None,137,200,None,194,125,203,None,150,None
SP_Dur,45,None,33,39,43,18,None,41,61,None,37,45,42,None,64,None
SP_ROC,0.1250000000000001,None,0.25000000000000006,0.07692307692307693,0.08695652173913032,0.38750000000000007,None,0.1111111111111111,0.09999999999999998,None,0.10172413793103444,0.0638297872340425,0.05999999999999996,None,0.07142857142857142,None
DS_Mag_50,None,None,0.0,0.0,0.0,None,None,0.0,None,None,0.0,0.0,None,None,None,None
DS_Mag_90,None,None,0.0,4.429999999999999,0.3,None,None,2.2,None,None,0.1,2.3,None,None,None,None
DS_Tim,260,None,269,230,190,231,None,178,261,None,231,170,245,None,214,None
DS_Dur_WS,None,None,210,260,259,None,None,307,None,None,171,298,None,None,None,None
