Year, 1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,1.427307731865491,None,125.95087181677512,None,None,4.289772151080918,None,None,None,None,8.062124444217304,None,1.511644917027648,7.9489989054624335,3.396478017256189,132.977416901678,4.314142607093094,369.0001878163558,None,28.0053860950232,2.6829208087066236,3.137526666503484,5.757645890120614,2.624488862729593,39.999930860608494,5.780680072061937,5.288459445669954,4.189797778846116,2.89701562071441,None,None,None,None,None,2.636414983101493,1.4217878857938604,30.00199999263857,30.995486581159717,46.996672056304995,16.99246338999157,6.326308647139256,2.8875949324303307,None,15.496119121214852,None,1.4312174102165336,2.5951547035093316,1.7087527463481351,None,None,22.293454827486194,None,None,1.371377760498594,None,None,None,None,None,2.174013411255562,None
FA_Tim,None,21,None,62,None,None,41,None,None,None,None,36,None,47,42,18,64,26,0,None,52,36,12,29,25,0,11,20,0,22,None,None,None,None,None,42,5,73,29,56,61,38,10,None,40,None,19,40,5,None,None,13,None,None,13,None,None,None,None,None,59,None
FA_Dur,None,5,None,5,None,None,5,None,None,None,None,5,None,9,3,5,10,9,8,None,6,8,4,5,10,4,4,3,8,5,None,None,None,None,None,5,2,4,3,3,2,6,2,None,6,None,5,7,2,None,None,5,None,None,5,None,None,None,None,None,21,None
Wet_BFL_Mag_10,2.6,1.7999999999999998,1.0,0.8,1.2,0.1,0.2,0.1,0.2,0.3490000000000001,2.78,4.4,1.8000000000000003,1.4,3.9400000000000004,3.4,3.0,None,None,2.81,4.12,4.04,3.66,6.49,3.7,6.0,2.54,5.01,2.7,0.996,0.23400000000000004,0.19,1.0800000000000003,1.2,13.0,2.0,3.04,6.430000000000001,5.0,31.200000000000003,8.1,14.0,4.16,1.842,1.9500000000000002,1.96,3.588,0.43,0.9099999999999999,0.4,1.1360000000000001,1.141,2.108,2.05,1.736,0.0,None,0.0020000000000000018,2.5380000000000003,1.04,2.1470000000000002,None
Wet_BFL_Mag_50,18.0,3.05,1.5,13.5,5.050000000000001,1.1,1.2,1.6,1.9,1.2,108.5,9.0,7.4,2.8,48.0,9.6,11.0,None,None,62.5,15.5,16.5,12.5,19.0,83.0,11.5,5.8,33.0,4.7,2.6,1.5,0.99,7.1,2.2,25.0,3.5,14.0,22.0,32.5,85.0,10.0,31.0,12.0,5.005,4.19,2.24,27.2,2.88,1.6150000000000002,2.21,3.55,6.9350000000000005,7.6,2.34,2.38,0.685,None,0.38,29.1,1.72,20.95,None
Wet_Tim,126,91,37,120,113,38,73,38,54,31,101,92,48,51,96,78,112,None,None,78,93,81,109,148,76,32,17,118,125,59,11,22,146,122,85,108,92,113,62,92,94,105,95,34,62,114,79,85,14,92,124,99,82,26,48,33,None,100,92,155,103,None
Wet_BFL_Dur,21,64,85,40,98,80,125,93,153,158,50,64,37,82,79,109,99,None,None,98,92,80,64,48,139,160,165,52,51,150,147,136,33,56,95,38,85,54,56,129,103,98,64,64,157,38,98,105,218,59,34,54,93,175,40,154,None,63,55,21,58,None
Peak_2,332.0,65.0,99.0,786.0,518.0,112.0,207.0,350.0,1740.0,9.0,4490.0,311.0,167.0,50.0,1310.0,964.0,867.0,279.0,369.0,3700.0,465.0,459.0,203.0,779.0,1930.0,171.0,70.0,633.0,223.0,131.0,41.0,36.0,972.0,507.0,2540.0,215.0,5860.0,460.0,903.0,2760.0,177.0,454.0,1410.0,141.0,296.0,184.0,1960.0,625.0,6.84,320.0,268.0,768.0,2010.0,25.9,139.0,3.25,None,38.9,880.0,1060.0,453.0,None
Peak_5,332.0,65.0,99.0,786.0,518.0,112.0,207.0,350.0,1740.0,9.0,4490.0,311.0,167.0,50.0,1310.0,964.0,867.0,279.0,369.0,3700.0,465.0,459.0,203.0,779.0,1930.0,171.0,70.0,633.0,223.0,131.0,41.0,36.0,972.0,507.0,2540.0,215.0,5860.0,460.0,903.0,2760.0,177.0,454.0,1410.0,141.0,296.0,184.0,1960.0,625.0,6.84,320.0,268.0,768.0,2010.0,25.9,139.0,3.25,None,38.9,880.0,1060.0,453.0,None
Peak_10,332.0,65.0,99.0,786.0,518.0,112.0,207.0,350.0,1740.0,9.0,4490.0,311.0,167.0,50.0,1310.0,964.0,867.0,279.0,369.0,3700.0,465.0,459.0,203.0,779.0,1930.0,171.0,70.0,633.0,223.0,131.0,41.0,36.0,972.0,507.0,2540.0,215.0,5860.0,460.0,903.0,2760.0,177.0,454.0,1410.0,141.0,296.0,184.0,1960.0,625.0,6.84,320.0,268.0,768.0,2010.0,25.9,139.0,3.25,None,38.9,880.0,1060.0,453.0,None
Peak_Dur_2,None,None,None,4,1,None,None,1,5,None,16,None,None,None,6,2,2,None,1,15,2,1,None,1,6,None,None,5,None,None,None,None,5,2,10,None,11,2,6,20,None,2,2,None,None,None,5,3,None,None,None,3,9,None,None,None,None,None,6,1,1,None
Peak_Dur_5,None,None,None,None,None,None,None,None,1,None,6,None,None,None,1,None,None,None,None,5,None,None,None,None,2,None,None,None,None,None,None,None,1,None,1,None,4,None,None,3,None,None,1,None,None,None,1,None,None,None,None,None,3,None,None,None,None,None,None,1,None,None
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,4,None,None,None,None,None,None,None,None,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,2,None,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None
Peak_Fre_2,None,None,None,2,1,None,None,1,4,None,4,None,None,None,5,1,2,None,1,7,2,1,None,1,4,None,None,3,None,None,None,None,3,2,5,None,5,2,4,8,None,2,1,None,None,None,4,2,None,None,None,2,5,None,None,None,None,None,4,1,1,None
Peak_Fre_5,None,None,None,None,None,None,None,None,1,None,4,None,None,None,1,None,None,None,None,2,None,None,None,None,1,None,None,None,None,None,None,None,1,None,1,None,3,None,None,2,None,None,1,None,None,None,1,None,None,None,None,None,2,None,None,None,None,None,None,1,None,None
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,3,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,2,None,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None
SP_Mag,324.0,4.6,31.0,222.0,33.0,24.0,70.0,45.0,154.0,3.6,1520.0,182.0,167.0,6.7,133.0,148.0,8.8,279.0,369.0,217.0,39.0,261.0,203.0,779.0,332.0,6.6,7.7,531.0,36.0,10.0,1.9,2.7,785.0,248.0,374.0,215.0,1020.0,154.0,447.0,388.0,177.0,97.0,1410.0,141.0,272.0,184.0,263.0,625.0,1.42,191.0,268.0,698.0,991.0,15.7,139.0,0.85,None,33.0,545.0,1060.0,61.0,None
SP_Tim,147,155,122,160,211,118,198,131,207,189,151,156,85,133,175,187,211,None,0,176,185,161,173,196,215,192,182,170,176,209,158,158,179,178,180,146,177,167,118,221,197,203,159,98,219,152,177,190,232,151,158,153,175,201,88,187,None,163,147,176,161,None
SP_Dur,18,86,93,22,19,22,16,34,57,36,70,41,188,62,18,23,25,None,None,57,143,98,49,51,55,46,54,56,42,23,85,62,15,16,16,118,29,11,20,53,63,16,80,158,13,14,59,64,113,9,64,65,42,90,35,34,None,22,62,13,38,None
SP_ROC,0.12043356081894824,0.2222222222222223,0.18181818181818185,0.14614121510673228,0.2523809523809524,0.11111111111111108,0.27472527472527475,0.15250965250965248,0.07417582417582418,0.07878411910669982,0.125,0.1111111111111112,0.12820512820512817,0.12857142857142853,0.3333333333333333,0.09999999999999994,0.09756097560975598,None,None,0.10526315789473684,0.07692307692307698,0.08333333333333337,0.07950157950157957,0.08847826086956523,0.05090595340811044,0.07106812447434813,0.06797235023041473,0.11428571428571425,0.09999999999999998,0.21428571428571416,0.11764705882352951,0.08012820512820511,0.19579081632653067,0.1333333333333333,0.08012820512820512,0.0869565217391305,0.07692307692307693,0.07774914089347076,0.07334525939177103,0.04800307219662058,0.040816326530612276,0.05660377358490563,0.09523809523809532,0.07746478873239428,0.29956726986624704,0.07753413072369218,0.10977701543739274,0.11675126903553304,0.14285714285714296,0.11926203105939118,0.11428571428571424,0.14101057579318452,0.05882352941176473,0.08571428571428563,0.05000000000000014,0.23076923076923075,None,0.22222222222222213,0.10377418392162094,0.12745098039215685,0.08176100628930824,None
DS_Mag_50,0.7,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.19,0.2,2.4,0.52,0.4,0.32,0.35,1.6,None,None,0.13,1.45,1.8,1.45,0.92,0.76,8.7,2.0,1.3,2.0,0.49,0.14,0.08,0.06,0.08,0.07,1.0,0.64,2.1,2.0,2.6,7.75,2.8,1.7,0.99,0.22,0.31,0.35,0.54,0.23,0.84,0.15,0.02,0.06,1.02,0.58,0.0,None,None,0.0,0.0,0.0,None,None
DS_Mag_90,1.9,0.2,0.9,0.4,0.3,0.6,0.1,0.2,0.23,1.3900000000000003,6.680000000000001,1.9,0.7,1.5,3.4,4.7600000000000025,None,None,0.21,5.6,3.2,2.95,7.5,3.6000000000000005,18.299999999999997,2.5,4.230000000000001,3.1,1.4,0.37,0.12,0.12900000000000034,1.1,0.16,3.3,1.9,12.0,6.129999999999997,23.0,12.5,4.8,3.6,1.35,1.81,1.88,1.3120000000000003,1.7399999999999998,1.245,1.138,1.5010000000000003,1.2,1.472,6.262,1.6159999999999999,1.375,None,None,0.0,0.84,1.4009999999999998,None,None
DS_Tim,165,241,215,182,230,140,214,165,264,225,221,197,273,195,193,210,236,230,315,233,328,259,222,247,270,238,236,226,218,232,243,220,194,194,196,264,206,178,138,274,260,219,239,256,232,166,236,254,345,160,222,218,217,291,123,221,None,185,209,189,199,None
DS_Dur_WS,292,162,271,297,174,299,190,255,133,242,237,217,144,267,251,268,None,None,129,226,119,216,292,195,128,145,248,265,207,145,145,292,294,257,278,194,273,250,320,186,211,242,161,172,248,279,215,126,113,330,243,230,175,123,276,None,None,273,312,280,None,None
