Year, 1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,25.002285148081647,None,7.1467050021663034,44.99381539218278,9.43055241699396,13.99243357732394,9.968792744646276,2.050791499039338,21.977863392334623,31.987800759725772,15.997889771374092,None,1.8346046374000209,32.99993283481513,27.99998225033441,14.006414824941112,11.980248822154783,None,12.940921183759272,3.7487415749054454,None,1.5995140366471887,41.992410713094195,10.995432423494556,4.598281176628396,None,None,None,None,None,None,None,65.18383605626865,47.59738153668937,16.888691267350413,25.709528769649758,None,None,6.335310593989608,4.329080417634404,114.93475605800474,20.09888771273756,16.99963339471698,4.210809459610026,8.21695394704782,None,4.267427135854078,49.79828112412461,40.5949447560825,29.05399044237043,None
FA_Tim,15,None,43,10,7,27,10,1,52,51,19,None,7,25,0,11,20,None,28,44,None,31,25,29,15,None,None,None,None,None,None,None,42,38,39,19,None,None,9,4,12,24,4,22,51,None,33,15,46,54,None
FA_Dur,3,None,5,4,2,6,5,5,17,4,7,None,2,3,5,2,4,None,2,3,None,2,5,5,6,None,None,None,None,None,None,None,3,4,4,7,None,None,2,3,8,4,3,5,7,None,4,7,3,4,None
Wet_BFL_Mag_10,8.520000000000001,14.0,3.4,20.0,30.0,7.299999999999999,2.9,0.825,25.700000000000003,6.88,24.0,9.0,48.0,17.0,52.0,9.58,23.8,7.76,4.5,5.580000000000001,3.8,3.91,1.27,41.5,4.25,None,None,None,None,None,None,None,18.080000000000002,11.719999999999999,7.662000000000001,20.37,None,None,8.04,4.57,16.31000000000001,11.0,8.315,4.779999999999999,1.3610000000000002,5.537000000000001,5.826,27.19,6.611000000000001,15.059999999999999,None
Wet_BFL_Mag_50,60.0,31.5,9.5,109.0,70.5,49.5,4.0,1.7,64.0,34.0,71.5,24.0,94.5,152.5,118.0,22.0,128.0,18.0,18.0,13.0,8.1,24.5,61.0,81.0,18.5,None,None,None,None,None,None,None,33.150000000000006,22.2,27.8,82.65,None,None,37.9,68.8,45.9,42.5,63.35,29.2,3.615,14.8,29.1,128.5,12.7,79.9,None
Wet_Tim,65,51,53,31,32,83,18,61,72,95,77,110,74,75,37,25,117,110,39,76,13,146,120,85,110,None,None,None,None,None,None,None,50,65,58,80,None,None,89,125,99,63,153,51,117,57,65,65,92,93,None
Wet_BFL_Dur,93,130,79,144,154,108,179,166,128,87,84,66,122,140,54,157,53,67,86,97,231,34,58,96,36,None,None,None,None,None,None,None,128,153,94,114,None,None,61,33,98,115,46,37,70,78,103,128,100,144,None
Peak_2,1840.0,722.0,244.0,1800.0,2030.0,532.0,27.0,24.0,1070.0,562.0,1410.0,500.0,4120.0,1400.0,1140.0,1200.0,2250.0,1100.0,549.0,379.0,227.0,948.0,1970.0,2220.0,364.0,None,None,None,None,None,None,None,675.0,816.0,825.0,579.0,None,None,1320.0,1020.0,1200.0,1140.0,829.0,1730.0,62.0,1440.0,741.0,1750.0,705.0,1090.0,None
Peak_5,1840.0,722.0,244.0,1800.0,2030.0,532.0,27.0,24.0,1070.0,562.0,1410.0,500.0,4120.0,1400.0,1140.0,1200.0,2250.0,1100.0,549.0,379.0,227.0,948.0,1970.0,2220.0,364.0,None,None,None,None,None,None,None,675.0,816.0,825.0,579.0,None,None,1320.0,1020.0,1200.0,1140.0,829.0,1730.0,62.0,1440.0,741.0,1750.0,705.0,1090.0,None
Peak_10,1840.0,722.0,244.0,1800.0,2030.0,532.0,27.0,24.0,1070.0,562.0,1410.0,500.0,4120.0,1400.0,1140.0,1200.0,2250.0,1100.0,549.0,379.0,227.0,948.0,1970.0,2220.0,364.0,None,None,None,None,None,None,None,675.0,816.0,825.0,579.0,None,None,1320.0,1020.0,1200.0,1140.0,829.0,1730.0,62.0,1440.0,741.0,1750.0,705.0,1090.0,None
Peak_Dur_2,3,None,None,4,4,None,None,None,1,None,2,None,8,9,1,1,6,1,None,None,None,1,1,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1,1,2,None,2,None,1,None,6,None,1,None
Peak_Dur_5,1,None,None,2,1,None,None,None,None,None,None,None,4,None,None,None,2,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,None
Peak_Dur_10,None,None,None,None,1,None,None,None,None,None,None,None,1,None,None,None,1,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_2,3,None,None,3,4,None,None,None,1,None,2,None,6,7,1,1,4,1,None,None,None,1,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1,1,2,None,2,None,1,None,4,None,1,None
Peak_Fre_5,1,None,None,2,1,None,None,None,None,None,None,None,2,None,None,None,2,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,2,None,None,None
Peak_Fre_10,None,None,None,None,1,None,None,None,None,None,None,None,1,None,None,None,1,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SP_Mag,493.0,116.0,165.0,161.0,2030.0,90.0,9.5,2.8,220.0,336.0,201.0,260.0,1250.0,320.0,576.0,188.0,935.0,77.0,36.0,234.0,19.0,722.0,145.0,122.0,364.0,None,None,None,None,None,None,None,76.4,119.0,462.0,169.0,None,None,249.0,344.0,281.0,1140.0,829.0,689.0,40.6,302.0,693.0,233.0,705.0,109.0,None
SP_Tim,158,181,132,175,186,191,197,227,200,182,161,176,196,215,91,182,170,177,125,173,244,180,178,181,146,None,None,None,None,None,None,None,178,218,152,194,None,None,150,158,197,178,199,88,187,135,168,193,192,237,None
SP_Dur,32,48,49,43,130,58,149,67,40,30,121,42,29,43,174,44,35,27,120,28,37,19,28,75,117,None,None,None,None,None,None,None,66,32,41,23,None,None,30,114,41,40,37,189,67,28,52,54,33,30,None
