Year, 1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,3.2562516468443015,1.201139706447153,10.985237385627334,9.24963013247914,None,None,2.848050366974848,None,None,None,None,None,2.927760246762559,11.993337673308902,1.6989644975510994,1.0275669153167755,10.867662083721447,None,2.760583363796976,6.494682375497731,None,None,None,24.93192685900953,None,1.1623158492017132,None,5.660486560021506,None,None,8.454452383578664,None,None,None,None,None,None,1.3675523288878255,2.111319784122839,None,None
FA_Tim,None,24,64,43,25,None,None,62,None,None,None,None,None,25,69,71,36,72,None,56,60,None,None,None,38,None,25,None,72,None,None,12,None,None,None,None,None,None,15,46,None,None
FA_Dur,None,1,7,5,5,None,None,5,None,None,None,None,None,9,5,8,12,4,None,5,4,None,None,None,12,None,1,None,7,None,None,4,None,None,None,None,None,None,5,15,None,None
Wet_BFL_Mag_10,0.685,1.1400000000000003,0.269,4.23,2.8,2.2,0.53,0.7330000000000002,0.23,0.01,0.27,0.01,0.0,0.0010000000000000054,2.44,0.0,2.6,3.8,0.13,6.3,2.4,0.21600000000000003,0.08,0.371,0.77,0.42,1.439,3.49,0.18,0.07700000000000001,0.128,0.29,1.473,0.12,0.027000000000000003,0.0,0.008000000000000007,0.05,1.374,0.15,1.4620000000000002,None
Wet_BFL_Mag_50,4.1,5.0,0.75,8.850000000000001,13.0,3.9,1.2,8.0,0.74,0.16,0.705,0.04,0.02,2.2,7.0,0.39,7.5,12.0,8.2,15.0,7.4,5.1,1.1,2.795,1.49,1.78,4.994999999999999,13.4,0.61,2.12,2.755,3.325,3.9349999999999996,2.68,2.3200000000000003,0.07,0.75,1.76,16.0,0.74,6.755,None
Wet_Tim,94,77,107,73,75,36,26,115,109,68,133,77,143,119,85,106,90,102,43,95,102,98,99,49,58,79,83,74,122,72,127,97,74,154,51,111,55,74,87,141,93,None
Wet_BFL_Dur,88,83,68,112,138,135,155,50,66,44,76,169,37,52,95,38,87,65,78,94,91,65,81,128,160,73,94,127,31,78,30,100,104,45,38,75,79,94,59,51,88,None
Peak_2,120.0,179.0,20.0,445.0,275.0,72.0,80.0,385.0,58.0,10.0,12.0,1.9,30.0,32.0,315.0,19.0,172.0,116.0,270.0,369.0,149.0,200.0,30.0,71.9,101.0,97.5,115.0,320.0,32.2,55.1,31.8,59.5,138.0,107.0,106.0,6.68,55.4,170.0,355.0,86.0,162.0,None
Peak_5,120.0,179.0,20.0,445.0,275.0,72.0,80.0,385.0,58.0,10.0,12.0,1.9,30.0,32.0,315.0,19.0,172.0,116.0,270.0,369.0,149.0,200.0,30.0,71.9,101.0,97.5,115.0,320.0,32.2,55.1,31.8,59.5,138.0,107.0,106.0,6.68,55.4,170.0,355.0,86.0,162.0,None
Peak_10,120.0,179.0,20.0,445.0,275.0,72.0,80.0,385.0,58.0,10.0,12.0,1.9,30.0,32.0,315.0,19.0,172.0,116.0,270.0,369.0,149.0,200.0,30.0,71.9,101.0,97.5,115.0,320.0,32.2,55.1,31.8,59.5,138.0,107.0,106.0,6.68,55.4,170.0,355.0,86.0,162.0,None
