Year, 1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
FA_Mag,8.854970350401766,3.19909569087056,1.7672408633793308,1.2378523009354176,7.776605881317063,1.6012127952811162,1.6073915766399178,14.00893433647858,None,1.1141567948941067,2.5837340311745534
FA_Tim,8,0,34,50,24,11,6,24,None,9,19
FA_Dur,2,1,3,3,5,3,4,4,None,5,4
Wet_BFL_Mag_10,None,None,1.7,0.517,0.56,0.8,4.85,3.56,2.2,0.38,1.58
Wet_BFL_Mag_50,None,None,8.65,2.7,5.15,1.45,9.9,22.0,4.0,1.2,13.0
Wet_Tim,None,None,69,90,60,101,70,74,25,30,90
Wet_BFL_Dur,None,None,132,118,100,78,126,135,147,151,79
Peak_2,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
Peak_5,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0
Peak_10,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0,554.0
Peak_Dur_2,None,None,3,None,2,None,9,3,1,None,8
Peak_Dur_5,None,None,None,None,1,None,2,None,None,None,2
Peak_Dur_10,None,None,None,None,None,None,1,None,None,None,1
Peak_Fre_2,None,None,3,None,2,None,7,3,1,None,3
Peak_Fre_5,None,None,None,None,1,None,2,None,None,None,1
Peak_Fre_10,None,None,None,None,None,None,1,None,None,None,1
SP_Mag,1.6,6.6,52.0,4.8,57.0,29.0,150.0,32.0,17.0,18.0,167.0
SP_Tim,196,170,201,208,160,179,196,209,172,181,169
SP_Dur,146,18,34,14,79,52,26,32,47,137,21
SP_ROC,0.1666666666666666,0.2739130434782609,0.09677419354838718,0.15025641025641023,0.09000000000000004,0.09090909090909098,0.11764705882352938,0.11940298507462684,0.0871212121212121,0.18181818181818185,0.09523809523809523
DS_Mag_50,None,0.12,0.18,0.16,0.28,0.2,0.715,0.505,0.09,0.23,0.385
DS_Mag_90,None,0.23000000000000004,0.43,0.6440000000000003,0.8,2.119999999999999,2.5,1.6099999999999997,0.43400000000000005,2.319999999999999,2.75
DS_Tim,342,188,235,222,239,231,222,241,219,318,190
DS_Dur_WS,None,247,221,204,228,205,218,150,177,138,266
