Year, 1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965
FA_Mag,None,2.5815912115716215,1.8898267292105426,None,None,3.08235950698385,None,None,None,18.993828896653,2029.6536594309723,12.986534224349725,3.794452997435284
FA_Tim,None,44,46,None,None,15,None,None,None,62,12,36,29
FA_Dur,None,5,1,None,None,10,None,None,None,5,4,3,3
Wet_BFL_Mag_10,3.8,1.1,0.8,10.370000000000003,1.08,16.0,1.5,1.1800000000000002,0.4,0.6699999999999999,None,2.04,5.3
Wet_BFL_Mag_50,8.5,2.0,2.5,37.5,2.7,70.0,4.0,7.9,0.8,20.0,None,2.3,14.0
Wet_Tim,53,89,85,71,87,112,87,111,32,122,None,98,73
Wet_BFL_Dur,159,124,68,78,149,75,57,23,217,38,None,18,121
Peak_2,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0
Peak_5,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017,1628.4000000000017
Peak_10,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005,2556.0000000000005
Peak_Dur_2,1,None,None,6,None,9,None,1,None,1,3,None,4
Peak_Dur_5,None,None,None,1,None,1,None,None,None,None,2,None,None
Peak_Dur_10,None,None,None,1,None,None,None,None,None,None,1,None,None
Peak_Fre_2,1,None,None,4,None,6,None,1,None,1,2,None,2
Peak_Fre_5,None,None,None,1,None,1,None,None,None,None,2,None,None
Peak_Fre_10,None,None,None,1,None,None,None,None,None,None,1,None,None
SP_Mag,17.0,5.5,64.0,192.0,29.0,2100.0,35.0,543.0,0.7,190.0,130.0,410.0,196.0
SP_Tim,212,213,153,149,236,187,144,134,249,160,200,116,194
SP_Dur,62,124,38,36,72,33,161,161,31,19,36,15,27
SP_ROC,0.07549857549857555,0.33333333333333326,0.11111111111111108,0.07491987179487176,0.09999999999999998,0.1111111111111111,0.1250000000000001,0.1724137931034483,0.29166666666666663,0.1234567901234568,0.09999999999999998,0.0645604395604395,0.0690737833594977
DS_Mag_50,0.7,0.0,0.0,1.3,0.5,1.6,0.3,0.0,0.0,None,2.1,1.1,1.8
DS_Mag_90,1.3,0.9700000000000003,0.8,7.390000000000003,6.0,10.0,1.0,0.1,0.7,None,6.690000000000003,3.6600000000000024,4.060000000000002
DS_Tim,274,337,191,185,308,220,305,295,280,179,236,131,221
DS_Dur_WS,181,114,246,268,170,233,172,103,208,None,228,308,218
