Year, 1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963
FA_Mag,172.99595373583023,125.99021386165977,268.9880820734494,43.99577906590611,None,1069.9984296631683,46.01557819177353,203.96106589154223,120.99752824762726,120.99598999889804,None,95.99271487969385,219.0026664703987,105.99565672325039,85.99305171766288,798.9769706759334,547.9967259740309,714.0048061877962,None,None,71.99889927014249,None,550.9757326327725
FA_Tim,23,26,47,20,None,29,22,9,2,39,None,1,44,17,6,50,29,9,None,None,6,None,9
FA_Dur,8,3,5,4,None,6,9,5,4,8,None,7,8,5,10,5,2,2,None,None,4,None,3
Wet_BFL_Mag_10,748.7,300.4,126.2,92.0,121.60000000000001,266.0,62.0,112.4,448.4000000000002,78.0,223.4,237.4,317.0,169.60000000000002,133.60000000000002,223.0,290.0,561.5,103.60000000000002,196.0,111.00000000000001,115.0,229.0
Wet_BFL_Mag_50,1535.0,637.0,360.0,154.0,269.0,411.0,134.0,303.0,857.0,395.0,516.0,789.0,510.0,838.0,200.5,1380.0,520.0,1705.0,453.0,382.5,344.0,213.0,646.0
Wet_Tim,72,56,65,83,26,38,45,75,138,95,21,37,57,76,34,62,133,72,83,108,39,50,117
Wet_BFL_Dur,148,184,182,181,204,149,209,183,59,99,199,187,199,137,174,86,101,116,102,134,132,111,83
Peak_2,15100.0,9010.0,2330.0,2350.0,3240.0,8350.0,2640.0,3690.0,6150.0,1470.0,3530.0,5160.0,4630.0,6170.0,2970.0,14500.0,9240.0,14100.0,6500.0,5170.0,3770.0,6660.0,6210.0
Peak_5,15100.0,9010.0,2330.0,2350.0,3240.0,8350.0,2640.0,3690.0,6150.0,1470.0,3530.0,5160.0,4630.0,6170.0,2970.0,14500.0,9240.0,14100.0,6500.0,5170.0,3770.0,6660.0,6210.0
Peak_10,15100.0,9010.0,2330.0,2350.0,3240.0,8350.0,2640.0,3690.0,6150.0,1470.0,3530.0,5160.0,4630.0,6170.0,2970.0,14500.0,9240.0,14100.0,6500.0,5170.0,3770.0,6660.0,6210.0
Peak_Dur_2,18,5,None,None,None,2,None,None,2,None,None,None,None,1,None,10,1,15,1,1,None,1,2
Peak_Dur_5,3,1,None,None,None,None,None,None,None,None,None,None,None,None,None,3,1,4,None,None,None,None,None
Peak_Dur_10,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,1,None,None,None,None,None
Peak_Fre_2,9,3,None,None,None,1,None,None,1,None,None,None,None,1,None,4,1,9,1,1,None,1,1
Peak_Fre_5,3,1,None,None,None,None,None,None,None,None,None,None,None,None,None,2,1,3,None,None,None,None,None
Peak_Fre_10,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,1,None,None,None,None,None
SP_Mag,1270.0,1180.0,298.0,107.0,310.0,634.0,749.0,601.0,857.0,752.0,1330.0,1040.0,480.0,1250.0,1200.0,7380.0,2180.0,5060.0,753.0,700.0,2500.0,2810.0,6110.0
SP_Tim,220,240,247,264,230,187,254,258,197,194,220,224,256,213,208,148,234,188,185,242,171,161,200
SP_Dur,61,46,49,35,59,73,39,54,39,53,54,39,39,31,63,47,48,51,76,39,102,89,30
SP_ROC,0.03977272727272727,0.04096257877418995,0.045454545454545456,0.05263157894736842,0.046536796536796536,0.033707865168539325,0.05,0.045081967213114756,0.05307269336046314,0.0402046783625731,0.0425531914893617,0.040610183467326325,0.038838612368024134,0.03453654188948307,0.04854368932038835,0.0326975476839237,0.04699770942408377,0.04020100502512563,0.031578947368421054,0.046052631578947366,0.03731343283582089,0.029411764705882353,0.055336649293374764
DS_Mag_50,64.0,51.0,30.0,16.0,21.0,28.0,35.5,60.0,38.0,20.0,31.0,43.5,58.0,51.0,27.0,52.0,89.0,53.0,39.0,35.0,36.0,75.0,126.0
DS_Mag_90,103.0,108.19999999999999,53.60000000000002,24.799999999999997,40.60000000000001,51.0,107.60000000000002,113.80000000000001,102.99999999999997,66.20000000000002,53.60000000000001,142.59999999999997,219.0,165.0,78.80000000000001,394.49999999999994,389.5,206.0,57.0,51.7,51.0,280.6,1330.0000000000027
DS_Tim,281,286,296,299,289,260,293,312,236,247,274,263,295,244,271,195,282,239,261,281,273,250,230
DS_Dur_WS,141,145,153,93,115,151,148,192,225,140,129,160,147,156,157,304,156,210,213,124,143,233,253
