1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
5.0,1.6,0.8,0.1,0.6,0.4,0.2,0.8,0.1,0.2,1.4,0.1,1.5,2.4,0.3,0.7,8.9,1.6,2.0,0.2,0.4,0.4,1.1,0.2,1.8,0.5,1.6,0.38,0.88,0.41,1.0,1.5,1.6,1.0,0.92,1.4,3.4,2.0,0.54
5.0,1.5,0.8,0.1,0.6,0.4,0.2,0.8,0.1,0.2,2.8,0.1,1.5,2.4,0.4,0.7,5.9,1.6,2.0,0.2,0.5,0.4,0.9,0.2,1.8,0.7,11.0,0.38,0.78,0.5,1.0,1.5,1.6,1.1,0.97,1.7,2.4,2.0,0.56
5.0,1.5,0.8,0.1,0.6,0.5,0.2,1.2,0.1,0.2,1.6,0.1,1.5,2.4,0.5,0.6,4.1,1.6,2.0,0.4,0.5,0.4,0.9,0.2,1.9,0.6,15.0,0.42,0.78,0.5,0.87,1.2,1.6,1.3,1.1,1.5,1.7,2.0,0.6
5.0,1.4,0.8,0.1,0.6,0.6,0.2,1.2,0.1,0.2,1.4,0.1,1.5,2.4,0.6,0.6,3.6,1.6,2.0,0.4,0.4,0.4,0.9,0.2,1.9,0.8,4.3,0.42,0.78,0.52,0.95,1.2,1.6,1.4,1.0,1.2,1.3,1.9,0.6
5.0,1.4,0.8,0.1,0.7,0.5,0.2,1.2,0.1,0.2,0.9,0.2,1.5,2.4,0.5,0.6,8.1,1.6,2.0,0.9,0.5,0.4,1.1,0.2,2.2,0.8,6.0,0.42,0.78,0.52,0.95,1.0,1.6,1.5,1.0,1.1,1.2,1.9,0.6
5.0,1.4,0.8,0.1,0.8,0.5,0.2,1.1,0.1,0.3,0.9,0.2,1.5,3.0,0.4,0.7,8.1,1.6,2.2,1.6,0.4,0.2,1.7,0.1,2.2,0.9,4.3,0.42,0.88,0.54,0.87,1.0,1.9,1.6,1.1,1.0,1.1,1.9,0.6
5.0,1.5,1.0,0.2,0.8,0.5,0.3,1.0,0.1,0.4,0.9,0.3,1.4,12.0,0.4,1.0,5.3,2.3,2.2,1.3,0.4,0.2,2.5,0.1,2.2,0.9,3.4,0.42,1.0,0.56,0.8,1.0,2.8,1.6,1.3,0.96,1.0,2.0,0.6
5.0,1.5,1.2,0.2,0.8,0.5,0.5,1.0,0.1,0.4,0.9,0.4,1.3,8.9,0.4,1.0,4.1,1.6,2.2,1.0,0.4,0.2,2.8,0.1,2.2,1.0,3.7,0.36,1.0,0.56,0.8,1.0,3.3,1.7,1.2,0.9,0.99,2.0,0.69
5.0,1.5,1.1,0.2,0.8,0.5,2.3,1.1,0.1,0.3,0.7,0.6,1.4,6.6,0.5,1.1,664.0,1.3,2.2,0.7,0.4,0.4,7.6,0.1,2.1,0.9,3.7,0.36,1.1,0.56,0.87,1.5,2.9,1.7,19.0,0.93,0.98,2.1,1.3
5.0,2.1,1.1,0.2,1.0,0.5,12.0,1.1,0.1,0.3,1.6,0.6,1.7,5.4,0.9,1.1,422.0,1.3,2.2,0.6,0.4,4.4,19.0,0.1,2.1,0.9,3.7,0.36,1.1,0.58,0.87,1.9,2.6,1.7,59.0,0.85,0.97,2.1,0.95
5.0,4.7,1.0,0.3,1.3,0.4,9.4,1.2,0.1,0.3,1.9,0.6,2.0,4.7,1.2,1.3,154.0,1.3,2.2,0.6,0.6,198.0,37.0,0.1,2.1,0.9,3.4,1.5,1.1,0.58,0.87,12.0,2.3,1.6,25.0,0.82,0.9,2.0,0.87
