Year, 1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
FA_Mag,None,404.9902794086564,6.50054022868929,118.99610153113433,689.9808380035446,None,259.9686149336417,9.919574649832477,14.050619357467582,None,None,None,783.965447628318,11.998996924333948,None,129.97401326418773,663.9966389564621,None,9.389771669445027,1.5826390866129016,None,None,36.99439772722404,113.99721728250894,None,None,14.92030097840978,9.997598841190372,32.99085941356561,208.98372357481796,26.989232660080756,32.00914782615857,None,12.94545201081673,59.005647203511366,6.697544649172327,3.388103333506714,11.038160316507843,88.95677464375655
FA_Tim,None,47,26,34,30,None,15,32,40,None,None,None,44,6,None,29,8,None,69,5,None,None,10,32,None,None,2,12,14,35,43,11,None,26,9,41,0,50,22
FA_Dur,None,5,3,2,8,None,2,5,10,None,None,None,4,8,None,7,5,None,3,4,None,None,8,2,None,None,1,4,4,3,6,6,None,9,2,5,5,2,3
Wet_BFL_Mag_10,76.60000000000001,42.5,44.0,41.4,34.400000000000006,10.0,23.0,45.0,52.0,31.500000000000007,64.0,40.0,81.80000000000001,25.6,45.0,19.700000000000003,160.2,4.4,69.0,34.6,26.6,15.0,44.5,42.0,42.60000000000001,19.0,22.8,91.6,123.0,37.0,21.0,54.400000000000006,148.6,124.70000000000005,8.51,4.2,109.00000000000001,30.8,63.6
Wet_BFL_Mag_50,211.0,160.5,124.0,98.0,225.0,34.0,68.0,207.5,136.5,235.5,337.0,160.0,285.0,66.0,565.0,74.0,632.0,204.0,278.5,172.0,108.0,90.0,59.0,125.0,170.0,215.0,135.0,633.0,414.0,209.0,73.0,388.0,380.0,398.0,16.0,6.3,371.0,112.0,247.0
Wet_Tim,55,69,86,53,38,46,75,107,95,21,46,56,95,34,59,97,72,83,109,48,51,6,30,70,38,39,56,65,67,49,60,61,31,116,36,82,68,93,76
Wet_BFL_Dur,185,96,73,123,53,139,141,58,98,142,127,157,95,177,89,138,115,59,76,123,109,193,86,131,159,169,115,89,91,131,139,113,153,60,162,144,123,89,69
Peak_2,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0,4920.0
Peak_5,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001,6912.000000000001
Peak_10,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0,8942.0
Peak_Dur_2,1,1,None,None,1,None,None,None,None,1,None,None,2,None,4,None,1,1,1,None,1,1,None,4,2,1,None,1,4,None,None,1,1,None,None,None,1,None,1
Peak_Dur_5,None,1,None,None,None,None,None,None,None,1,None,None,2,None,2,None,1,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None
Peak_Dur_10,None,1,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None
Peak_Fre_2,1,1,None,None,1,None,None,None,None,1,None,None,1,None,2,None,1,1,1,None,1,1,None,2,1,1,None,1,3,None,None,1,1,None,None,None,1,None,1
Peak_Fre_5,None,1,None,None,None,None,None,None,None,1,None,None,1,None,2,None,1,None,None,None,None,1,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None
Peak_Fre_10,None,1,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None
SP_Mag,280.0,593.0,2730.0,580.0,6740.0,228.0,943.0,3050.0,195.0,477.0,1030.0,335.0,1710.0,521.0,4390.0,416.0,3350.0,5480.0,518.0,1080.0,1770.0,1800.0,1150.0,1490.0,170.0,530.0,956.0,1570.0,698.0,1850.0,152.0,395.0,4620.0,2320.0,279.0,9.5,648.0,796.0,4300.0
SP_Tim,240,165,159,176,91,185,216,165,193,163,173,213,190,211,148,235,187,142,185,171,160,199,116,201,197,208,171,154,158,180,199,174,184,176,198,226,191,182,145
SP_Dur,9,95,113,39,150,99,52,42,36,81,32,41,40,42,34,20,42,26,80,27,33,51,140,24,15,28,47,25,30,28,53,32,37,23,46,39,43,67,97
SP_ROC,0.05357142857142857,0.06742424242424241,0.07,0.0676706061761342,0.0625,0.08536585365853659,0.06818181818181818,0.08326923076923076,0.05668449197860963,0.06110074626865672,0.06837606837606838,0.06896551724137931,0.07091694183388367,0.058823529411764705,0.05568475452196382,0.10990338164251207,0.08620689655172414,0.09813084112149532,0.08695652173913043,0.08075761096909134,0.07326892109500804,0.05,0.06252713851498053,0.08791208791208792,0.050031269543464665,0.07634032634032634,0.05263157894736842,0.10778106092584776,0.06956521739130435,0.10431266846361187,0.058823529411764705,0.061381475667189954,0.06711711711711713,0.07435046987285793,0.06491228070175437,0.09999999999999998,0.06956521739130435,0.07692307692307693,0.06914893617021277
DS_Mag_50,4.25,2.4,0.9,2.1,0.8,1.4,4.6,2.9,0.9,1.6,4.2,4.2,4.2,1.3,4.5,8.1,3.9,3.0,0.8,1.6,1.8,4.550000000000001,1.0,2.7,1.3,3.4,3.0,5.4,3.0,2.05,1.5,2.2,6.4,5.5,1.1,0.26,3.3,3.2,4.6
DS_Mag_90,34.0,9.0,31.00000000000003,27.0,9.4,15.400000000000006,53.0,21.0,10.0,12.0,34.400000000000006,52.80000000000001,22.0,10.900000000000006,42.0,86.80000000000007,16.0,31.400000000000034,4.6,36.20000000000002,31.0,21.0,112.19999999999999,24.200000000000017,15.800000000000011,30.5,20.80000000000001,53.70000000000002,29.0,24.0,53.99999999999997,21.0,42.0,56.60000000000002,4.140000000000004,12.400000000000034,13.0,90.80000000000001,90.1
DS_Tim,249,260,272,215,241,284,268,207,229,244,205,254,230,253,182,255,229,168,265,198,193,250,256,225,212,236,218,179,188,208,252,206,221,199,244,265,234,249,242
DS_Dur_WS,186,192,147,189,171,157,205,254,158,168,217,207,170,172,281,183,220,307,149,219,179,146,180,179,193,186,213,254,227,218,175,191,261,203,204,169,225,193,200
