Year, 1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974
FA_Mag,105.99873506513377,62.00524734149428,29.99998350537213,None,21.99802811892921,1559.9922342386417,None,None,None,None,None,None,None,None,None,15.010428159264999,None
FA_Tim,9,40,8,None,10,8,None,None,None,None,None,None,None,None,None,11,None
FA_Dur,1,2,4,None,3,3,None,None,None,None,None,None,None,None,None,4,None
Wet_BFL_Mag_10,54.400000000000006,38.0,50.6,33.6,38.0,None,53.60000000000001,None,None,None,None,None,None,None,None,67.5,53.900000000000006
Wet_BFL_Mag_50,262.0,156.5,119.0,131.0,97.0,None,149.0,None,None,None,None,None,None,None,None,180.5,237.0
Wet_Tim,35,78,95,37,41,None,18,None,None,None,None,None,None,None,None,60,16
Wet_BFL_Dur,153,106,147,189,171,None,160,None,None,None,None,None,None,None,None,126,170
Peak_2,4250.0,2000.0,3040.0,1830.0,2060.0,3690.0,4840.0,None,None,None,None,None,None,None,None,1180.0,5000.0
Peak_5,4250.0,2000.0,3040.0,1830.0,2060.0,3690.0,4840.0,None,None,None,None,None,None,None,None,1180.0,5000.0
Peak_10,4250.0,2000.0,3040.0,1830.0,2060.0,3690.0,4840.0,None,None,None,None,None,None,None,None,1180.0,5000.0
Peak_Dur_2,1,None,1,None,None,1,2,None,None,None,None,None,None,None,None,None,3
Peak_Dur_5,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,1
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1
Peak_Fre_2,1,None,1,None,None,1,2,None,None,None,None,None,None,None,None,None,3
Peak_Fre_5,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,1
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1
SP_Mag,959.0,962.0,1650.0,812.0,262.0,403.0,263.0,None,None,None,None,None,None,None,None,397.0,4120.0
SP_Tim,188,184,242,226,212,222,178,None,None,None,None,None,None,None,None,186,186
SP_Dur,36,22,25,42,114,31,126,None,None,None,None,None,None,None,None,42,34
SP_ROC,0.06818181818181818,0.075,0.0773524720893142,0.07854152897113902,0.05718954248366019,0.05596868884540117,0.0625,None,None,None,None,None,None,None,None,0.07692307692307693,0.07375565610859729
DS_Mag_50,8.8,4.4,3.0,4.8,None,5.5,None,None,None,None,None,None,None,None,None,6.25,5.95
DS_Mag_90,36.099999999999994,22.599999999999994,12.5,13.200000000000003,None,18.0,None,None,None,None,None,None,None,None,None,15.0,19.900000000000006
DS_Tim,224,206,267,268,326,253,304,None,None,None,None,None,None,None,None,228,220
DS_Dur_WS,220,255,136,139,None,131,None,None,None,None,None,None,None,None,None,154,162
