1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
0.05,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.12,0.0,0.0
0.06,0.0,0.01,0.0,0.0,0.0,1.3,0.0,0.21,0.0,0.0
0.07,0.0,0.01,0.0,0.0,0.0,0.41,0.0,0.15,0.0,0.0
0.15,0.0,0.01,0.01,0.0,0.0,0.26,0.08,0.22,0.0,0.0
0.2,0.0,0.01,0.08,0.0,0.0,0.27,0.0,0.21,0.0,0.0
0.15,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.31,0.0,0.0
0.09,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.41,0.0,0.0
0.07,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.35,0.0,0.0
0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0
0.06,0.0,0.01,0.0,0.0,0.17,0.0,0.0,0.33,0.0,0.0
0.06,0.0,0.01,0.0,0.0,0.26,0.0,0.0,0.37,0.0,0.0
0.07,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.36,0.0,0.0
0.08,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0
0.09,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.33,0.02,0.0
0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0
0.11,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.32,0.0,0.0
0.11,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.35,0.0,0.0
0.12,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.39,0.0,0.0
0.12,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.24,0.0,0.0
0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.23,1.7,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.03,0.0
0.27,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.28,0.08,0.0
0.25,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.27,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.05,0.0
0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.23,0.0
0.14,0.6,0.0,0.01,0.0,0.0,0.0,0.0,0.58,0.0,0.0
0.12,0.55,0.0,0.0,0.99,0.0,0.0,0.0,0.45,0.0,0.0
0.18,0.5,0.0,0.01,0.27,0.0,0.0,0.0,0.45,0.0,0.0
0.2,0.4,0.0,0.01,0.0,0.01,0.0,0.0,0.44,0.0,0.0
0.25,0.3,0.0,0.01,0.0,0.0,0.0,0.0,0.44,0.0,0.0
0.26,0.25,0.0,0.01,0.0,0.0,0.0,0.0,0.48,0.0,0.0
0.26,0.18,0.0,0.01,0.0,0.0,0.0,0.0,0.38,0.0,0.0
0.27,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.1,0.0
0.27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
1.1,0.06,0.0,0.0,0.0,0.0,0.0,0.39,0.36,0.0,0.0
0.8,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
0.4,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.48,2.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.14,0.0
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.11,0.0
0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.01,0.0
0.22,1.0,16.0,0.0,0.0,0.0,6.5,0.0,2.0,0.0,0.0
0.16,0.5,0.02,0.0,0.0,0.0,0.78,0.0,0.63,0.02,0.0
0.1,0.4,0.02,0.0,0.0,0.0,0.17,0.0,10.0,0.02,0.0
0.08,0.3,50.0,0.0,0.0,0.0,0.07,0.0,0.58,0.0,0.0
