Year, 1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,9.991988577045237,None,5.996380895356347,15.994515746679967,1.1811730066049742,None,None,None,1.4249064023621578,None,None,39.99252894451893,22.92066144685836,4.493207406284734,None,1.2923835742306375,None,None,None,None,261.98386424022465,None,None,6.375948310806565,None,72.98710539323862,None,None,None,None,None,11.978265171538343,6.004991937764048,2.8722610635776364,None,1.2429506924245173,None,8.704281920696179,4.606230655704485,21.97315795539521,3.296984257376893,7.875792869908812,13.988040889420683,None,19.984249305001494,5.107749880992757
FA_Tim,26,None,71,41,30,None,None,None,40,None,None,45,44,64,None,33,None,None,None,None,62,None,None,40,None,66,None,None,None,None,None,44,48,28,None,0,None,52,38,64,44,39,41,None,55,48
FA_Dur,10,None,3,2,6,None,None,None,2,None,None,3,5,4,None,2,None,None,None,None,2,None,None,10,None,2,None,None,None,None,None,28,3,8,None,4,None,4,2,2,5,3,7,None,6,6
Wet_BFL_Mag_10,6.9,3.0,3.1000000000000005,2.45,1.6,0.7,0.3,0.4,0.3,0.3,3.66,2.1,1.6,1.1,0.5,1.2,5.800000000000001,2.1,1.1,0.3,1.4,3.12,1.0,0.7,3.340000000000001,1.5,0.73,13.8,1.7900000000000003,1.56,0.07,1.0790000000000002,3.7600000000000002,2.2,2.1,0.366,4.9,5.1,3.0,2.3499999999999996,1.5,24.9,4.4,1.3,1.2,1.9
Wet_BFL_Mag_50,15.0,22.5,8.75,3.2,1.95,1.7,0.6,0.7,1.2,0.6,9.6,12.0,2.4,2.1,5.55,1.9,32.0,2.7,2.6,1.0,48.0,7.2,1.7,2.3,11.0,1.6,1.5,36.0,3.4,2.3,0.08,26.5,8.8,10.0,2.55,1.1,44.0,14.0,50.5,11.0,2.7,57.0,5.2,2.1,11.0,2.3
Wet_Tim,69,102,111,103,74,31,147,71,57,69,85,72,106,84,73,84,112,121,90,27,107,117,4,73,35,102,33,102,128,50,66,97,82,57,111,77,91,92,127,140,144,105,46,25,118,130
Wet_BFL_Dur,130,88,48,76,110,151,89,93,75,145,85,36,78,131,48,150,79,21,123,94,53,94,199,121,90,17,197,89,30,117,25,78,105,119,88,147,109,91,34,36,52,100,43,157,51,30
Peak_2,1150.0,570.0,640.0,175.0,142.0,26.0,51.0,270.0,180.0,16.0,2600.0,445.0,149.0,122.0,1550.0,114.0,987.0,322.0,144.0,64.0,1670.0,399.0,20.0,264.0,681.0,1470.0,28.0,1650.0,118.0,77.0,116.0,1520.0,805.0,1540.0,124.0,19.0,2330.0,563.0,1180.0,576.0,125.0,1410.0,326.0,67.0,1140.0,171.0
Peak_5,1150.0,570.0,640.0,175.0,142.0,26.0,51.0,270.0,180.0,16.0,2600.0,445.0,149.0,122.0,1550.0,114.0,987.0,322.0,144.0,64.0,1670.0,399.0,20.0,264.0,681.0,1470.0,28.0,1650.0,118.0,77.0,116.0,1520.0,805.0,1540.0,124.0,19.0,2330.0,563.0,1180.0,576.0,125.0,1410.0,326.0,67.0,1140.0,171.0
Peak_10,1150.0,570.0,640.0,175.0,142.0,26.0,51.0,270.0,180.0,16.0,2600.0,445.0,149.0,122.0,1550.0,114.0,987.0,322.0,144.0,64.0,1670.0,399.0,20.0,264.0,681.0,1470.0,28.0,1650.0,118.0,77.0,116.0,1520.0,805.0,1540.0,124.0,19.0,2330.0,563.0,1180.0,576.0,125.0,1410.0,326.0,67.0,1140.0,171.0
Peak_Dur_2,2,2,3,None,None,None,None,None,None,None,3,1,None,None,6,None,9,1,None,None,9,3,None,None,3,1,None,9,None,None,None,4,1,3,None,None,14,1,6,1,None,14,1,None,5,None
Peak_Dur_5,None,None,None,None,None,None,None,None,None,None,2,None,None,None,2,None,None,None,None,None,2,None,None,None,None,1,None,1,None,None,None,1,None,1,None,None,3,None,1,None,None,2,None,None,None,None
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,1,None,None,None,1,None,None,None,None,None,2,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,3,None,None,None,None,None,None,None,None,None
Peak_Fre_2,2,2,2,None,None,None,None,None,None,None,2,1,None,None,2,None,8,1,None,None,4,2,None,None,3,1,None,6,None,None,None,3,1,2,None,None,7,1,2,1,None,5,1,None,3,None
Peak_Fre_5,None,None,None,None,None,None,None,None,None,None,2,None,None,None,2,None,None,None,None,None,2,None,None,None,None,1,None,1,None,None,None,1,None,1,None,None,2,None,1,None,None,2,None,None,None,None
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,1,None,None,None,1,None,None,None,None,None,2,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None
SP_Mag,94.0,41.0,185.0,52.0,142.0,10.0,0.3,270.0,180.0,2.3,2600.0,89.0,143.0,11.0,1550.0,4.1,838.0,322.0,63.0,36.0,403.0,37.0,2.0,264.0,420.0,1470.0,0.94,79.0,118.0,5.8,116.0,130.0,44.0,146.0,3.7,19.0,413.0,116.0,476.0,75.0,60.0,535.0,326.0,3.2,538.0,171.0
SP_Tim,199,190,159,179,184,182,236,164,132,214,170,108,184,215,121,234,191,142,213,121,160,211,203,194,125,119,230,191,158,167,91,175,187,176,199,224,200,183,161,176,196,205,89,182,169,160
SP_Dur,62,60,126,29,30,45,93,109,105,17,18,172,14,53,154,31,45,125,19,76,26,56,89,28,71,123,43,39,140,118,11,43,71,44,63,44,29,44,37,41,18,34,32,78,36,8
SP_ROC,0.07142857142857142,0.07142857142857145,0.06666666666666667,0.08452380952380945,0.09523809523809532,0.25000000000000006,0.5,0.14757481940144468,0.13392857142857145,0.24999999999999994,0.09166666666666667,0.10818713450292394,0.10526315789473682,0.13809523809523805,0.09999999999999998,0.16666666666666663,0.07547169811320754,0.1291666666666667,0.1250000000000001,0.1547619047619047,0.07037037037037036,0.08620689655172414,0.14285714285714282,0.10344827586206891,0.05999999999999996,0.09090909090909091,0.07999999999999996,0.06696428571428571,0.11764705882352938,0.09807692307692316,0.16666666666666663,0.06904761904761905,0.08108108108108115,0.06904761904761905,0.07692307692307698,0.1492537313432837,0.058823529411764705,0.05718954248366013,0.06904761904761905,0.06350806451612905,0.0571428571428572,0.05714285714285714,0.03797468354430389,0.06666666666666672,0.0625,0.15151515151515152
DS_Mag_50,2.6,2.2,1.8,0.5,0.2,0.1,0.1,0.1,0.1,0.1,1.8,0.4,0.3,0.2,0.6,0.1,2.4,0.2,0.1,0.0,1.6,0.9,0.1,0.2,0.7,0.72,0.04,2.4,0.13,0.06,0.06,1.4,0.86,2.2,0.34,0.06,3.4,2.5,2.0,1.2,0.55,5.4,1.25,0.15,1.3,1.1
DS_Mag_90,3.7,3.6000000000000005,2.8,1.9,1.4,0.5,0.2,0.1,0.2,0.2,8.119999999999997,1.1,2.1,0.3,1.0,0.9000000000000001,6.3,0.8,0.3,0.6,5.3,1.8,0.6,1.2,3.3,2.9,0.21,6.699999999999999,0.23000000000000004,0.09,0.8,4.71,1.6,6.0,0.92,0.10200000000000017,7.320000000000002,5.3,6.9300000000000015,2.6800000000000015,1.8000000000000003,12.0,4.9,0.8799999999999999,4.0,2.3
DS_Tim,261,250,285,208,214,227,329,273,237,231,188,280,198,268,275,265,236,267,232,197,186,267,292,222,196,242,273,230,298,285,102,218,258,220,262,268,229,227,198,217,214,239,121,260,205,168
DS_Dur_WS,207,227,184,232,183,286,108,150,198,220,250,192,252,171,175,213,251,189,161,276,297,103,147,179,272,157,195,264,118,147,361,230,165,257,181,189,229,266,308,293,257,173,270,224,291,328
