Year, 1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,None,7.46178991586734,1.237627240002994,1.5504872655310011,1.02934617057678,1.2019405367298803,2.5335955273243527,1.0148154552361404,None,None,None,1.242532352059788,1.4278572086220167,1.4005796212249644,1.350873498071461,None,None,None,1.2236308541158483,None,2.113064787691252,2.431320860556716,None,1.1077285662728131,1.1381070260752477,1.2819101810393527
FA_Tim,None,12,10,42,46,36,65,33,None,None,None,13,6,27,27,None,None,None,24,None,27,25,None,10,20,9
FA_Dur,None,4,2,9,9,2,3,3,None,None,None,3,3,3,8,None,None,None,1,None,5,5,None,3,5,5
Wet_BFL_Mag_10,0.0,2.58,0.5,1.52,0.68,2.1,1.1,2.8,1.1,1.3,0.23600000000000002,1.75,3.44,3.5,None,0.22000000000000003,2.18,2.4,1.39,0.5940000000000001,4.12,2.91,5.74,0.775,1.82,0.794
Wet_BFL_Mag_50,12.0,6.8,0.9,4.8,2.6,17.5,1.8,22.0,3.3,2.9,0.52,36.5,8.9,21.0,None,0.31,11.0,4.4,8.850000000000001,1.7,17.0,43.0,9.7,2.0,14.0,1.2
Wet_Tim,124,167,101,73,73,102,96,100,95,50,72,90,74,116,None,28,91,131,91,105,85,77,37,32,117,108
Wet_BFL_Dur,37,59,119,123,79,104,91,91,61,152,159,86,135,77,None,198,110,80,70,75,112,138,135,216,53,69
Peak_2,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0
Peak_5,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0
Peak_10,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5,369.5
Peak_Dur_2,None,None,None,4,None,5,None,3,None,1,None,9,3,1,None,None,4,None,4,1,9,23,None,None,7,None
Peak_Dur_5,None,None,None,1,None,1,None,None,None,None,None,None,None,None,None,None,None,None,2,None,3,5,None,None,4,None
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,1,None
Peak_Fre_2,None,None,None,2,None,3,None,3,None,1,None,4,2,1,None,None,2,None,1,1,4,8,None,None,2,None
Peak_Fre_5,None,None,None,1,None,1,None,None,None,None,None,None,None,None,None,None,None,None,2,None,2,4,None,None,2,None
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,1,None,None,None,1,None
SP_Mag,40.0,6.8,0.7,52.0,4.7,76.0,3.5,19.0,41.0,4.7,0.35,59.0,19.0,24.0,0.78,0.5,25.0,3.6,71.0,40.0,112.0,112.0,11.0,2.0,185.0,12.0
SP_Tim,161,226,220,196,152,206,187,191,156,202,231,176,209,193,195,226,201,211,161,180,197,215,172,248,170,177
SP_Dur,33,20,11,29,50,31,119,79,36,44,28,35,25,45,71,67,27,82,102,41,33,26,82,36,147,176
SP_ROC,0.1180555555555556,0.09545454545454549,0.25000000000000006,0.07947368421052634,0.11233019853709506,0.07968253968253969,0.13043478260869565,0.058257918552036145,0.11428571428571425,0.06666666666666672,0.22222222222222213,0.07482517482517484,0.05357142857142862,0.06904761904761911,0.09433962264150951,0.20000000000000004,0.06666666666666668,0.11764705882352944,0.08333333333333323,0.10526315789473682,0.07059800664451825,0.08333333333333333,0.04761904761904766,0.058823529411764754,0.07317073170731701,0.10526315789473681
DS_Mag_50,0.3,0.2,0.1,0.3,0.2,0.6,0.27,0.3,0.335,0.495,0.08,0.52,0.495,None,0.095,0.09,0.24,0.125,0.24,0.36,1.1,2.2,0.37,0.21,0.46,0.46
DS_Mag_90,1.2,0.5,0.4,0.9700000000000017,0.8,2.7,0.7519999999999999,0.69,0.8,0.65,2.7200000000000015,2.2,1.4,None,0.24,0.37200000000000105,1.3,0.4570000000000002,0.5030000000000001,1.1,2.7,3.4900000000000007,0.8670000000000002,0.83,1.0,0.94
DS_Tim,194,246,231,225,202,237,306,270,192,246,259,211,234,238,266,293,228,293,263,221,230,241,254,284,317,353
DS_Dur_WS,339,221,208,214,266,225,160,191,224,192,197,229,248,None,128,164,269,164,208,230,213,162,144,199,157,121
