Year, 1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,7.045530297030497,None,None,None,175.99672967143331,7.8947580165947135,15.991825095399898,8.071698494043117,3.143418841493307,None,4.996857401203788,3.529157487297393,38.98807590876551,None,None,None,None,None,None,None,None,None,None,None,None,None,7.515483490930988,119.99694510648158,None,89.99918831872856,66.99720217477253,6.895768936416826,None,None,146.99170577884064,12.703230025258543,2.895790500582822,None,11.624675334486142,6.303920732485492,None,92.84174919896991,22.59242571888955,None,None,None,None,None,8.549294533907695,12.09110497626681,91.78678848694786,None
FA_Tim,34,None,None,None,41,7,28,30,3,None,47,21,64,None,None,None,None,None,None,None,None,None,None,None,None,None,57,72,None,57,61,39,None,None,39,40,21,None,44,42,None,13,51,None,None,None,None,None,28,47,60,None
FA_Dur,7,None,None,None,2,3,7,2,2,None,4,4,10,None,None,None,None,None,None,None,None,None,None,None,None,None,3,2,None,4,5,4,None,None,4,6,2,None,4,6,None,6,3,None,None,None,None,None,5,4,2,None
Wet_BFL_Mag_10,27.6,8.550000000000011,11.0,3.2,75.4,23.0,8.3,3.3499999999999996,1.7,13.8,18.0,15.0,3.8400000000000007,None,None,None,None,None,None,None,None,None,None,None,None,None,28.700000000000003,31.6,59.10000000000001,68.4,43.400000000000006,15.0,7.300000000000001,12.46,11.79,10.120000000000001,23.69,18.72,4.997,5.128,18.229999999999997,17.380000000000003,11.76,4.711,2.692,1.9249999999999998,4.654999999999999,10.46,22.42,7.280000000000001,24.9,None
Wet_BFL_Mag_50,319.0,75.0,30.0,8.2,227.0,58.5,175.0,4.4,2.9,63.0,36.0,84.0,26.0,None,None,None,None,None,None,None,None,None,None,None,None,None,137.5,233.0,182.0,213.5,82.0,123.0,28.0,23.9,24.950000000000003,25.5,100.8,72.1,15.65,33.1,134.5,56.2,47.900000000000006,20.95,15.2,3.0149999999999997,9.45,35.6,261.0,34.2,173.0,None
Wet_Tim,100,94,50,56,93,32,114,121,80,73,96,79,106,None,None,None,None,None,None,None,None,None,None,None,None,None,89,103,43,91,103,105,112,51,65,79,80,75,121,88,126,99,74,148,49,126,59,75,81,146,94,None
Wet_BFL_Dur,55,62,149,76,83,178,79,76,149,129,87,82,69,None,None,None,None,None,None,None,None,None,None,None,None,None,88,57,78,108,93,59,95,127,154,73,114,115,32,63,32,99,104,52,39,86,76,93,65,47,67,None
Peak_2,2080.0,1440.0,1010.0,451.0,1830.0,1480.0,1640.0,24.0,48.0,1920.0,950.0,3470.0,1480.0,None,None,None,None,None,None,None,None,None,None,None,None,None,3580.0,2290.0,2410.0,3410.0,1490.0,1590.0,942.0,459.0,1280.0,1380.0,1530.0,1820.0,614.0,1080.0,1890.0,1420.0,2210.0,662.0,1030.0,192.0,904.0,1660.0,2780.0,435.0,1660.0,None
Peak_5,2080.0,1440.0,1010.0,451.0,1830.0,1480.0,1640.0,24.0,48.0,1920.0,950.0,3470.0,1480.0,None,None,None,None,None,None,None,None,None,None,None,None,None,3580.0,2290.0,2410.0,3410.0,1490.0,1590.0,942.0,459.0,1280.0,1380.0,1530.0,1820.0,614.0,1080.0,1890.0,1420.0,2210.0,662.0,1030.0,192.0,904.0,1660.0,2780.0,435.0,1660.0,None
Peak_10,2080.0,1440.0,1010.0,451.0,1830.0,1480.0,1640.0,24.0,48.0,1920.0,950.0,3470.0,1480.0,None,None,None,None,None,None,None,None,None,None,None,None,None,3580.0,2290.0,2410.0,3410.0,1490.0,1590.0,942.0,459.0,1280.0,1380.0,1530.0,1820.0,614.0,1080.0,1890.0,1420.0,2210.0,662.0,1030.0,192.0,904.0,1660.0,2780.0,435.0,1660.0,None
