Year, 1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,3.6817353006891533,26.98165633017392,None,None,5.021243791794747,None,None,None,None,353.9121181112441,1.517457646964712,1.7050471155895979,None,None,None,None,2.2473411428328722,4.790766232000032,113.98993460698938,154.99161965102016,None,None,2.492626768455189,6.04128821431688,None,6.665757648492935,1.099254072480813,None,2.896112827759647,None,None,14.99798088172863,99.99333135828662,224.94788015768273,27.999679060902707,3.0457220150846815,1.213385578208257,None,None,51.4972807726335,None,None,None,1.173031365024107,None,None,9.453145691051011,6.99893900033034,None,None,None,None,None,None,1.3987030523784918,1.6060582102992427,None
FA_Tim,36,43,None,None,65,None,None,None,None,46,8,28,None,None,None,None,57,64,43,48,None,None,21,66,None,55,57,None,26,None,None,56,72,47,57,38,50,None,None,39,None,None,None,44,None,None,13,54,None,None,None,None,None,None,47,62,None
FA_Dur,13,2,None,None,2,None,None,None,None,3,3,4,None,None,None,None,16,21,14,2,None,None,7,5,None,18,19,None,9,None,None,18,3,7,3,9,7,None,None,2,None,None,None,14,None,None,5,7,None,None,None,None,None,None,4,20,None
Wet_BFL_Mag_10,1.5,8.2,2.6,3.4,1.7,12.200000000000003,17.400000000000002,6.1,0.434,47.5,8.36,15.0,0.754,0.0,15.600000000000001,6.74,5.74,2.6400000000000006,24.9,20.0,20.200000000000003,6.0,17.3,4.2,0.30600000000000005,2.5,1.0,2.7500000000000004,2.78,29.0,1.5,17.5,69.4,24.200000000000003,36.5,18.200000000000003,5.48,3.3,3.074,0.3340000000000001,5.4559999999999995,10.850000000000001,6.54,1.0,1.136000000000001,2.442,4.399000000000001,7.195,1.3320000000000003,0.0,None,1.4249999999999998,8.379999999999999,71.88,3.6060000000000008,4.15,None
Wet_BFL_Mag_50,3.1,23.0,7.699999999999999,30.0,6.4,276.5,33.0,14.0,2.8,142.5,32.0,100.0,1.2,0.68,76.0,22.0,17.0,12.0,90.0,219.0,41.0,9.5,115.0,7.65,5.0,4.6,3.3,40.0,9.0,148.0,3.4,90.5,211.0,135.0,415.5,32.0,64.0,49.0,9.86,89.25,13.149999999999999,55.6,32.1,4.4,34.5,37.2,30.85,27.35,2.47,8.465,None,3.87,18.85,215.0,12.2,116.0,None
Wet_Tim,101,73,41,56,96,101,96,51,69,94,32,116,36,75,92,124,81,107,76,75,36,39,118,111,56,73,117,147,123,85,65,91,103,62,92,104,110,128,52,65,78,82,75,123,88,125,98,73,97,56,None,60,93,90,146,94,None
Wet_BFL_Dur,17,123,92,151,76,54,60,148,63,82,155,77,160,96,67,59,64,69,120,139,133,143,52,78,57,93,42,32,18,97,158,86,65,59,56,93,43,31,127,30,74,96,115,30,63,33,100,106,103,32,None,76,76,57,47,67,None
Peak_2,181.0,1310.0,280.0,1830.0,239.0,2190.0,939.0,569.0,66.0,1360.0,818.0,914.0,6.6,5.0,1910.0,710.0,3530.0,419.0,2930.0,3720.0,1370.0,292.0,4860.0,272.0,64.0,74.0,55.0,928.0,1220.0,2680.0,129.0,3760.0,1730.0,2540.0,4920.0,857.0,2030.0,945.0,312.0,1580.0,1260.0,705.0,1180.0,181.0,1710.0,1860.0,1200.0,1970.0,111.0,1060.0,None,439.0,1100.0,4240.0,211.0,1760.0,None
Peak_5,181.0,1310.0,280.0,1830.0,239.0,2190.0,939.0,569.0,66.0,1360.0,818.0,914.0,6.6,5.0,1910.0,710.0,3530.0,419.0,2930.0,3720.0,1370.0,292.0,4860.0,272.0,64.0,74.0,55.0,928.0,1220.0,2680.0,129.0,3760.0,1730.0,2540.0,4920.0,857.0,2030.0,945.0,312.0,1580.0,1260.0,705.0,1180.0,181.0,1710.0,1860.0,1200.0,1970.0,111.0,1060.0,None,439.0,1100.0,4240.0,211.0,1760.0,None
Peak_10,181.0,1310.0,280.0,1830.0,239.0,2190.0,939.0,569.0,66.0,1360.0,818.0,914.0,6.6,5.0,1910.0,710.0,3530.0,419.0,2930.0,3720.0,1370.0,292.0,4860.0,272.0,64.0,74.0,55.0,928.0,1220.0,2680.0,129.0,3760.0,1730.0,2540.0,4920.0,857.0,2030.0,945.0,312.0,1580.0,1260.0,705.0,1180.0,181.0,1710.0,1860.0,1200.0,1970.0,111.0,1060.0,None,439.0,1100.0,4240.0,211.0,1760.0,None
