1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.13,0.07,0.39
0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.17,0.05,0.16
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.07,0.07,0.19
0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.06,0.05,0.29
0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.06,0.05,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.06,0.07,0.16
0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.01,0.1,0.09,0.11
0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.07,0.08,0.1,0.09
0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,4.1,0.08,0.17
0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.7,0.1,0.13
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.26,13.0,0.16
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.21,2.2,0.15
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.89,0.23
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.19,0.22,0.17
0.0,0.0,0.0,0.22,0.0,0.0,0.01,0.0,0.0,0.2,0.2,0.22
0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.16,0.2,0.12
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.63,0.0,0.15,0.2,0.16
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.15,0.2,0.14
0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.14,0.2,0.15
0.0,0.0,18.0,0.0,0.0,0.0,0.01,0.0,0.0,0.12,0.2,0.15
0.0,0.0,1.5,0.0,0.0,0.0,0.01,0.0,0.0,0.13,0.19,0.08
0.0,0.0,0.15,0.0,0.0,0.0,0.01,0.0,0.31,0.13,0.31,0.03
0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.02,0.11,1.1,0.08
0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.01,0.1,0.3,0.29
0.0,0.0,0.08,0.0,0.0,0.02,0.01,0.0,0.0,0.11,0.29,0.14
0.0,0.0,0.08,0.35,0.0,3.1,0.0,0.0,0.01,0.09,0.29,0.12
0.0,0.0,0.06,0.02,0.0,0.16,0.0,0.0,0.0,0.09,0.29,0.09
0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.11,1.6,0.07
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.12,1.7,0.12
0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.1,0.29,0.14
0.0,0.0,0.03,0.0,0.0,1.6,0.01,0.0,0.0,0.1,3.3,0.24
0.0,0.0,0.02,0.0,0.0,0.02,0.01,0.0,0.0,0.07,1.5,0.11
0.0,0.0,0.02,0.0,0.0,0.73,0.01,0.0,0.0,0.07,1.2,0.17
0.0,0.0,0.3,0.02,0.0,0.26,0.01,0.0,0.0,0.08,0.52,0.17
0.0,0.0,0.4,0.0,0.0,0.01,0.01,0.0,0.0,0.21,5.0,0.17
0.0,0.0,0.15,0.0,0.0,0.12,0.01,0.0,0.0,0.21,4.3,0.18
0.0,0.0,0.1,0.0,0.0,0.03,0.01,0.0,0.0,0.21,0.75,0.17
