Year, 1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,None,2.3489375384817834,None,None,None,None,None,None,15.930693737339269,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.611688049600393,None,None,15.979571528452192,3.4021560399608184,None,None,None,None,None,None,29.49830842944273,None,None,None,None,None,None,None,None,None,None,None,None,None,1.3966828295124207,None
FA_Tim,None,None,70,None,None,None,None,None,None,62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,72,None,None,52,57,None,None,None,None,None,None,20,None,None,None,None,None,None,None,None,None,None,None,None,None,67,None
FA_Dur,None,None,3,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8,None,None,4,20,None,None,None,None,None,None,7,None,None,None,None,None,None,None,None,None,None,None,None,None,22,None
Wet_BFL_Mag_10,1.2,0.0,0.9600000000000002,0.2,0.3,21.8,0.8,0.38000000000000006,None,6.700000000000001,0.0,0.0,0.2,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.0,24.0,3.3,4.08,43.9,1.7700000000000002,1.4800000000000002,1.4,None,0.62,0.24,27.96,0.843,0.0,0.77,0.76,0.13,0.04,0.253,0.15,0.0,None,0.07100000000000001,1.027000000000001,None,2.2079999999999997,None
Wet_BFL_Mag_50,2.7,7.9,3.0,0.2,1.4,84.0,3.2,1.8,None,19.0,0.9,0.5,6.8,11.5,13.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.6,75.0,7.0,13.0,97.0,3.6,5.8,7.5,None,10.3,0.4,117.0,2.815,0.195,6.99,1.22,9.83,0.08,0.89,0.29,0.02,None,1.22,13.3,None,24.6,None
Wet_Tim,39,100,85,105,95,153,122,94,None,107,118,98,176,40,53,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,108,91,103,83,118,33,129,120,None,129,130,85,167,47,90,70,100,69,28,99,133,None,85,73,None,120,None
Wet_BFL_Dur,192,79,70,17,141,35,20,119,None,67,93,90,19,54,67,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,71,86,101,39,110,218,35,45,None,41,23,64,24,160,61,73,33,17,184,65,22,None,82,72,None,20,None
Peak_2,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,None,135.5,135.5,135.5,135.5,135.5,135.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,135.5,None,135.5,None
Peak_5,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,None,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,1172.0000000000002,None,1172.0000000000002,None
Peak_10,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,None,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,2483.9999999999995,None,2483.9999999999995,None
