2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.08,0.09,0.1,0.11,0.21,0.23,0.29,0.17,0.13,0.22,0.15,0.13,0.14
0.06,0.09,0.1,0.27,0.2,0.21,0.28,0.18,0.13,0.2,0.13,0.12,0.15
0.08,0.08,0.11,0.09,0.23,0.22,0.27,0.18,0.15,0.21,0.13,0.12,0.14
0.09,0.08,0.1,0.09,0.23,0.24,0.26,0.19,0.14,0.27,0.35,0.12,0.15
0.12,0.12,0.11,0.07,0.2,0.24,0.26,0.19,0.14,0.22,2.08,0.12,0.14
0.11,0.1,0.11,0.08,0.2,0.24,0.26,0.19,0.14,1.51,0.25,0.13,0.14
0.1,0.08,0.12,0.09,0.22,0.3,0.26,0.18,0.13,0.27,0.16,0.12,0.15
0.11,0.08,0.13,0.08,0.21,0.23,0.28,0.17,0.14,0.23,0.16,0.13,0.16
0.11,0.11,0.14,0.07,0.2,0.23,0.27,0.18,0.14,0.22,0.16,0.12,0.45
0.11,0.12,0.14,0.06,0.26,0.22,0.27,0.18,0.14,0.22,0.16,0.12,0.35
0.1,0.11,0.12,0.09,0.26,0.23,0.26,0.19,0.14,0.22,0.16,0.2,0.21
0.1,0.12,0.2,0.11,0.25,0.23,0.26,0.18,0.14,0.24,0.15,0.13,0.17
0.1,0.13,0.15,0.09,0.27,2.1,0.46,0.2,0.16,0.22,0.16,0.12,0.16
0.09,0.14,0.11,0.09,0.21,1.57,0.28,0.24,0.85,0.24,0.16,0.13,0.16
0.1,0.14,0.13,0.09,0.19,0.29,0.3,0.24,0.18,0.23,0.16,0.12,0.15
0.09,0.16,0.1,0.08,0.49,0.29,0.29,0.23,0.19,0.24,0.16,0.13,0.14
0.1,0.11,0.12,0.37,0.79,0.26,0.28,0.23,0.16,0.23,0.21,0.12,0.14
0.1,0.13,0.12,2.61,0.66,0.26,0.27,0.19,0.16,0.36,0.17,0.12,0.14
0.11,0.22,0.1,0.37,0.19,0.25,0.27,0.19,0.18,16.5,0.18,0.13,0.15
0.09,0.2,0.1,44.8,0.21,0.27,0.28,0.21,0.18,2.29,0.17,0.15,0.14
0.08,0.18,0.1,2.08,0.2,0.3,0.41,0.22,0.18,0.4,0.17,0.14,0.15
0.08,0.14,0.11,0.38,0.2,0.34,0.23,0.25,0.2,0.29,0.17,0.17,0.15
0.08,0.14,0.16,0.24,0.21,0.27,0.23,0.21,0.18,0.3,0.16,0.16,0.15
0.08,0.16,0.14,0.21,0.21,0.26,0.26,0.2,0.17,0.27,0.19,0.13,0.15
0.07,0.14,0.16,0.2,0.22,0.27,0.25,0.21,0.17,1.13,0.17,0.12,0.15
0.15,0.16,0.19,1.09,0.22,0.25,0.26,0.21,0.16,0.27,0.16,0.12,0.16
0.08,0.16,0.15,60.4,0.19,0.25,0.27,0.21,0.16,0.25,0.17,0.14,0.15
0.07,0.15,0.18,5.71,0.19,0.26,0.28,0.23,0.16,0.22,0.16,0.12,0.2
0.08,0.19,0.17,1.12,0.19,0.26,0.25,0.22,0.18,0.22,0.15,0.13,0.18
0.12,0.22,0.17,0.63,0.19,0.26,0.26,0.19,0.18,1.15,0.15,0.14,0.15
0.14,0.18,0.19,0.49,0.19,0.26,0.28,0.18,0.18,0.26,0.16,0.14,0.15
0.12,0.21,0.66,0.34,0.2,0.26,0.32,0.18,0.18,0.25,0.16,0.13,0.16
0.1,0.17,0.18,0.33,0.19,0.23,0.3,0.27,0.17,0.24,0.15,0.14,0.15
0.16,0.15,0.17,0.36,0.22,0.25,0.34,0.19,0.18,0.23,0.15,0.14,0.15
0.65,0.17,0.2,0.27,0.19,0.26,0.34,0.75,0.16,0.24,0.53,0.13,0.16
0.34,0.13,0.16,0.25,0.18,0.26,0.32,0.19,0.15,0.25,0.18,0.13,0.14
0.17,0.13,0.15,0.25,0.21,0.28,0.3,0.2,0.14,0.25,0.47,0.13,0.14
0.1,0.11,0.17,0.26,0.22,0.25,0.29,0.21,0.16,0.25,0.19,0.13,0.14
0.06,2.6,0.13,0.25,0.23,0.3,0.29,0.21,0.16,0.44,0.17,0.2,0.14
0.12,8.28,0.11,0.26,0.22,0.29,0.29,0.19,0.15,0.29,0.16,0.18,0.15
0.15,0.71,0.12,0.22,0.65,0.26,0.28,0.2,0.17,0.28,0.17,0.15,0.14
0.28,0.37,0.11,0.21,0.45,0.24,0.28,0.21,0.16,0.25,0.16,0.15,0.15
0.99,0.24,0.14,0.21,0.23,0.24,0.28,0.21,0.17,0.23,0.56,0.15,0.15
0.73,0.22,0.12,0.2,0.23,0.24,0.27,0.22,0.17,0.24,0.22,0.14,0.15
