Year, 1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FA_Mag,None,6.47422590652931,1.786687507767712,4.889009440487397,None,None,1.3631778305463595,1.068015754227096,None,1.0072833995986157,None,1.615149297416433,7.967913992398053,None,None,8.991412214606118,None,1.0896788206436998,20.989396811222395,None,2.3961762244754423,10.9713665334982,4.945380144775134,2.522340946334282,2.6284168086602553,None,None,4.599841206057382,None,None,9.835094202643266,None,2.096577075706327,None,None,None,1.1406179163779577,1.21446227098155,1.6921916647193358,None,None,None,12.606949751114522,None,None,None,None,5.9847264319928755,None,None,None,None,None,5.446618174827238,5.7294057715709314,3.8029856635050745,None,6.476698557032102,1.1796194466162166,3.804387027273673,15.992008429065695,7.357015038317178,2.331477245562718,5.782947321966174,31.999486365622346,3.148987807129833,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1388800358651934,None,1.4367453277620574,8.727141279064965,7.038507950751757,None,None,1.4697645725154567,None,None,None,5.605932449491962,None
FA_Tim,None,18,0,39,None,None,4,54,None,44,None,8,17,None,None,16,None,28,71,None,2,25,21,11,17,None,None,0,None,None,40,None,24,None,None,None,44,66,10,None,None,None,62,None,None,None,None,37,None,None,None,None,None,18,48,27,None,21,35,41,19,64,10,25,0,16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,60,None,58,50,4,None,None,31,None,None,None,59,None
FA_Dur,None,4,2,3,None,None,3,9,None,4,None,5,2,None,None,7,None,3,5,None,2,8,7,4,2,None,None,3,None,None,6,None,6,None,None,None,7,8,2,None,None,None,10,None,None,None,None,6,None,None,None,None,None,4,4,3,None,5,1,7,4,6,4,4,3,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,5,2,3,None,None,2,None,None,None,1,None
Wet_BFL_Mag_10,1.7200000000000002,1.6,9.0,3.2800000000000002,1.0,0.5,0.7,1.4100000000000001,0.6,0.6,0.6,0.7,1.2,0.7,0.6,1.3,0.5,2.98,2.3,2.0200000000000005,1.1100000000000003,2.8600000000000003,1.9,2.6000000000000005,2.2,1.7,1.2,1.8,0.8,1.05,1.2999999999999998,0.6,2.83,0.8,1.6200000000000003,0.53,0.7,1.05,1.5,0.9,0.5,0.2,0.5,None,0.3,0.5,0.6200000000000003,2.3,1.3,1.0,1.1,0.74,0.68,0.98,1.4,0.792,1.3,None,3.8,2.73,7.220000000000001,2.2,1.6,9.48,None,1.0900000000000003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.9699999999999998,1.0610000000000002,3.06,4.1739999999999995,None,0.956,0.885,0.57,0.48,1.366,0.64,1.6320000000000003,None
Wet_BFL_Mag_50,8.5,2.6500000000000004,14.0,4.6,1.3,0.9,0.9,5.0,1.1,1.8,1.8,0.9,2.1,1.1,1.2,3.2,2.4,11.0,6.75,3.7,2.9,17.0,2.6,11.0,3.8,2.6,1.9,3.0,1.1,2.55,2.2,0.9,7.2,1.6,3.7,1.55,2.2,1.85,4.6,1.2,0.9,0.4,3.4,None,0.5,0.6499999999999999,3.9,5.0,1.7,15.0,1.8,1.4,0.7,2.45,2.1,1.6,1.6,None,11.0,4.8,30.0,2.6,2.0,16.0,None,2.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.3049999999999997,1.9249999999999998,4.59,7.03,None,1.93,1.12,0.9,1.0,5.4399999999999995,0.9,9.2,None
Wet_Tim,127,100,72,54,14,12,118,120,5,52,77,32,65,97,66,63,108,80,117,62,71,110,57,103,61,26,70,19,37,78,62,32,81,17,100,16,103,89,71,86,60,12,106,None,9,165,39,53,36,100,23,48,65,35,80,54,119,None,99,71,108,103,88,106,None,17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,80,58,101,67,None,29,40,38,21,72,14,98,None
Wet_BFL_Dur,77,138,153,149,228,238,75,102,220,137,145,209,83,154,111,152,82,105,50,125,142,89,157,90,171,151,117,191,212,156,156,222,134,218,113,224,46,146,117,125,172,227,71,None,248,30,55,154,193,51,133,174,24,140,150,182,82,None,93,174,53,131,104,109,None,190,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,160,138,96,113,None,193,146,193,201,104,216,79,None
Peak_2,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,None
Peak_5,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,63.80000000000001,None
Peak_10,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,98.80000000000003,None
Peak_Dur_2,2,1,16,1,None,None,3,4,None,None,None,None,4,None,2,1,None,8,23,2,None,11,None,11,1,3,2,1,None,None,None,None,1,None,None,None,2,1,4,None,None,None,None,None,None,None,4,4,None,32,None,2,None,1,None,None,None,None,13,1,55,1,1,23,2,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,1,6,None,None,None,None,None,4,None,6,None
Peak_Dur_5,None,None,1,None,None,None,None,1,None,None,None,None,None,None,1,None,None,3,5,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,3,2,None,9,None,None,None,None,None,None,None,None,7,None,15,None,None,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,1,None,2,None
Peak_Dur_10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,2,None,6,None,None,None,None,None,None,None,None,3,None,9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None
Peak_Fre_2,2,1,4,1,None,None,1,1,None,None,None,None,2,None,1,1,None,4,1,2,None,5,None,3,1,3,1,1,None,None,None,None,1,None,None,None,1,1,4,None,None,None,None,None,None,None,2,2,None,5,None,2,None,1,None,None,None,None,4,1,2,1,1,10,2,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,1,1,None,None,None,None,None,2,None,4,None
Peak_Fre_5,None,None,1,None,None,None,None,1,None,None,None,None,None,None,1,None,None,3,2,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,2,1,None,2,None,None,None,None,None,None,None,None,3,None,3,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,1,None,2,None
Peak_Fre_10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1,1,None,2,None,None,None,None,None,None,None,None,2,None,4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2,None
SP_Mag,14.0,12.0,12.0,6.0,1.1,2.9,37.0,5.0,1.8,20.0,10.0,2.4,17.0,1.2,2.0,6.5,5.5,16.0,111.0,8.0,4.2,22.0,3.5,18.0,3.8,15.0,9.5,2.9,2.3,3.9,2.2,0.7,7.9,1.5,4.7,1.9,8.7,5.2,52.0,2.1,0.6,0.3,4.9,0.7,0.7,14.0,13.0,13.0,2.0,590.0,10.0,2.3,20.0,8.1,1.7,2.6,3.3,1.7,16.0,3.9,110.0,9.2,9.0,22.0,4.0,2.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.13,3.07,6.98,12.2,5.75,2.15,2.14,1.26,1.93,8.04,1.22,11.4,None
SP_Tim,204,238,225,203,242,250,193,222,225,189,222,241,148,251,177,215,190,185,167,187,213,199,214,193,232,177,187,210,249,234,218,254,215,235,213,240,149,235,188,211,232,239,177,257,257,195,94,207,229,151,156,222,89,175,230,236,201,240,192,245,161,234,192,215,187,207,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,240,196,197,180,199,222,186,231,222,176,230,177,None
SP_Dur,98,94,103,93,59,71,71,56,89,104,94,None,50,44,137,106,81,109,35,82,90,88,89,118,89,130,92,84,63,87,76,58,75,96,102,95,138,91,108,86,64,54,128,38,44,105,166,88,65,119,142,68,185,134,74,87,128,99,93,61,71,103,119,120,122,78,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,74,135,85,143,118,64,None,None,55,53,60,146,None
SP_ROC,0.06666666666666672,0.08893280632411066,0.04545454545454549,0.07142857142857134,0.25000000000000006,0.225,0.07692307692307696,0.0801282051282052,0.25000000000000006,0.09999999999999998,0.09523809523809532,None,0.07692307692307693,0.25000000000000006,0.25000000000000006,0.1250000000000001,0.16333333333333333,0.08514492753623182,0.07894736842105263,0.07692307692307698,0.09761904761904765,0.06458333333333333,0.11111111111111108,0.0563492063492064,0.06458333333333338,0.052631578947368356,0.06350806451612909,0.09090909090909098,0.19642857142857145,0.09090909090909098,0.1250000000000001,0.33333333333333326,0.057189542483660115,0.1547619047619047,0.07417582417582416,0.16666666666666663,0.09090909090909098,0.09999999999999995,0.052777777777777826,0.1180555555555556,0.29166666666666663,0.5,0.09090909090909098,0.29166666666666663,0.45,0.10263157894736841,0.0555555555555556,0.04347826086956519,0.08450704225352106,0.0546594982078853,0.04761904761904766,0.07142857142857134,0.06472559698366155,0.05882352941176465,0.07500000000000007,0.06379731379731385,0.09523809523809519,0.0789473684210527,0.0314980158730159,0.05882352941176463,0.06666666666666667,0.07778738115816775,0.04615384615384613,0.04257246376811588,0.08510638297872336,0.07100840336134445,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.03960396039603964,0.032967032967032996,0.03508771929824565,0.02520454597586557,0.041492500614703685,0.07340067340067347,None,None,0.08772893772893772,0.03605073246618559,0.07132486388384746,0.03607771677394918,None
DS_Mag_50,1.3,0.9,1.6,0.8,0.0,0.4,0.2,0.3,0.0,0.2,0.2,None,0.4,0.1,0.2,0.5,0.1,0.7,2.0,0.8,0.6,2.0,0.4,1.2,0.7,0.8,0.3,0.4,0.2,0.2,0.1,0.0,0.6,0.3,0.2,0.3,0.2,0.6,0.8,0.1,0.0,0.0,None,0.0,0.1,0.1,0.2,1.2,0.5,2.1,0.51,0.3,0.11,0.5,0.3,0.46499999999999997,None,0.26,1.6,1.3,2.5,0.89,1.2,None,0.62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.81,0.71,0.95,None,0.53,0.63,None,None,0.35,0.5,0.22,None,None
DS_Mag_90,1.8700000000000014,1.8,2.2,1.1700000000000004,0.1,0.7,1.2900000000000007,0.5,0.3,0.6099999999999994,0.3,None,1.9599999999999995,0.24000000000000057,0.6,0.8,0.7,1.9,7.0,1.3300000000000012,2.4800000000000013,2.9,1.1,1.6,0.8,1.1,0.6499999999999999,0.7,0.7,0.7,0.3,1.2,1.2,0.6,0.4,0.7,0.5,1.1,1.1,0.3,0.0,0.5,None,0.3,0.6,0.1,0.6,1.6,0.67,3.4200000000000004,0.825,0.78,0.4200000000000003,1.0,0.67,0.65,None,2.45,2.3,1.7,7.080000000000002,1.4,3.9,None,0.9880000000000001,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.9910000000000001,1.25,1.27,None,0.7489999999999999,0.7310000000000001,None,None,0.41,0.97,0.47,None,None
DS_Tim,302,332,328,296,301,321,264,278,314,293,316,None,198,295,314,321,271,294,202,269,303,287,303,311,321,307,279,294,312,321,294,312,290,331,315,335,287,326,296,297,296,293,305,295,301,300,260,295,294,270,298,290,274,309,304,323,329,339,285,306,232,337,311,335,309,285,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,314,331,282,323,317,286,None,None,277,229,290,323,None
DS_Dur_WS,164,106,92,84,77,163,222,93,104,150,82,None,265,137,115,153,175,189,226,168,173,136,166,116,71,129,106,109,132,107,104,135,93,135,67,134,168,111,156,129,82,179,None,80,230,105,159,107,172,119,116,141,127,137,116,162,None,126,152,168,237,117,161,None,74,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,110,136,151,None,78,120,None,None,161,151,174,None,None
