1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
3.1,2.6,3.4,3.1,4.1,5.4,2.8,5.1,3.0,4.3,3.5,8.4,6.8,4.6,5.2,5.1,4.6,5.4,4.8,2.9,4.0,3.8
2.8,2.5,2.7,3.1,4.0,5.2,2.8,6.5,2.9,4.6,3.5,8.4,6.8,4.6,5.2,5.1,7.0,4.6,4.8,2.9,4.0,4.3
3.0,2.6,3.3,2.8,3.9,5.2,2.8,6.0,2.9,4.4,3.6,9.0,6.8,4.8,5.2,5.0,5.4,4.2,4.8,2.7,4.0,4.8
2.9,2.6,4.2,2.8,3.9,5.0,3.0,5.1,3.0,4.3,3.5,9.6,6.7,4.8,5.2,5.0,5.2,4.0,4.8,2.7,4.0,4.2
2.9,2.7,3.6,2.8,3.9,5.4,2.7,5.1,3.2,4.2,3.7,10.0,6.7,4.8,5.2,5.0,5.1,3.8,4.8,2.5,4.0,4.2
3.0,2.7,3.2,3.1,3.8,5.0,2.4,5.1,3.0,4.2,3.9,10.0,6.7,4.9,5.0,5.4,5.0,3.8,4.8,2.7,4.0,4.1
3.7,2.9,3.3,3.1,3.9,4.6,2.7,5.1,3.2,4.1,4.0,11.0,6.8,6.5,5.1,5.9,5.0,3.9,4.8,2.8,4.0,6.8
4.0,3.0,6.8,3.1,4.0,4.4,2.7,4.9,3.4,4.9,4.0,9.7,6.7,6.5,5.2,5.6,5.0,3.7,4.7,3.1,4.0,5.5
3.7,3.1,12.0,5.0,4.0,4.4,2.5,4.3,3.0,4.5,4.0,9.0,7.1,6.2,5.2,5.4,4.8,3.5,4.7,3.1,3.8,6.2
3.8,3.1,26.0,3.4,3.9,4.6,2.5,4.3,3.0,4.9,4.1,8.5,9.0,5.8,5.2,6.0,4.9,3.4,4.7,3.0,3.7,20.0
3.9,4.3,22.0,7.9,4.0,4.4,2.4,4.6,3.2,4.4,3.9,8.2,9.0,5.6,5.2,6.1,5.0,3.4,4.5,3.0,3.7,10.0
4.1,5.7,50.0,4.5,3.9,4.4,2.7,4.6,6.0,4.2,3.9,7.8,8.8,5.4,5.2,5.9,5.0,3.3,4.4,3.0,4.0,7.2
3.4,3.5,41.0,3.7,3.9,4.4,2.7,4.3,5.4,4.3,3.9,7.7,9.1,5.4,5.2,6.0,5.0,3.3,4.4,3.2,4.7,6.3
3.2,3.1,28.0,3.7,3.8,5.0,2.7,4.3,4.6,4.6,4.0,7.8,8.8,5.2,5.2,5.8,4.9,3.3,4.4,4.1,5.5,5.9
3.4,2.7,22.0,3.4,4.1,5.6,3.0,4.3,4.1,4.8,3.9,7.8,8.8,5.2,5.2,5.3,5.0,3.3,4.4,7.1,5.5,5.7
3.3,2.7,18.0,3.4,4.3,5.4,3.3,4.3,4.1,6.6,4.0,7.8,8.3,5.2,5.2,4.9,5.0,3.3,4.5,4.0,5.1,5.6
3.3,2.7,18.0,3.1,4.2,5.6,3.0,4.3,3.8,5.7,4.0,7.9,8.2,5.2,5.2,4.8,5.0,3.2,4.5,3.7,4.9,5.6
3.1,2.8,20.0,3.4,4.2,5.4,2.8,4.1,3.8,4.9,4.5,7.9,7.9,5.2,5.0,4.9,5.2,3.3,4.5,7.6,4.9,5.5
3.2,2.7,22.0,3.7,4.3,5.2,3.0,4.3,3.8,4.8,4.4,8.1,7.9,5.0,5.0,4.6,5.2,3.5,4.4,16.0,4.9,5.4
2.9,3.2,22.0,3.4,4.3,5.0,3.1,4.3,5.1,5.2,5.0,8.8,7.6,5.4,5.0,4.4,5.2,3.7,4.5,9.0,4.9,5.3
2.7,3.6,21.0,3.4,4.2,4.8,3.4,5.7,3.9,5.7,5.0,8.1,7.4,5.7,5.1,6.8,5.0,3.9,4.5,6.3,4.9,5.1
2.7,3.4,22.0,3.1,4.4,4.8,5.0,5.7,3.6,5.5,5.4,7.9,7.4,6.1,5.2,7.6,4.9,4.0,4.4,5.9,4.8,4.8
2.7,3.2,19.0,4.5,4.3,4.4,4.4,5.1,3.4,5.4,6.2,8.0,7.3,6.6,5.4,5.8,4.9,4.2,4.4,7.3,4.9,4.8
2.8,3.2,18.0,5.0,4.1,4.6,3.8,4.6,3.2,5.5,5.5,7.8,7.1,6.9,5.4,5.5,5.0,4.2,4.4,7.6,4.7,4.8
2.8,3.2,17.0,4.5,4.0,4.4,3.6,4.9,3.4,4.9,5.4,7.5,7.1,7.7,5.5,8.2,5.7,4.3,4.4,15.0,4.8,4.8
3.4,3.5,16.0,4.1,4.1,4.4,3.4,4.6,3.4,4.6,5.2,8.4,7.1,7.7,5.6,11.0,5.3,4.7,4.4,11.0,5.2,4.8
3.2,6.4,15.0,4.1,4.3,4.6,3.4,4.9,3.2,4.6,5.1,7.7,7.1,7.3,5.6,7.5,5.1,4.2,4.4,8.8,5.2,4.9
3.3,4.4,14.0,3.7,4.2,5.0,3.4,8.3,3.2,4.7,5.9,6.5,7.4,7.1,6.2,6.5,5.2,4.4,4.2,7.7,5.1,7.5
3.1,3.8,13.0,5.0,6.5,5.0,3.4,4.9,4.3,4.6,5.7,7.4,7.0,7.1,6.5,6.3,4.9,4.4,4.3,6.6,5.0,6.5
3.1,3.9,13.0,4.1,5.2,4.8,3.4,4.9,5.4,4.6,5.3,8.7,6.9,7.1,6.4,8.0,4.8,4.9,4.2,6.7,4.9,6.2
3.1,3.9,13.0,4.1,4.6,4.8,3.6,4.6,4.3,4.6,5.3,8.3,8.2,6.8,6.3,6.8,4.8,5.1,4.2,6.9,4.9,6.1
2.9,3.9,12.0,3.4,4.6,4.8,3.4,4.3,4.3,4.4,5.2,8.1,8.0,7.0,6.3,6.7,4.8,5.2,4.5,6.3,4.9,6.4
2.8,3.7,11.0,3.4,5.3,4.8,3.4,4.3,7.5,4.4,5.0,7.6,7.9,6.8,6.2,7.3,4.5,5.3,4.3,6.1,4.9,6.5
3.1,3.4,11.0,3.7,4.7,4.8,3.4,4.1,6.3,4.4,5.0,7.6,9.9,6.5,6.1,8.4,4.3,5.5,4.2,7.7,4.9,6.3
2.7,3.6,10.0,5.5,4.6,5.0,3.4,4.1,5.7,4.4,5.4,8.0,14.0,6.5,6.1,8.3,4.2,5.4,4.3,8.6,4.9,6.2
3.0,3.2,12.0,6.6,4.4,5.0,3.6,4.3,5.1,7.3,9.2,7.8,9.4,6.4,6.1,8.1,4.2,5.7,4.3,8.8,4.9,6.2
4.3,3.8,10.0,8.7,4.2,5.0,4.2,4.6,4.3,5.3,7.1,7.6,8.5,6.4,6.1,7.8,3.9,5.6,4.3,8.2,4.9,6.1
4.8,3.7,10.0,5.5,4.2,4.8,4.4,4.3,4.6,4.9,6.2,7.6,8.5,7.3,6.1,9.7,3.9,5.6,4.2,7.7,5.0,6.2
3.7,3.5,9.6,12.0,4.2,5.4,4.2,4.3,8.3,4.7,9.4,7.4,8.4,9.2,6.1,7.3,3.9,5.4,4.1,7.4,5.2,6.0
3.5,3.6,15.0,24.0,4.7,5.0,4.4,5.4,16.0,4.5,30.0,7.5,7.8,11.0,6.1,6.6,4.0,6.7,4.2,7.2,5.2,5.9
3.8,3.6,14.0,9.6,4.5,5.0,5.2,5.4,10.0,4.6,12.0,7.5,8.5,13.0,6.1,7.1,4.0,6.2,3.0,7.0,5.2,5.9
7.9,3.5,13.0,6.6,4.2,5.9,6.3,5.1,8.7,4.6,11.0,8.5,8.2,14.0,6.1,7.1,4.0,6.0,4.3,6.6,4.9,5.9
4.6,2.8,13.0,6.0,4.3,7.4,7.9,4.6,14.0,4.6,10.0,8.8,7.6,26.0,6.1,6.6,4.3,6.1,5.9,6.4,4.7,8.5
4.2,3.2,13.0,7.2,4.1,7.1,7.4,4.9,11.0,4.4,8.2,8.4,8.1,23.0,6.1,6.1,5.2,7.2,7.1,6.2,4.2,14.0
3.7,4.0,12.0,12.0,4.2,9.4,6.3,5.4,9.4,4.3,7.3,7.9,8.4,19.0,5.9,6.2,5.3,6.7,6.6,6.0,4.5,22.0
3.9,3.6,12.0,13.0,4.3,7.1,6.6,4.9,9.8,4.4,6.6,7.6,8.1,16.0,5.8,10.0,4.9,7.0,8.0,6.0,4.9,22.0
4.4,3.5,12.0,7.2,4.4,6.6,10.0,4.6,8.7,4.4,6.2,7.0,8.4,16.0,5.8,11.0,4.6,7.1,6.4,6.3,4.6,42.0
6.0,3.5,12.0,6.0,4.2,7.9,7.1,3.9,9.0,4.0,5.9,7.4,7.6,16.0,5.8,9.7,4.5,6.5,4.9,8.5,4.6,30.0
11.0,3.6,12.0,6.6,4.0,8.8,6.3,7.1,18.0,4.2,5.8,7.5,7.9,15.0,5.8,9.2,4.3,5.6,4.6,6.8,4.6,21.0
4.8,3.8,12.0,6.0,3.8,6.8,9.1,6.5,19.0,4.3,5.7,7.3,8.1,14.0,5.8,9.2,4.3,6.6,4.7,7.0,4.4,16.0
4.5,4.0,14.0,5.5,3.8,6.3,14.0,5.1,16.0,4.2,5.6,7.4,7.9,13.0,5.8,9.2,4.6,6.7,5.3,10.0,4.3,15.0
4.1,4.3,14.0,5.0,3.8,5.9,9.4,4.6,14.0,4.2,5.6,7.6,8.8,13.0,6.0,8.2,4.5,7.7,5.3,10.0,4.3,15.0
4.0,4.8,14.0,5.0,3.6,5.6,7.6,4.3,19.0,4.1,6.3,7.7,9.6,12.0,6.1,7.7,4.4,8.7,5.2,8.3,4.4,20.0
4.2,4.6,13.0,4.1,3.5,5.9,4.0,4.6,16.0,4.0,9.0,7.5,9.6,12.0,6.1,6.1,4.4,9.2,5.1,6.9,5.6,30.0
5.5,4.1,13.0,5.0,3.1,5.9,3.8,4.6,14.0,4.0,27.0,8.3,9.6,12.0,6.1,5.8,4.6,10.0,4.9,7.6,5.9,40.0
5.8,4.1,12.0,4.1,3.9,6.1,3.8,4.3,13.0,4.0,29.0,7.7,9.3,11.0,6.1,5.5,3.2,11.0,4.8,7.0,5.0,25.0
5.3,4.2,17.0,4.1,2.8,5.6,3.8,4.6,11.0,3.9,19.0,12.0,12.0,11.0,5.9,5.5,4.3,12.0,4.9,7.5,4.3,20.0
4.9,3.9,18.0,5.0,2.6,6.3,3.8,5.4,10.0,3.6,15.0,11.0,12.0,11.0,6.1,5.5,4.3,12.0,6.1,7.0,4.1,17.0
4.4,3.6,16.0,5.5,2.7,7.9,4.8,5.7,10.0,3.2,13.0,9.3,10.0,11.0,5.9,5.2,4.4,13.0,6.9,6.5,4.0,15.0
3.8,3.7,15.0,5.5,3.1,8.5,14.0,5.4,9.8,3.3,12.0,9.0,9.0,11.0,5.7,7.2,4.6,14.0,15.0,7.0,3.7,18.0
3.8,3.6,17.0,5.5,5.2,8.5,13.0,5.7,9.4,3.9,11.0,8.3,9.0,12.0,5.8,6.6,4.6,15.0,8.7,7.5,3.7,13.0
4.1,4.1,17.0,5.5,9.8,8.5,11.0,5.7,9.4,4.0,11.0,7.0,9.0,12.0,5.8,8.2,3.5,13.0,7.6,6.6,3.6,12.0
3.6,4.3,30.0,5.5,7.5,8.5,10.0,5.7,9.0,4.0,10.0,8.7,9.0,11.0,5.8,7.6,3.7,12.0,5.6,12.0,4.1,13.0
3.5,3.9,41.0,5.5,6.0,8.5,9.4,5.7,9.0,4.1,9.9,8.3,7.1,11.0,6.2,6.7,3.7,17.0,5.9,13.0,5.1,13.0
3.3,3.7,30.0,5.5,4.9,7.6,8.5,6.0,9.0,4.1,9.7,8.4,6.1,11.0,6.3,9.8,4.0,19.0,7.7,11.0,6.0,13.0
3.2,3.8,25.0,5.5,4.7,6.6,8.5,6.0,9.0,3.1,11.0,10.0,5.0,10.0,6.3,17.0,4.0,16.0,6.1,11.0,5.7,12.0
