run,wet_percent,highprecip_perc,orig_perc_low,orig_perc_high,final_perc_low,final_perc_high,extreme_shift_low,extreme_shift_high,extreme_shift_percent
1,0,0,0.2,0.8,0.2,0.8,0,0,0
2,-0.0376,0,0.2,0.8,0.2,0.8,0,0,0
3,0.0084,0,0.2,0.8,0.2,0.8,0,0,0
4,0.0556,0,0.2,0.8,0.2,0.8,0,0,0
5,0.121,0,0.2,0.8,0.2,0.8,0,0,0
6,0,-0.2125,0.2,0.8,0.2,0.8,0,0,0
7,0,-0.017,0.2,0.8,0.2,0.8,0,0,0
8,0,0.1435,0.2,0.8,0.2,0.8,0,0,0
9,0,0.7035,0.2,0.8,0.2,0.8,0,0,0
10,0,0,0.2,0.8,0.2,0.8,0,0,0
11,0,0,0.2,0.8,0.2,0.8,0,0,0
12,0,0,0.2,0.8,0.2,0.8,0,0,0
13,0,0,0.258,0.8,0.2,0.8,0,0,0
14,0,0,0.2,0.8,0.2,0.8,0,0,0
15,0,0,0.2,0.755,0.2,0.8,0,0,0
16,0,0,0.2,0.73,0.2,0.8,0,0,0
17,0,0,0.2,0.674,0.2,0.8,0,0,0
18,0,0,0.2,0.8,0.2,0.8,tbd,0,tbd
19,0,0,0.2,0.8,0.2,0.8,tbd,0,tbd
20,0,0,0.2,0.8,0.2,0.8,tbd,0,tbd
21,0,0,0.2,0.8,0.2,0.8,tbd,0,tbd
22,0,0,0.2,0.8,0.2,0.8,0,tbd,tbd
23,0,0,0.2,0.8,0.2,0.8,0,tbd,tbd
24,0,0,0.2,0.8,0.2,0.8,0,tbd,tbd
25,0,0,0.2,0.8,0.2,0.8,0,tbd,tbd
26,0.0556,0.1435,0.2,0.8,0.199158,0.90642,0,0,0
